,what,university,won,the,award,for,most,it,enabled,organisation,?
northumbria,0.2106504589319229,0.20436663925647736,0.11743023991584778,0.24251192808151245,0.10713261365890503,0.1403074562549591,0.16072987020015717,0.1695321500301361,0.14270111918449402,0.146109938621521,0.18365557491779327
university,0.20256435871124268,1.0,0.2108178734779358,0.263973206281662,0.204717755317688,0.18573740124702454,0.19178320467472076,0.20301668345928192,0.10937292873859406,0.15965978801250458,0.11887256056070328
has,0.20338068902492523,0.21257302165031433,0.24499812722206116,0.4177538752555847,0.22060689330101013,0.450642853975296,0.3426419198513031,0.41962623596191406,0.14050693809986115,0.2219851315021515,0.15994466841220856
its,0.30393704771995544,0.18994906544685364,0.09390782564878464,0.559237003326416,0.1479203701019287,0.2992613911628723,0.32324016094207764,0.5786119699478149,0.13725414872169495,0.2802778482437134,0.15103481709957123
origins,0.2137981504201889,0.20916476845741272,0.19573551416397095,0.2890577018260956,0.15949085354804993,0.20094417035579681,0.2344997674226761,0.18848145008087158,0.09811794757843018,0.20565742254257202,0.1275135576725006
in,0.30808621644973755,0.3201795518398285,0.3280489146709442,0.6662389636039734,0.23376452922821045,0.4322226941585541,0.41416558623313904,0.5130809545516968,0.14037327468395233,0.2344132661819458,0.20430970191955566
the,0.42745697498321533,0.263973206281662,0.29432493448257446,1.0,0.24073810875415802,0.4739971458911896,0.47635307908058167,0.6251175999641418,0.2653752565383911,0.30151131749153137,0.22068053483963013
newcastle,0.16276082396507263,0.2205878645181656,0.2080143839120865,0.2253497689962387,0.13135193288326263,0.2425866425037384,0.1667318046092987,0.17789338529109955,0.18026398122310638,0.21548894047737122,0.0902252271771431
polytechnic,0.1455845832824707,0.6376109719276428,0.2331411987543106,0.2309933602809906,0.20254433155059814,0.19857509434223175,0.10612018406391144,0.1848791241645813,0.15272770822048187,0.2696373760700226,0.13763803243637085
",",0.3087472915649414,0.3017033040523529,0.35968565940856934,0.4933079481124878,0.25078102946281433,0.4464869201183319,0.3636029064655304,0.48329564929008484,0.22565652430057526,0.1957569420337677,0.31091248989105225
established,0.14869536459445953,0.1973452866077423,0.21793347597122192,0.33092597126960754,0.19895881414413452,0.1717284768819809,0.19008098542690277,0.27238577604293823,0.2507433295249939,0.2939333915710449,0.15917523205280304
in,0.30808621644973755,0.3201795518398285,0.3280489146709442,0.6662389636039734,0.23376452922821045,0.4322226941585541,0.41416558623313904,0.5130809545516968,0.14037327468395233,0.2344132661819458,0.20430970191955566
1969,0.17037658393383026,0.2843223810195923,0.23851820826530457,0.22767919301986694,0.24165885150432587,0.18071401119232178,0.1386042982339859,0.21166905760765076,0.22127211093902588,0.16686177253723145,0.19860808551311493
and,0.31309178471565247,0.2665814459323883,0.2795773446559906,0.5171257257461548,0.2334289401769638,0.5064792633056641,0.4309377074241638,0.40957894921302795,0.23255655169487,0.271665096282959,0.20544172823429108
became,0.1434093862771988,0.25457096099853516,0.3002188503742218,0.36325156688690186,0.2082284688949585,0.3017078936100006,0.3429205119609833,0.21312855184078217,0.1905304342508316,0.21587280929088593,0.11374033987522125
the,0.42745697498321533,0.263973206281662,0.29432493448257446,1.0,0.24073810875415802,0.4739971458911896,0.47635307908058167,0.6251175999641418,0.2653752565383911,0.30151131749153137,0.22068053483963013
university,0.20256435871124268,1.0,0.2108178734779358,0.263973206281662,0.204717755317688,0.18573740124702454,0.19178320467472076,0.20301668345928192,0.10937292873859406,0.15965978801250458,0.11887256056070328
of,0.33290785551071167,0.30646374821662903,0.20832067728042603,0.733189046382904,0.19404402375221252,0.4185989499092102,0.4178851246833801,0.38761502504348755,0.18788689374923706,0.2556551992893219,0.1826142966747284
northumbria,0.2106504589319229,0.20436663925647736,0.11743023991584778,0.24251192808151245,0.10713261365890503,0.1403074562549591,0.16072987020015717,0.1695321500301361,0.14270111918449402,0.146109938621521,0.18365557491779327
at,0.2838611304759979,0.30386853218078613,0.28372395038604736,0.457212895154953,0.14759428799152374,0.34237727522850037,0.22451047599315643,0.36473900079727173,0.14554183185100555,0.13981325924396515,0.21978627145290375
newcastle,0.16276082396507263,0.2205878645181656,0.2080143839120865,0.2253497689962387,0.13135193288326263,0.2425866425037384,0.1667318046092987,0.17789338529109955,0.18026398122310638,0.21548894047737122,0.0902252271771431
in,0.30808621644973755,0.3201795518398285,0.3280489146709442,0.6662389636039734,0.23376452922821045,0.4322226941585541,0.41416558623313904,0.5130809545516968,0.14037327468395233,0.2344132661819458,0.20430970191955566
1992,0.12803657352924347,0.16310550272464752,0.12371009588241577,0.12138951569795609,0.0734204649925232,0.0788465216755867,0.1055729016661644,0.11939743906259537,0.032820455729961395,0.2374185025691986,0.11522171646356583
as,0.31749409437179565,0.21858684718608856,0.21471917629241943,0.48381632566452026,0.18954238295555115,0.44774648547172546,0.3548237979412079,0.4461488723754883,0.18516165018081665,0.22623100876808167,0.27043893933296204
part,0.3476244807243347,0.24883095920085907,0.22131583094596863,0.527681291103363,0.1787540167570114,0.250704288482666,0.35998284816741943,0.4648587107658386,0.12996645271778107,0.25888296961784363,0.08557961881160736
of,0.33290785551071167,0.30646374821662903,0.20832067728042603,0.733189046382904,0.19404402375221252,0.4185989499092102,0.4178851246833801,0.38761502504348755,0.18788689374923706,0.2556551992893219,0.1826142966747284
