,in,which,case,was,it,held,that,the,provisions,of,the,treaties,are,directly,effective,if,they,are,clear,",",unconditional,",",and,do,n't,require,further,action,by,eu,or,national,authorities,?
in,1.0,0.4840516746044159,0.2190418541431427,0.45514053106307983,0.5130809545516968,0.3127288818359375,0.435920387506485,0.6662389636039734,0.17358911037445068,0.5696388483047485,0.6662389636039734,0.2564578652381897,0.3841303884983063,0.25104159116744995,0.2294299155473709,0.2589588761329651,0.4330179989337921,0.3841303884983063,0.23860304057598114,0.5201468467712402,0.266073614358902,0.5201468467712402,0.4954058527946472,0.23402775824069977,-0.0012929976219311357,0.14079172909259796,0.233941450715065,0.22362500429153442,0.370934396982193,0.12919096648693085,0.3586423695087433,0.28915393352508545,0.2868952453136444,0.20430970191955566
van,0.19506873190402985,0.12843205034732819,0.11165543645620346,0.20371906459331512,0.04414578154683113,0.07295134663581848,0.16476967930793762,0.13541297614574432,0.06035732477903366,0.16833904385566711,0.13541297614574432,0.138287752866745,0.12989100813865662,0.031415387988090515,0.12579099833965302,0.13994772732257843,0.12176603078842163,0.12989100813865662,0.11444447189569473,0.19418825209140778,0.10501892119646072,0.19418825209140778,0.19961349666118622,0.06666506826877594,0.11986285448074341,0.09415146708488464,0.10598931461572647,0.14093883335590363,0.2223927229642868,0.12101885676383972,0.1439071148633957,0.11817431449890137,0.14265108108520508,0.15528257191181183
gend,0.19963762164115906,0.23990200459957123,0.2105337381362915,0.13395129144191742,0.2033538520336151,0.16335099935531616,0.2663033604621887,0.24207663536071777,0.19781625270843506,0.20155930519104004,0.24207663536071777,0.1204850897192955,0.21361073851585388,0.20129556953907013,0.10641154646873474,0.2601774334907532,0.2370360791683197,0.21361073851585388,0.2124515026807785,0.2474328875541687,0.15507185459136963,0.2474328875541687,0.2642247676849365,0.23531568050384521,0.0449192076921463,0.22071926295757294,0.198109969496727,0.1726086586713791,0.17454813420772552,0.12592150270938873,0.2732563316822052,0.19213370978832245,0.14612510800361633,0.20826369524002075
en,0.15830987691879272,0.15465666353702545,0.17121529579162598,0.13445444405078888,0.2166237086057663,0.07855647802352905,0.1933109164237976,0.1751408874988556,0.08645220100879669,0.12889879941940308,0.1751408874988556,0.16877524554729462,0.14591634273529053,0.14228041470050812,0.13067342340946198,0.22225338220596313,0.1348084807395935,0.14591634273529053,0.1713278591632843,0.2111331671476364,0.10582651942968369,0.2111331671476364,0.13454174995422363,0.21907833218574524,0.07422615587711334,0.12136970460414886,0.12312168627977371,0.10237249732017517,0.0973116084933281,0.20996655523777008,0.10371772944927216,0.10249044001102448,0.06851860880851746,0.3125995695590973
loos,0.25341442227363586,0.11371071636676788,0.13845878839492798,0.2741050720214844,0.25001978874206543,0.2040424644947052,0.20041348040103912,0.24379393458366394,0.16735045611858368,0.1710311621427536,0.24379393458366394,0.18600863218307495,0.1427098959684372,0.014507838524878025,0.11802662163972855,0.07118965685367584,0.24875390529632568,0.1427098959684372,0.10845571756362915,0.3755612075328827,0.03666412830352783,0.3755612075328827,0.3195868730545044,0.18687544763088226,0.09887470304965973,0.07616396248340607,0.1634361296892166,0.16112680733203888,0.21659263968467712,0.14706963300704956,0.1292410045862198,0.17765586078166962,0.19085443019866943,0.13634200394153595
v,0.15216681361198425,0.1653934270143509,0.2666381299495697,0.16128918528556824,0.1784781813621521,0.09840460121631622,0.14623945951461792,0.18580520153045654,0.17827311158180237,0.1655031144618988,0.18580520153045654,0.12776312232017517,0.07239489257335663,0.1794268637895584,0.15888498723506927,0.18749232590198517,0.2006511688232422,0.07239489257335663,0.10927365720272064,0.22053663432598114,0.1647246778011322,0.22053663432598114,0.19040757417678833,0.15692353248596191,-0.02970251627266407,0.122334323823452,0.08080574125051498,0.17112436890602112,0.11988817155361176,0.18912306427955627,0.16698549687862396,0.10848595201969147,0.08228515833616257,0.28677162528038025
nederlandse,0.21234798431396484,0.20249022543430328,0.21273650228977203,0.1833609789609909,0.1437491923570633,0.1300848424434662,0.14864547550678253,0.21041129529476166,0.19737356901168823,0.19247880578041077,0.21041129529476166,0.21895524859428406,0.08499901741743088,0.14873452484607697,0.14856955409049988,0.1950146108865738,0.064371757209301,0.08499901741743088,0.120908722281456,0.22640646994113922,0.07410510629415512,0.22640646994113922,0.2333553284406662,0.07426434010267258,0.17917418479919434,0.17282803356647491,0.12065999209880829,0.15555508434772491,0.18438169360160828,0.31261298060417175,0.21542702615261078,0.23336650431156158,0.22967074811458588,0.17918995022773743
administratie,0.25709760189056396,0.22577865421772003,0.15689189732074738,0.21359699964523315,0.249318927526474,0.1666015386581421,0.21978457272052765,0.2756740152835846,0.3387509882450104,0.31400367617607117,0.2756740152835846,0.35672158002853394,0.1879664808511734,0.17084765434265137,0.22588567435741425,0.19489379227161407,0.14997144043445587,0.1879664808511734,0.1714583784341812,0.26064401865005493,0.1930716186761856,0.26064401865005493,0.2645910382270813,0.19508613646030426,0.052639950066804886,0.21456924080848694,0.25387734174728394,0.1728491187095642,0.11659319698810577,0.26590582728385925,0.17869895696640015,0.2570742070674896,0.35952699184417725,0.19636070728302002
der,0.2422194629907608,0.18769915401935577,0.12498627603054047,0.18196885287761688,0.09339733421802521,0.13452021777629852,0.162187859416008,0.1982923448085785,0.11771854758262634,0.2241462916135788,0.1982923448085785,0.1647062748670578,0.1324787586927414,0.05600119009613991,0.15147632360458374,0.11712076514959335,0.10604535788297653,0.1324787586927414,0.1350311040878296,0.18798865377902985,0.1158825010061264,0.18798865377902985,0.19133098423480988,0.10344259440898895,0.10094588249921799,0.17446783185005188,0.11761077493429184,0.17843088507652283,0.19053760170936584,0.17802421748638153,0.14391057193279266,0.14387547969818115,0.17092156410217285,0.10571374744176865
belastingen,0.31394267082214355,0.30985286831855774,0.188991978764534,0.18960422277450562,0.20746906101703644,0.18760575354099274,0.2031932920217514,0.29385295510292053,0.18910083174705505,0.32552170753479004,0.29385295510292053,0.2917550206184387,0.2242669016122818,0.17272837460041046,0.24238432943820953,0.2527315020561218,0.2392195612192154,0.2242669016122818,0.18034285306930542,0.26977428793907166,0.16943523287773132,0.26977428793907166,0.2619049847126007,0.20807619392871857,0.15813687443733215,0.2188243567943573,0.18677687644958496,0.16364993155002594,0.1438411921262741,0.20719076693058014,0.26142066717147827,0.19707369804382324,0.12424546480178833,0.15005642175674438
