,who,succeeded,dick,clark,on,abc,'s,new,year,'s,broadcasts,?
since,0.27765995264053345,0.2587665021419525,0.14092016220092773,0.16189615428447723,0.32446393370628357,0.20685888826847076,-0.04899144917726517,0.2617199122905731,0.31512683629989624,-0.04899144917726517,0.24937006831169128,0.2876587212085724
1974,0.010323056019842625,0.04363487288355827,0.02082420326769352,0.13148564100265503,0.049748875200748444,0.002307725138962269,-0.010420195758342743,0.13193745911121368,0.00020990487246308476,-0.010420195758342743,-0.03812804073095322,-0.17742674052715302
",",0.3365725874900818,0.263449490070343,0.24357886612415314,0.24886804819107056,0.49057599902153015,0.2097204476594925,-0.0016132977325469255,0.36073189973831177,0.28560417890548706,-0.0016132977325469255,0.2320742905139923,0.31091248989105225
abc,0.14673753082752228,0.07758044451475143,0.20578424632549286,0.22554492950439453,0.2862928807735443,1.0000001192092896,0.06670809537172318,0.20663127303123474,0.2373921275138855,0.06670809537172318,0.43883949518203735,0.19065172970294952
has,0.2558172643184662,0.08960997313261032,0.16788974404335022,0.15969225764274597,0.34604379534721375,0.23067910969257355,-0.040683966130018234,0.20920851826667786,0.2526876926422119,-0.040683966130018234,0.20935875177383423,0.15994466841220856
generally,0.3352776765823364,0.03894839435815811,0.11518844217061996,0.14153426885604858,0.27810585498809814,0.04842396825551987,0.017207007855176926,0.13323122262954712,0.18746493756771088,0.017207007855176926,0.14622555673122406,0.23411904275417328
aired,0.15698964893817902,0.13817554712295532,0.20105041563510895,0.17596162855625153,0.31848978996276855,0.5025622844696045,-0.008831794373691082,0.1564164012670517,0.2463400959968567,-0.008831794373691082,0.49202200770378113,0.22283338010311127
dick,0.21179524064064026,0.19736261665821075,1.0,0.35330817103385925,0.19025738537311554,0.20578424632549286,0.03214861825108528,0.19038404524326324,0.16015511751174927,0.03214861825108528,0.1380457878112793,0.1753130704164505
clark,0.22911235690116882,0.08702877908945084,0.35330817103385925,1.0,0.23381488025188446,0.22554492950439453,0.06747990101575851,0.2737416923046112,0.18923117220401764,0.06747990101575851,0.17226560413837433,0.10959257185459137
's,0.05599616840481758,-0.1342489868402481,0.03214861825108528,0.06747990101575851,0.0026888418942689896,0.06670809537172318,0.9999999403953552,-0.008355522528290749,-0.04087831452488899,0.9999999403953552,0.09407208114862442,-0.023395681753754616
