,what,has,increased,sediment,and,delta,growth,also,produced,in,the,rhine,?
this,0.5489566326141357,0.4198763072490692,0.30607330799102783,0.26795127987861633,0.42353692650794983,0.16561520099639893,0.2538136839866638,0.5539565086364746,0.2391100525856018,0.45205554366111755,0.6274310946464539,0.16867555677890778,0.3155723512172699
caused,0.22264783084392548,0.1852779984474182,0.3925010561943054,0.22479841113090515,0.2892237603664398,0.15257273614406586,0.22681869566440582,0.22320841252803802,0.27310386300086975,0.2494886964559555,0.24990202486515045,0.12135595828294754,0.20679491758346558
increased,0.1599731743335724,0.2821793556213379,1.0000001192092896,0.1730223000049591,0.2943111062049866,0.13577479124069214,0.4110804498195648,0.29262813925743103,0.24276727437973022,0.244624063372612,0.3188653886318207,0.139802023768425,0.09587585180997849
flooding,0.2541632354259491,0.19901125133037567,0.20307421684265137,0.3395567238330841,0.20465752482414246,0.2177894413471222,0.25113776326179504,0.18231426179409027,0.1659901887178421,0.263567179441452,0.24058853089809418,0.2048298716545105,0.2615346312522888
and,0.31309178471565247,0.43716782331466675,0.2943111062049866,0.23996920883655548,1.0,0.21133051812648773,0.2731747627258301,0.5755972862243652,0.24455034732818604,0.4954058527946472,0.5171257257461548,0.22029656171798706,0.20544172823429108
sedimentation,0.22759993374347687,0.17507442831993103,0.20613160729408264,0.8431810140609741,0.28912636637687683,0.16993360221385956,0.3064155876636505,0.1814528852701187,0.19745491445064545,0.19757536053657532,0.2617757022380829,0.17811830341815948,0.17398139834403992
",",0.3087472915649414,0.3734780251979828,0.20936180651187897,0.20651301741600037,0.6633074283599854,0.2192559540271759,0.2218456119298935,0.4717654287815094,0.22260788083076477,0.5201468467712402,0.4933079481124878,0.167837992310524,0.31091248989105225
ending,0.18526051938533783,0.1915239542722702,0.1762063205242157,0.062382783740758896,0.23760265111923218,0.09434838593006134,0.15700237452983856,0.25129055976867676,0.10211756080389023,0.3119421899318695,0.3726840615272522,0.15094541013240814,0.14182089269161224
peat,0.20417919754981995,0.21798692643642426,0.1816750168800354,0.5719689130783081,0.26822054386138916,0.2372095137834549,0.39033061265945435,0.2541777789592743,0.23868274688720703,0.23401090502738953,0.2793394923210144,0.2717663049697876,0.15374067425727844
formation,0.16291823983192444,0.15559428930282593,0.2645133137702942,0.47642433643341064,0.22940734028816223,0.21081429719924927,0.31045299768447876,0.1960420310497284,0.15629464387893677,0.27297577261924744,0.33687281608581543,0.13757474720478058,0.09831923991441727
in,0.30808621644973755,0.4173259735107422,0.244624063372612,0.2096979320049286,0.4954058527946472,0.21061979234218597,0.2819603681564331,0.5073733329772949,0.2542861998081207,1.0,0.6662389636039734,0.24648422002792358,0.20430970191955566
the,0.42745697498321533,0.4177538752555847,0.3188653886318207,0.2451712042093277,0.5171257257461548,0.22022446990013123,0.2912366986274719,0.6021018624305725,0.22045251727104187,0.6662389636039734,1.0,0.30735138058662415,0.22068053483963013
delta,0.11423289775848389,0.23407170176506042,0.13577479124069214,0.22145088016986847,0.21133051812648773,1.0000001192092896,0.0771866962313652,0.17184317111968994,0.12730544805526733,0.21061979234218597,0.22022446990013123,0.21930839121341705,0.14208948612213135
.,0.3567904531955719,0.4105546176433563,0.21367591619491577,0.2332097440958023,0.588965117931366,0.20923152565956116,0.2825547754764557,0.49166762828826904,0.2634154260158539,0.5591574311256409,0.5934505462646484,0.2089352011680603,0.4130953550338745
,what,has,increased,sediment,and,delta,growth,also,produced,in,the,rhine,?
as,0.31749409437179565,0.351646363735199,0.21772481501102448,0.18660868704319,0.49487000703811646,0.15640535950660706,0.2124733328819275,0.5774298906326294,0.2437988519668579,0.3887844979763031,0.48381632566452026,0.18380387127399445,0.27043893933296204
a,0.3320399522781372,0.4670248031616211,0.22370080649852753,0.18416576087474823,0.3739250600337982,0.20749913156032562,0.21544985473155975,0.5149940252304077,0.21993228793144226,0.539380669593811,0.5829201340675354,0.1823403388261795,0.23916715383529663
result,0.19945499300956726,0.18269969522953033,0.2966756820678711,0.19298171997070312,0.27436327934265137,0.12053865194320679,0.22700650990009308,0.23892827332019806,0.1702641397714615,0.25670310854911804,0.27778977155685425,0.12036608904600143,0.17218433320522308
of,0.33290785551071167,0.3909035325050354,0.3371390700340271,0.2534373998641968,0.5116966962814331,0.20736707746982574,0.2679378092288971,0.4924938678741455,0.18961067497730255,0.5696388483047485,0.733189046382904,0.2548927664756775,0.1826142966747284
increasing,0.2066856026649475,0.311989963054657,0.767708957195282,0.2116788625717163,0.30800607800483704,0.13955633342266083,0.46367576718330383,0.30764392018318176,0.19913910329341888,0.2580164670944214,0.34958165884017944,0.16668644547462463,0.0681626945734024
land,0.23411516845226288,0.20803382992744446,0.18053804337978363,0.3127904534339905,0.2874513864517212,0.19362707436084747,0.19903703033924103,0.24314674735069275,0.17564891278743744,0.22871792316436768,0.28587454557418823,0.2627701461315155,0.1432059109210968
clearance,0.2734643816947937,0.22085615992546082,0.3441495895385742,0.34116554260253906,0.3225209414958954,0.1630876511335373,0.29427140951156616,0.26152679324150085,0.1593213826417923,0.21589328348636627,0.3103383779525757,0.2114233821630478,0.19940367341041565
(,0.2411840260028839,0.2498389035463333,0.15970994532108307,0.10651340335607529,0.4862271547317505,0.15024615824222565,0.15381410717964172,0.2962331771850586,0.15091001987457275,0.3087427020072937,0.33289089798927307,0.12381801009178162,0.40561532974243164
bronze,0.09919140487909317,0.17736190557479858,0.15785188972949982,0.20307894051074982,0.23318837583065033,0.11083342880010605,0.20298856496810913,0.1946561634540558,0.09160518646240234,0.1848762184381485,0.2526973485946655,0.1377461701631546,0.12390820682048798
age,0.1895245760679245,0.16823618113994598,0.19808931648731232,0.2417716681957245,0.20936404168605804,0.0337691605091095,0.22537177801132202,0.23344174027442932,0.11652382463216782,0.30576348304748535,0.24711290001869202,0.14115528762340546,0.16859300434589386
agriculture,0.18790777027606964,0.21735762059688568,0.25547972321510315,0.24497833847999573,0.2700258493423462,0.15113581717014313,0.46202999353408813,0.2484865039587021,0.23081478476524353,0.28221622109413147,0.29133129119873047,0.25502046942710876,0.11401621997356415
),0.26259949803352356,0.26944878697395325,0.15167289972305298,0.1313682198524475,0.4961937665939331,0.1587669551372528,0.14860999584197998,0.32058730721473694,0.15463140606880188,0.3326910734176636,0.3456730246543884,0.12686386704444885,0.42300865054130554
",",0.3087472915649414,0.3734780251979828,0.20936180651187897,0.20651301741600037,0.6633074283599854,0.2192559540271759,0.2218456119298935,0.4717654287815094,0.22260788083076477,0.5201468467712402,0.4933079481124878,0.167837992310524,0.31091248989105225
in,0.30808621644973755,0.4173259735107422,0.244624063372612,0.2096979320049286,0.4954058527946472,0.21061979234218597,0.2819603681564331,0.5073733329772949,0.2542861998081207,1.0,0.6662389636039734,0.24648422002792358,0.20430970191955566
the,0.42745697498321533,0.4177538752555847,0.3188653886318207,0.2451712042093277,0.5171257257461548,0.22022446990013123,0.2912366986274719,0.6021018624305725,0.22045251727104187,0.6662389636039734,1.0,0.30735138058662415,0.22068053483963013
upland,0.139895960688591,0.21021102368831635,0.1705682873725891,0.3270735740661621,0.2667049765586853,0.1968887895345688,0.25874754786491394,0.23104509711265564,0.1677464246749878,0.28890255093574524,0.23398692905902863,0.3514600098133087,0.087931327521801
areas,0.23739881813526154,0.26786115765571594,0.31116804480552673,0.22536340355873108,0.40107932686805725,0.1685459315776825,0.30255869030952454,0.343683123588562,0.11710962653160095,0.33029478788375854,0.3311663568019867,0.2499091923236847,0.1273590475320816
(,0.2411840260028839,0.2498389035463333,0.15970994532108307,0.10651340335607529,0.4862271547317505,0.15024615824222565,0.15381410717964172,0.2962331771850586,0.15091001987457275,0.3087427020072937,0.33289089798927307,0.12381801009178162,0.40561532974243164
central,0.17723965644836426,0.16198159754276276,0.18737967312335968,0.1137792095541954,0.2465941160917282,0.16970746219158173,0.14498195052146912,0.2550520896911621,0.0738152340054512,0.30844059586524963,0.3417201042175293,0.18144266307353973,0.14787602424621582
germany,0.21690446138381958,0.19980297982692719,0.15125828981399536,0.12022997438907623,0.29381805658340454,0.14014844596385956,0.11186101287603378,0.24744677543640137,0.10120512545108795,0.3642844259738922,0.3181285262107849,0.5801170468330383,0.1388660967350006
),0.26259949803352356,0.26944878697395325,0.15167289972305298,0.1313682198524475,0.4961937665939331,0.1587669551372528,0.14860999584197998,0.32058730721473694,0.15463140606880188,0.3326910734176636,0.3456730246543884,0.12686386704444885,0.42300865054130554
",",0.3087472915649414,0.3734780251979828,0.20936180651187897,0.20651301741600037,0.6633074283599854,0.2192559540271759,0.2218456119298935,0.4717654287815094,0.22260788083076477,0.5201468467712402,0.4933079481124878,0.167837992310524,0.31091248989105225
the,0.42745697498321533,0.4177538752555847,0.3188653886318207,0.2451712042093277,0.5171257257461548,0.22022446990013123,0.2912366986274719,0.6021018624305725,0.22045251727104187,0.6662389636039734,1.0,0.30735138058662415,0.22068053483963013
sediment,0.19542910158634186,0.16123998165130615,0.1730223000049591,1.0000001192092896,0.23996920883655548,0.22145088016986847,0.27207323908805847,0.12721678614616394,0.14320646226406097,0.2096979320049286,0.2451712042093277,0.23805704712867737,0.14870919287204742
load,0.15150345861911774,0.168296679854393,0.23934900760650635,0.2421363890171051,0.22066931426525116,0.13586071133613586,0.24538429081439972,0.13340556621551514,0.14205396175384521,0.1384027600288391,0.1801917552947998,0.10710694640874863,0.25886332988739014
of,0.33290785551071167,0.3909035325050354,0.3371390700340271,0.2534373998641968,0.5116966962814331,0.20736707746982574,0.2679378092288971,0.4924938678741455,0.18961067497730255,0.5696388483047485,0.733189046382904,0.2548927664756775,0.1826142966747284
the,0.42745697498321533,0.4177538752555847,0.3188653886318207,0.2451712042093277,0.5171257257461548,0.22022446990013123,0.2912366986274719,0.6021018624305725,0.22045251727104187,0.6662389636039734,1.0,0.30735138058662415,0.22068053483963013
rhine,0.16475653648376465,0.12709470093250275,0.139802023768425,0.23805704712867737,0.22029656171798706,0.21930839121341705,0.11270156502723694,0.1230347603559494,0.0812200978398323,0.24648422002792358,0.30735138058662415,1.0,0.13754533231258392
has,0.20338068902492523,1.0,0.2821793556213379,0.16123998165130615,0.43716782331466675,0.23407170176506042,0.2680913209915161,0.505894660949707,0.18639720976352692,0.4173259735107422,0.4177538752555847,0.12709470093250275,0.15994466841220856
strongly,0.33651110529899597,0.2545773684978485,0.26839321851730347,0.1857091784477234,0.3561839163303375,0.06479934602975845,0.1848398596048355,0.34224170446395874,0.10164390504360199,0.21089641749858856,0.2760447859764099,0.08660607784986496,0.1874239444732666
increased,0.1599731743335724,0.2821793556213379,1.0000001192092896,0.1730223000049591,0.2943111062049866,0.13577479124069214,0.4110804498195648,0.29262813925743103,0.24276727437973022,0.244624063372612,0.3188653886318207,0.139802023768425,0.09587585180997849
and,0.31309178471565247,0.43716782331466675,0.2943111062049866,0.23996920883655548,1.0,0.21133051812648773,0.2731747627258301,0.5755972862243652,0.24455034732818604,0.4954058527946472,0.5171257257461548,0.22029656171798706,0.20544172823429108
delta,0.11423289775848389,0.23407170176506042,0.13577479124069214,0.22145088016986847,0.21133051812648773,1.0000001192092896,0.0771866962313652,0.17184317111968994,0.12730544805526733,0.21061979234218597,0.22022446990013123,0.21930839121341705,0.14208948612213135
growth,0.1739405393600464,0.2680913209915161,0.4110804498195648,0.27207323908805847,0.2731747627258301,0.0771866962313652,1.0000001192092896,0.2701461911201477,0.21351592242717743,0.2819603681564331,0.2912366986274719,0.11270156502723694,0.07547862827777863
has,0.20338068902492523,1.0,0.2821793556213379,0.16123998165130615,0.43716782331466675,0.23407170176506042,0.2680913209915161,0.505894660949707,0.18639720976352692,0.4173259735107422,0.4177538752555847,0.12709470093250275,0.15994466841220856
sped,0.1672256588935852,0.17727744579315186,0.3002176582813263,0.22930392622947693,0.25375083088874817,0.21906548738479614,0.19078834354877472,0.19848237931728363,0.27662956714630127,0.22416125237941742,0.29967638850212097,0.15534919500350952,0.13353955745697021
up,0.28591108322143555,0.27017050981521606,0.2201465666294098,0.2247672975063324,0.4032393991947174,0.07202179729938507,0.24366413056850433,0.3094489872455597,0.14556528627872467,0.3120773434638977,0.38423117995262146,0.1867746114730835,0.1819818764925003
.,0.3567904531955719,0.4105546176433563,0.21367591619491577,0.2332097440958023,0.588965117931366,0.20923152565956116,0.2825547754764557,0.49166762828826904,0.2634154260158539,0.5591574311256409,0.5934505462646484,0.2089352011680603,0.4130953550338745
