,what,changed,the,rhine,'s,delta,?
the,0.42745697498321533,0.351829469203949,1.0,0.30735138058662415,-0.01540423184633255,0.22022446990013123,0.22068053483963013
construction,0.20329850912094116,0.21427416801452637,0.2671978175640106,0.15099675953388214,0.04049986973404884,0.0980447456240654,0.13494056463241577
of,0.33290785551071167,0.3099449872970581,0.733189046382904,0.2548927664756775,-0.03817026689648628,0.20736707746982574,0.1826142966747284
delta,0.11423289775848389,0.1121363639831543,0.22022446990013123,0.21930839121341705,0.1116364523768425,1.0000001192092896,0.14208948612213135
works,0.2418437898159027,0.17844617366790771,0.26337864995002747,0.1270911544561386,0.04286740720272064,0.05169069766998291,0.19597402215003967
changed,0.2667781710624695,1.0,0.351829469203949,0.15414851903915405,-0.05124063789844513,0.1121363639831543,0.21123318374156952
the,0.42745697498321533,0.351829469203949,1.0,0.30735138058662415,-0.01540423184633255,0.22022446990013123,0.22068053483963013
delta,0.11423289775848389,0.1121363639831543,0.22022446990013123,0.21930839121341705,0.1116364523768425,1.0000001192092896,0.14208948612213135
in,0.30808621644973755,0.292167991399765,0.6662389636039734,0.24648422002792358,-0.037580832839012146,0.21061979234218597,0.20430970191955566
the,0.42745697498321533,0.351829469203949,1.0,0.30735138058662415,-0.01540423184633255,0.22022446990013123,0.22068053483963013
second,0.19948028028011322,0.25255870819091797,0.4620301127433777,0.14830191433429718,-0.060212843120098114,0.1723136007785797,0.17239587008953094
half,0.13016436994075775,0.21149805188179016,0.3189295828342438,0.14647535979747772,-0.0026473274920135736,0.03891567513346672,0.07471233606338501
of,0.33290785551071167,0.3099449872970581,0.733189046382904,0.2548927664756775,-0.03817026689648628,0.20736707746982574,0.1826142966747284
the,0.42745697498321533,0.351829469203949,1.0,0.30735138058662415,-0.01540423184633255,0.22022446990013123,0.22068053483963013
20th,0.1850772649049759,0.13476933538913727,0.3097512125968933,0.18670986592769623,0.1176292821764946,0.25093916058540344,0.14985637366771698
century,0.20422613620758057,0.2505124807357788,0.3617299497127533,0.21836237609386444,-0.0005286295781843364,0.09504151344299316,0.1026201918721199
fundamentally,0.36680668592453003,0.24028576910495758,0.3023602068424225,0.07486887276172638,-0.08591769635677338,0.10159673541784286,0.23505090177059174
.,0.3567904531955719,0.2985190153121948,0.5934505462646484,0.2089352011680603,-0.003708066651597619,0.20923152565956116,0.4130953550338745
