,what,are,the,three,major,types,of,rock,?
there,0.35085538029670715,0.5433560013771057,0.47025805711746216,0.3531675636768341,0.27976733446121216,0.37238845229148865,0.44397735595703125,0.1815040111541748,0.29405656456947327
are,0.29724663496017456,1.0,0.40399202704429626,0.38895705342292786,0.21536177396774292,0.4691450595855713,0.39081433415412903,0.2232755869626999,0.24591213464736938
three,0.24888746440410614,0.38895705342292786,0.43452659249305725,1.0,0.2582734227180481,0.2845081090927124,0.3844621181488037,0.17912183701992035,0.20928427577018738
major,0.21026742458343506,0.21536177396774292,0.31775903701782227,0.2582734227180481,0.9999998807907104,0.16983361542224884,0.2641255557537079,0.10817137360572815,0.19788557291030884
types,0.25706279277801514,0.4691450595855713,0.23509301245212555,0.2845081090927124,0.16983361542224884,1.0,0.2447618544101715,0.17830850183963776,0.1285012811422348
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.3844621181488037,0.2641255557537079,0.2447618544101715,1.0,0.2653365731239319,0.1826142966747284
rock,0.1923677921295166,0.2232755869626999,0.23786304891109467,0.17912183701992035,0.10817137360572815,0.17830850183963776,0.2653365731239319,1.0,0.13172835111618042
:,-0.12022944539785385,-0.1189703419804573,-0.03403344005346298,0.07388566434383392,0.02358236350119114,-0.10021550953388214,-0.08807745575904846,-0.11892880499362946,-0.07156077772378922
igneous,0.2625714838504791,0.3190121650695801,0.25911182165145874,0.24001115560531616,0.21629096567630768,0.26599329710006714,0.3258812427520752,0.4287784695625305,0.18516020476818085
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.3347506821155548,0.29355156421661377,0.24108222126960754,0.4946078956127167,0.2775712311267853,0.31091248989105225
sedimentary,0.2219204604625702,0.2701125144958496,0.2576860189437866,0.20196804404258728,0.17159616947174072,0.27684104442596436,0.30878832936286926,0.4918837249279022,0.1575118452310562
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.3347506821155548,0.29355156421661377,0.24108222126960754,0.4946078956127167,0.2775712311267853,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.3826501965522766,0.29795366525650024,0.3014242649078369,0.5116966962814331,0.2808155119419098,0.20544172823429108
metamorphic,0.22321857511997223,0.2510010600090027,0.19381749629974365,0.1827429234981537,0.21931487321853638,0.2651577591896057,0.21258093416690826,0.470113068819046,0.11114242672920227
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.34968629479408264,0.3054012954235077,0.2097296416759491,0.5352458953857422,0.24835698306560516,0.4130953550338745
