,what,is,the,duration,of,harvard,academic,year,?
harvard,0.2177114188671112,0.15387701988220215,0.24496200680732727,0.11200834065675735,0.25842633843421936,1.0,0.41330868005752563,0.12264450639486313,0.11685016006231308
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,-0.028061192482709885,-0.03817026689648628,-0.06887804716825485,0.0384543351829052,-0.04087831452488899,-0.023395681753754616
academic,0.10352335125207901,0.19421102106571198,0.15387672185897827,0.1066080704331398,0.20802809298038483,0.41330868005752563,0.9999998807907104,0.21132908761501312,0.11011603474617004
programs,0.23178155720233917,0.18660567700862885,0.21757709980010986,0.23918993771076202,0.18037469685077667,0.2088163197040558,0.2760719656944275,0.1516295224428177,0.16452431678771973
operate,0.23576132953166962,0.24157488346099854,0.23581141233444214,0.3059261441230774,0.22024419903755188,0.12150847166776657,0.16972945630550385,0.11387235671281815,0.16664595901966095
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.28085267543792725,0.3966929316520691,0.1509191244840622,0.1756778210401535,0.27628999948501587,0.2714994251728058
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2624986469745636,0.5052502155303955,0.24754071235656738,0.2290002554655075,0.29350247979164124,0.23916715383529663
semester,0.21083730459213257,0.2072763890028,0.25298887491226196,0.2767224907875061,0.19699601829051971,0.38057976961135864,0.32669422030448914,0.3942575454711914,0.2852475941181183
calendar,0.17026786506175995,0.139500692486763,0.21427585184574127,0.25339367985725403,0.15737932920455933,0.16623400151729584,0.21110528707504272,0.4119606614112854,0.16766934096813202
beginning,0.3351518511772156,0.2446223646402359,0.49622642993927,0.37456393241882324,0.36558160185813904,0.2149636447429657,0.16087999939918518,0.38203126192092896,0.19413669407367706
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.20128466188907623,0.5696388483047485,0.26072487235069275,0.1914365142583847,0.3359307050704956,0.20430970191955566
early,0.2454567849636078,0.18880519270896912,0.34442198276519775,0.26701903343200684,0.30937549471855164,0.21132619678974152,0.1931992471218109,0.22533860802650452,0.15272949635982513
september,0.2153792530298233,0.2304503619670868,0.2516939043998718,0.21615666151046753,0.16787530481815338,0.1729520559310913,0.21425266563892365,0.2660074234008789,0.2665146589279175
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.20523762702941895,0.5116966962814331,0.2453373372554779,0.2552715241909027,0.2506658732891083,0.20544172823429108
ending,0.18526051938533783,0.2327672839164734,0.3726840615272522,0.2953208088874817,0.26691535115242004,0.08844815939664841,0.045503437519073486,0.3346041738986969,0.14182089269161224
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.20128466188907623,0.5696388483047485,0.26072487235069275,0.1914365142583847,0.3359307050704956,0.20430970191955566
mid-may,0.24269339442253113,0.3363252878189087,0.3554951250553131,0.2187650054693222,0.3201884627342224,0.23480921983718872,0.23113152384757996,0.23869140446186066,0.20477373898029327
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24705183506011963,0.5352458953857422,0.254516065120697,0.21939443051815033,0.32538118958473206,0.4130953550338745
