,what,advancements,besides,military,technology,did,europe,achieve,?
along,0.22421957552433014,0.22094443440437317,0.3081332743167877,0.17330196499824524,0.129950612783432,0.18832118809223175,0.18191732466220856,0.09457740932703018,0.17134909331798553
with,0.2464839518070221,0.22151537239551544,0.32692623138427734,0.1677970141172409,0.15422572195529938,0.25472134351730347,0.27254554629325867,0.22856736183166504,0.2433311939239502
advancements,0.21274234354496002,1.0,0.21415024995803833,0.30711567401885986,0.46341127157211304,0.23097124695777893,0.24545195698738098,0.3475554883480072,0.15546661615371704
in,0.30808621644973755,0.27344807982444763,0.3447916507720947,0.2402431070804596,0.24215441942214966,0.2593238651752472,0.33061710000038147,0.17567327618598938,0.20430970191955566
communication,0.283955842256546,0.3958083987236023,0.25310757756233215,0.23278352618217468,0.47505128383636475,0.1962505280971527,0.2112516611814499,0.26323753595352173,0.1517418920993805
",",0.3087472915649414,0.3273029625415802,0.340058833360672,0.2611614465713501,0.2817870080471039,0.3015086054801941,0.2542513906955719,0.17202849686145782,0.31091248989105225
europe,0.17179538309574127,0.24545195698738098,0.1705915629863739,0.2146894335746765,0.1286218911409378,0.22473940253257751,1.0000001192092896,0.1464087963104248,0.18278923630714417
also,0.42747777700424194,0.30254805088043213,0.5080614686012268,0.2341880202293396,0.26604264974594116,0.39334940910339355,0.26073724031448364,0.2343614250421524,0.21848613023757935
continued,0.17878234386444092,0.2766790986061096,0.20300817489624023,0.22107265889644623,0.17150339484214783,0.4863187372684479,0.20519480109214783,0.16283893585205078,0.10404038429260254
to,0.455847829580307,0.324070543050766,0.3272998631000519,0.2282337248325348,0.25372135639190674,0.4452643394470215,0.24889446794986725,0.3419070541858673,0.29463258385658264
advance,0.21946227550506592,0.6258018612861633,0.14738546311855316,0.23295870423316956,0.2582869529724121,0.20673301815986633,0.24950093030929565,0.2878621518611908,0.21102593839168549
in,0.30808621644973755,0.27344807982444763,0.3447916507720947,0.2402431070804596,0.24215441942214966,0.2593238651752472,0.33061710000038147,0.17567327618598938,0.20430970191955566
military,0.18809624016284943,0.30711567401885986,0.13062147796154022,0.9999998807907104,0.2868160307407379,0.17979979515075684,0.2146894335746765,0.20127758383750916,0.1890317052602768
technology,0.1940862536430359,0.46341127157211304,0.2118934988975525,0.2868160307407379,0.9999998807907104,0.11363749206066132,0.1286218911409378,0.2440207153558731,0.11564995348453522
.,0.3567904531955719,0.2859199345111847,0.28636154532432556,0.21794499456882477,0.21310871839523315,0.35288307070732117,0.31984585523605347,0.18454299867153168,0.4130953550338745
