,what,property,of,the,harmonic,series,1,+,1/2,+,1/3,+,1/4,+,...,shows,that,there,is,an,infinite,number,of,primes,?
however,0.4480680823326111,0.26391130685806274,0.3800618350505829,0.49814513325691223,0.23186132311820984,0.19053401052951813,-0.29573309421539307,0.17700929939746857,0.14394240081310272,0.17700929939746857,-0.4140153229236603,0.17700929939746857,0.23745344579219818,0.17700929939746857,-0.05767301842570305,0.2995210886001587,0.6336373090744019,0.4319024085998535,0.33769986033439636,0.2464427500963211,0.24640899896621704,0.3599218428134918,0.3800618350505829,0.256695032119751,0.2152075469493866
",",0.3087472915649414,0.19562678039073944,0.4946078956127167,0.4933079481124878,0.2112172544002533,0.24060699343681335,-0.15742997825145721,0.20503701269626617,0.12903504073619843,0.20503701269626617,-0.25569334626197815,0.20503701269626617,0.2762937843799591,0.20503701269626617,0.113417848944664,0.26986414194107056,0.4137537479400635,0.4587128460407257,0.4691906273365021,0.3581022024154663,0.1824384480714798,0.2535701394081116,0.4946078956127167,0.29003697633743286,0.31091248989105225
the,0.42745697498321533,0.2061677873134613,0.733189046382904,1.0,0.1936408430337906,0.31376904249191284,-0.1554475575685501,0.12941905856132507,0.08184071630239487,0.12941905856132507,-0.41240087151527405,0.12941905856132507,0.30776628851890564,0.12941905856132507,0.04743409901857376,0.36348509788513184,0.5473989248275757,0.47025805711746216,0.5823672413825989,0.4207492768764496,0.17816448211669922,0.35145696997642517,0.733189046382904,0.22359657287597656,0.22068053483963013
harmonic,0.18725574016571045,0.1524418443441391,0.19963261485099792,0.1936408430337906,1.0,0.17941921949386597,-0.19816921651363373,0.1641136258840561,-0.01838422566652298,0.1641136258840561,-0.1128760278224945,0.1641136258840561,0.06815354526042938,0.1641136258840561,0.033868905156850815,0.1922806054353714,0.248926043510437,0.1885392963886261,0.21051600575447083,0.13025511801242828,0.31093934178352356,0.19709770381450653,0.19963261485099792,0.29255205392837524,0.16280938684940338
series,0.17328087985515594,0.1214948520064354,0.22268271446228027,0.31376904249191284,0.17941921949386597,1.0000001192092896,-0.265503853559494,0.19023436307907104,0.03202622011303902,0.19023436307907104,-0.06527812033891678,0.19023436307907104,0.20688743889331818,0.19023436307907104,0.008494499139487743,0.3294292390346527,0.24595457315444946,0.18933546543121338,0.20355552434921265,0.16255386173725128,0.2693732976913452,0.22466890513896942,0.22268271446228027,0.2462991327047348,0.1709602326154709
1,-0.21266892552375793,-0.17054244875907898,-0.09473495930433273,-0.1554475575685501,-0.19816921651363373,-0.265503853559494,1.0,-0.13459764420986176,0.0348111167550087,-0.13459764420986176,-0.022428641095757484,-0.13459764420986176,0.05504316836595535,-0.13459764420986176,-0.05662180110812187,-0.16060572862625122,-0.3131840229034424,-0.1391316056251526,-0.12491171807050705,-0.15245160460472107,-0.1646765172481537,-0.20963284373283386,-0.09473495930433273,-0.25417813658714294,-0.249979168176651
+,0.1158081665635109,0.13318070769309998,0.14862146973609924,0.12941905856132507,0.1641136258840561,0.19023436307907104,-0.13459764420986176,1.0000001192092896,-0.006812337785959244,1.0000001192092896,-0.17656908929347992,1.0000001192092896,0.05964718759059906,1.0000001192092896,-0.011838771402835846,0.14347557723522186,0.18285581469535828,0.14018438756465912,0.12961794435977936,0.1591721624135971,0.2204119712114334,0.32197779417037964,0.14862146973609924,0.21849572658538818,0.2903686463832855
1/2,0.0010635468643158674,0.18484534323215485,0.14199262857437134,0.08184071630239487,-0.01838422566652298,0.03202622011303902,0.0348111167550087,-0.006812337785959244,0.9999998807907104,-0.006812337785959244,-0.13524015247821808,-0.006812337785959244,0.21188482642173767,-0.006812337785959244,-0.007674566935747862,0.02342539280653,-0.021973928436636925,-0.0010888752294704318,0.052206262946128845,0.1839543581008911,-0.017433959990739822,0.061975251883268356,0.14199262857437134,-0.07036358118057251,-0.022870099171996117
+,0.1158081665635109,0.13318070769309998,0.14862146973609924,0.12941905856132507,0.1641136258840561,0.19023436307907104,-0.13459764420986176,1.0000001192092896,-0.006812337785959244,1.0000001192092896,-0.17656908929347992,1.0000001192092896,0.05964718759059906,1.0000001192092896,-0.011838771402835846,0.14347557723522186,0.18285581469535828,0.14018438756465912,0.12961794435977936,0.1591721624135971,0.2204119712114334,0.32197779417037964,0.14862146973609924,0.21849572658538818,0.2903686463832855
1/3,-0.3255644738674164,-0.2356700301170349,-0.3558923304080963,-0.41240087151527405,-0.1128760278224945,-0.06527812033891678,-0.022428641095757484,-0.17656908929347992,-0.13524015247821808,-0.17656908929347992,0.9999998807907104,-0.17656908929347992,-0.28444552421569824,-0.17656908929347992,0.10883814096450806,-0.15388064086437225,-0.4083789587020874,-0.3994782567024231,-0.22656655311584473,-0.16742056608200073,-0.08916259557008743,-0.31351402401924133,-0.3558923304080963,-0.08276064693927765,-0.17796869575977325
