,what,religion,'s,schools,does,the,term,'parochial,schools,',generally,refer,to,?
they,0.4431931674480438,0.26063939929008484,0.03738465905189514,0.2753114104270935,0.34390902519226074,0.49925389885902405,0.2276555597782135,0.2967534065246582,0.2753114104270935,0.27022266387939453,0.4530896842479706,0.2033940702676773,0.5452046394348145,0.2753053903579712
include,0.1535889357328415,0.14357663691043854,-0.07849370688199997,0.21952612698078156,0.26005542278289795,0.2951717972755432,0.16474132239818573,0.20478171110153198,0.21952612698078156,0.24498385190963745,0.2860087454319,0.3913629651069641,0.1820748895406723,0.14925788342952728
parochial,0.2166709303855896,0.2655620574951172,-0.010545731522142887,0.38411715626716614,0.2444736361503601,0.34082168340682983,0.2480195313692093,0.9688466191291809,0.38411715626716614,0.26870250701904297,0.32522714138031006,0.14576314389705658,0.2644946575164795,0.18522164225578308
schools,0.1820785105228424,0.3005248010158539,0.003616944421082735,1.0,0.19430282711982727,0.22905772924423218,0.1905326247215271,0.3757794499397278,1.0,0.18575283885002136,0.3060886263847351,0.1694997102022171,0.2362271547317505,0.18349280953407288
",",0.3087472915649414,0.2679629921913147,-0.0016132977325469255,0.2760516405105591,0.28617382049560547,0.4933079481124878,0.21599270403385162,0.3265252113342285,0.2760516405105591,0.5178600549697876,0.29679131507873535,0.24546024203300476,0.44245919585227966,0.31091248989105225
a,0.3320399522781372,0.2381647378206253,0.04866964742541313,0.2118925303220749,0.38201746344566345,0.5829201340675354,0.3080509603023529,0.3358194828033447,0.2118925303220749,0.48837921023368835,0.37653425335884094,0.2736286222934723,0.45503583550453186,0.23916715383529663
term,0.25282326340675354,0.17917905747890472,-0.02037568762898445,0.1905326247215271,0.2538062334060669,0.2740369141101837,1.0,0.24937687814235687,0.1905326247215271,0.24252156913280487,0.3898155987262726,0.4355846345424652,0.3310292959213257,0.1901002675294876
which,0.5261979103088379,0.2131938934326172,0.03856118768453598,0.23417861759662628,0.39111801981925964,0.6521818041801453,0.3138839900493622,0.3561212718486786,0.23417861759662628,0.32852497696876526,0.5185179114341736,0.23993368446826935,0.5345056653022766,0.25814583897590637
is,0.28837618231773376,0.2032168060541153,0.02396530658006668,0.2022145688533783,0.4403602182865143,0.5823672413825989,0.270183801651001,0.295592725276947,0.2022145688533783,0.5508411526679993,0.4094115197658539,0.32020241022109985,0.42745086550712585,0.22961433231830597
often,0.3849453330039978,0.2036796510219574,0.05346176400780678,0.20628474652767181,0.33894720673561096,0.38004449009895325,0.39294636249542236,0.26464158296585083,0.20628474652767181,0.1954335719347,0.6262778043746948,0.31560564041137695,0.4351843297481537,0.23748154938220978
used,0.27546408772468567,0.16890840232372284,0.00600846204906702,0.2245682328939438,0.3498048484325409,0.3718377649784088,0.4406372904777527,0.20504292845726013,0.2245682328939438,0.24871127307415009,0.4070849120616913,0.45630067586898804,0.40058770775794983,0.22430120408535004
to,0.455847829580307,0.272845596075058,0.03782717138528824,0.2362271547317505,0.4391997456550598,0.535392165184021,0.3310292959213257,0.2745462656021118,0.2362271547317505,0.34544456005096436,0.3871513605117798,0.24100381135940552,1.0,0.29463258385658264
denote,0.2585914134979248,0.24202433228492737,0.018652623519301414,0.12093822658061981,0.2529538869857788,0.2737175226211548,0.3571825623512268,0.1989954710006714,0.12093822658061981,0.21368640661239624,0.3554372191429138,0.3997305631637573,0.2229822427034378,0.2174435704946518
roman,0.17852471768856049,0.37049785256385803,0.11189179122447968,0.16209115087985992,0.12155745178461075,0.2862859070301056,0.1389225274324417,0.2596081793308258,0.16209115087985992,0.1355389654636383,0.1606704443693161,0.12361568957567215,0.24710409343242645,0.1663191318511963
catholic,0.1882777214050293,0.49107977747917175,0.06979791074991226,0.3252324163913727,0.14667953550815582,0.26391419768333435,0.13913162052631378,0.3620583713054657,0.3252324163913727,0.14540185034275055,0.17419087886810303,0.11436290293931961,0.2619607746601105,0.16609853506088257
schools,0.1820785105228424,0.3005248010158539,0.003616944421082735,1.0,0.19430282711982727,0.22905772924423218,0.1905326247215271,0.3757794499397278,1.0,0.18575283885002136,0.3060886263847351,0.1694997102022171,0.2362271547317505,0.18349280953407288
.,0.3567904531955719,0.28897368907928467,-0.003708066651597619,0.2752705216407776,0.3022993505001068,0.5934505462646484,0.18456575274467468,0.33611756563186646,0.2752705216407776,0.4806240200996399,0.3124077022075653,0.1410340517759323,0.4645031690597534,0.4130953550338745
