,what,is,one,issue,that,adds,to,the,complexity,of,a,pharmacist,'s,job,?
because,0.46729007363319397,0.4047735333442688,0.45408302545547485,0.2729478180408478,0.6503599286079407,0.2768804728984833,0.5166091918945312,0.44596394896507263,0.2576408088207245,0.4075504541397095,0.42230045795440674,0.16597485542297363,0.05210670828819275,0.32567542791366577,0.2528740465641022
of,0.33290785551071167,0.4854315221309662,0.4999135136604309,0.2598971724510193,0.41498205065727234,0.22539566457271576,0.41548454761505127,0.733189046382904,0.23338180780410767,1.0,0.5052502155303955,0.18185114860534668,-0.03817026689648628,0.2253132164478302,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.22164808213710785,0.5473989248275757,0.2595624327659607,0.535392165184021,1.0,0.21171598136425018,0.733189046382904,0.5829201340675354,0.18885643780231476,-0.01540423184633255,0.24242734909057617,0.22068053483963013
complexity,0.33747240900993347,0.2541271150112152,0.30865851044654846,0.3392961621284485,0.3234518766403198,0.2842738926410675,0.28336837887763977,0.21171598136425018,1.0,0.23338180780410767,0.27206721901893616,0.1542574018239975,0.04128362610936165,0.20377978682518005,0.23062916100025177
of,0.33290785551071167,0.4854315221309662,0.4999135136604309,0.2598971724510193,0.41498205065727234,0.22539566457271576,0.41548454761505127,0.733189046382904,0.23338180780410767,1.0,0.5052502155303955,0.18185114860534668,-0.03817026689648628,0.2253132164478302,0.1826142966747284
medications,0.2549620568752289,0.23351168632507324,0.22531351447105408,0.19415903091430664,0.31296592950820923,0.18915818631649017,0.2922739088535309,0.23477277159690857,0.30892837047576904,0.25834259390830994,0.2712159752845764,0.40428659319877625,-0.08309099823236465,0.25968310236930847,0.22114922106266022
including,0.18328791856765747,0.25093933939933777,0.3568016290664673,0.0981459841132164,0.31577053666114807,0.23922042548656464,0.24006329476833344,0.3738902807235718,0.17851760983467102,0.44195112586021423,0.21045410633087158,0.08948667347431183,0.0074059427715837955,0.13457424938678741,0.1633303165435791
specific,0.37695175409317017,0.27748769521713257,0.30612727999687195,0.20615947246551514,0.38467007875442505,0.3817332088947296,0.3962339460849762,0.3501757085323334,0.46581771969795227,0.2744234502315521,0.3531852960586548,0.20376618206501007,-0.007234338205307722,0.16218674182891846,0.30923372507095337
indications,0.271745502948761,0.24202032387256622,0.29948675632476807,0.29166924953460693,0.3937818706035614,0.2664930820465088,0.2605403959751129,0.3259499669075012,0.3244894742965698,0.32181286811828613,0.3466663062572479,0.1713215410709381,-0.05502885580062866,0.1740923970937729,0.23636196553707123
",",0.3087472915649414,0.4691906273365021,0.3696635365486145,0.22797159850597382,0.4137537479400635,0.24440766870975494,0.44245919585227966,0.4933079481124878,0.27822354435920715,0.4946078956127167,0.427140474319458,0.2383713573217392,-0.0016132977325469255,0.27190712094306946,0.31091248989105225
effectiveness,0.3100748360157013,0.16918699443340302,0.20980370044708252,0.2529344856739044,0.3626585602760315,0.2060779482126236,0.31169798970222473,0.2544728219509125,0.47302743792533875,0.2833517789840698,0.18092994391918182,0.21272028982639313,-0.028284037485718727,0.25401318073272705,0.2115587443113327
of,0.33290785551071167,0.4854315221309662,0.4999135136604309,0.2598971724510193,0.41498205065727234,0.22539566457271576,0.41548454761505127,0.733189046382904,0.23338180780410767,1.0,0.5052502155303955,0.18185114860534668,-0.03817026689648628,0.2253132164478302,0.1826142966747284
treatment,0.27640530467033386,0.20538249611854553,0.18775798380374908,0.18716144561767578,0.29742640256881714,0.12437275797128677,0.28204283118247986,0.2350214421749115,0.28155317902565,0.2632577419281006,0.23119685053825378,0.33917999267578125,-0.014997802674770355,0.2543089687824249,0.20314443111419678
