,what,is,the,main,gap,to,continued,urbanization,?
traveling,0.22746403515338898,0.16917747259140015,0.2753162384033203,0.1339193433523178,0.1318798065185547,0.2899523079395294,0.19505630433559418,0.15919890999794006,0.09575265645980835
south,0.15388517081737518,0.27680471539497375,0.3129390776157379,0.2475055456161499,0.19906271994113922,0.25657615065574646,0.22268138825893402,0.2105482816696167,0.12336621433496475
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.2898236811161041,0.12189792096614838,0.41031414270401,0.2799161672592163,0.2002630978822708,0.2714994251728058
interstate,0.2636648714542389,0.16842438280582428,0.21078766882419586,0.13636146485805511,0.17387555539608002,0.2701593041419983,0.11684747785329819,0.31918567419052124,0.1831059604883194
5,0.09269922226667404,0.009449449367821217,0.09255307912826538,0.02021098881959915,-0.09379661083221436,0.03588335961103439,0.05408908426761627,0.09730774164199829,0.06222071498632431
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2989408075809479,0.213828906416893,0.44245919585227966,0.2681589126586914,0.24346575140953064,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.38631999492645264,0.27986636757850647,0.535392165184021,0.29953038692474365,0.3108367621898651,0.22068053483963013
main,0.2344268560409546,0.3009335994720459,0.38631999492645264,1.0000001192092896,0.16816148161888123,0.26116618514060974,0.17922469973564148,0.19464775919914246,0.1665669083595276
gap,0.17691411077976227,0.19868990778923035,0.27986636757850647,0.16816148161888123,0.9999999403953552,0.22861579060554504,0.13259682059288025,0.13720670342445374,0.09251954406499863
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.26116618514060974,0.22861579060554504,1.0,0.33327484130859375,0.24816253781318665,0.29463258385658264
continued,0.17878234386444092,0.14516563713550568,0.29953038692474365,0.17922469973564148,0.13259682059288025,0.33327484130859375,0.9999999403953552,0.19814640283584595,0.10404038429260254
urbanization,0.1920248121023178,0.26478976011276245,0.3108367621898651,0.19464775919914246,0.13720670342445374,0.24816253781318665,0.19814640283584595,1.0,0.19104407727718353
is,0.28837618231773376,1.0,0.5823672413825989,0.3009335994720459,0.19868990778923035,0.42745086550712585,0.14516563713550568,0.26478976011276245,0.22961433231830597
camp,0.17394784092903137,0.14297960698604584,0.22520290315151215,0.09849328547716141,0.11827240139245987,0.20847123861312866,0.15976408123970032,0.184690922498703,0.13359582424163818
pendleton,0.18566900491714478,0.17311646044254303,0.2740131914615631,0.13773353397846222,0.17523229122161865,0.2483789026737213,0.2314969152212143,0.17944014072418213,0.148689866065979
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.31122034788131714,0.17168964445590973,0.4645031690597534,0.24624989926815033,0.21572183072566986,0.4130953550338745
