,what,is,the,second,busiest,airport,in,the,united,states,?
southern,0.18679563701152802,0.2419366091489792,0.3282862603664398,0.1761758178472519,0.28491127490997314,0.1950697898864746,0.3190481662750244,0.3282862603664398,0.2923206686973572,0.29004350304603577,0.11225555837154388
california,0.1811584085226059,0.20727038383483887,0.2750805914402008,0.17182625830173492,0.20019985735416412,0.16243690252304077,0.2772824168205261,0.2750805914402008,0.33969607949256897,0.3858724534511566,0.1409905105829239
is,0.28837618231773376,1.0,0.5823672413825989,0.3161451518535614,0.2508534789085388,0.22916455566883087,0.5394441485404968,0.5823672413825989,0.22408509254455566,0.21939043700695038,0.22961433231830597
home,0.1608789712190628,0.22316986322402954,0.28978195786476135,0.18149694800376892,0.20688223838806152,0.2079487293958664,0.30467477440834045,0.28978195786476135,0.3023967146873474,0.2323179841041565,0.0757145956158638
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.3098561465740204,0.19131967425346375,0.2481278032064438,0.45010748505592346,0.535392165184021,0.2715383470058441,0.2828785181045532,0.29463258385658264
los,0.12322991341352463,0.17008589208126068,0.2502395510673523,0.161736398935318,0.23854897916316986,0.24956868588924408,0.2795681953430176,0.2502395510673523,0.2349139302968979,0.2500098645687103,0.15495611727237701
angeles,0.10702074319124222,0.1558004766702652,0.24588194489479065,0.16591382026672363,0.24279502034187317,0.2300548404455185,0.23927895724773407,0.24588194489479065,0.253493070602417,0.27101314067840576,0.16139166057109833
international,0.10870302468538284,0.19279639422893524,0.23719607293605804,0.15938922762870789,0.361261785030365,0.5339593887329102,0.26377472281455994,0.23719607293605804,0.2979122996330261,0.26907017827033997,0.15335838496685028
airport,0.1263120174407959,0.22916455566883087,0.2293178290128708,0.17293816804885864,0.5352697968482971,0.9999998807907104,0.2244764268398285,0.2293178290128708,0.25466209650039673,0.20607154071331024,0.13105051219463348
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.29927265644073486,0.26035505533218384,0.2669869363307953,0.5201468467712402,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.4620301127433777,0.30110985040664673,0.2293178290128708,0.6662389636039734,1.0,0.34367692470550537,0.3463578522205353,0.22068053483963013
second-busiest,0.2516663670539856,0.3198900818824768,0.3870893716812134,0.5732051134109497,0.8840478658676147,0.5036026239395142,0.35564687848091125,0.3870893716812134,0.37695544958114624,0.3356114327907562,0.27712950110435486
airport,0.1263120174407959,0.22916455566883087,0.2293178290128708,0.17293816804885864,0.5352697968482971,0.9999998807907104,0.2244764268398285,0.2293178290128708,0.25466209650039673,0.20607154071331024,0.13105051219463348
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.34510284662246704,0.29075419902801514,0.2244764268398285,1.0,0.6662389636039734,0.3938477039337158,0.3977442979812622,0.20430970191955566
