,what,does,co-teaching,get,the,students,to,focus,on,?
co-teaching,0.3287157118320465,0.24101805686950684,1.0000001192092896,0.25610634684562683,0.32308104634284973,0.47762614488601685,0.3256809115409851,0.3288556933403015,0.3136269450187683,0.2545979619026184
focuses,0.27091580629348755,0.27512243390083313,0.35027480125427246,0.21480853855609894,0.26860302686691284,0.2938173711299896,0.27192121744155884,0.7032146453857422,0.32762500643730164,0.15887200832366943
the,0.42745697498321533,0.35928019881248474,0.32308104634284973,0.29667025804519653,1.0,0.25268980860710144,0.535392165184021,0.25318023562431335,0.5107308030128479,0.22068053483963013
student,0.20548318326473236,0.17782871425151825,0.421825110912323,0.18046964704990387,0.21259291470050812,0.7746244072914124,0.21220189332962036,0.24757154285907745,0.17496874928474426,0.13282090425491333
on,0.34226128458976746,0.2568802833557129,0.3136269450187683,0.2705233693122864,0.5107308030128479,0.2211644947528839,0.41031414270401,0.3158062696456909,0.9999999403953552,0.2714994251728058
learning,0.29806870222091675,0.21542014181613922,0.5404776930809021,0.20025894045829773,0.2504628002643585,0.4564066231250763,0.2609867453575134,0.3158664107322693,0.1940586417913437,0.25810256600379944
by,0.2455483376979828,0.143477201461792,0.2230493575334549,0.2411126047372818,0.4408751428127289,0.19252489507198334,0.33534231781959534,0.16751927137374878,0.33887791633605957,0.17966607213020325
providing,0.21766136586666107,0.281991183757782,0.35047510266304016,0.38446861505508423,0.29839932918548584,0.23267726600170135,0.3326144516468048,0.3055359423160553,0.23362857103347778,0.1936793476343155
a,0.3320399522781372,0.38201746344566345,0.2910955548286438,0.27948489785194397,0.5829201340675354,0.2676560878753662,0.45503583550453186,0.2499895542860031,0.3848365545272827,0.23916715383529663
social,0.22217629849910736,0.19126898050308228,0.2536717653274536,0.16817602515220642,0.21797899901866913,0.2797638177871704,0.19684761762619019,0.21748413145542145,0.24255602061748505,0.1615191102027893
networking,0.2650068402290344,0.20786353945732117,0.29020044207572937,0.24111169576644897,0.25055229663848877,0.2920892536640167,0.2734884023666382,0.3241535723209381,0.3352941572666168,0.23976853489875793
support,0.2797985076904297,0.27581554651260376,0.2463291436433792,0.3158719837665558,0.22984638810157776,0.19551120698451996,0.2742273211479187,0.23073913156986237,0.26417678594589233,0.22626608610153198
that,0.6297725439071655,0.4764937460422516,0.34640809893608093,0.3748580515384674,0.5473989248275757,0.2510627210140228,0.5436353087425232,0.3169008791446686,0.42569106817245483,0.32716336846351624
allows,0.1957017332315445,0.42367881536483765,0.22895590960979462,0.3865477442741394,0.2995605766773224,0.19089077413082123,0.4045441448688507,0.23252910375595093,0.2543024718761444,0.16094227135181427
them,0.4994642734527588,0.35492652654647827,0.34880635142326355,0.47671079635620117,0.4788833558559418,0.3271694779396057,0.5916602611541748,0.2844915986061096,0.30083513259887695,0.35435691475868225
to,0.455847829580307,0.4391997456550598,0.3256809115409851,0.4388369917869568,0.535392165184021,0.2905822694301605,1.0,0.33288413286209106,0.41031414270401,0.29463258385658264
reach,0.23399507999420166,0.20191240310668945,0.2944946587085724,0.41702982783317566,0.31808504462242126,0.18077003955841064,0.37959611415863037,0.17947828769683838,0.24619881808757782,0.13152138888835907
their,0.35142919421195984,0.29094186425209045,0.3226134181022644,0.3513234853744507,0.516537070274353,0.26472482085227966,0.44619059562683105,0.2851148545742035,0.3598666191101074,0.1898253709077835
full,0.20298334956169128,0.2477594017982483,0.22250968217849731,0.21685974299907684,0.2988807260990143,0.21220792829990387,0.2671089768409729,0.19403624534606934,0.2275353968143463,0.168479785323143
cognitive,0.32183772325515747,0.11789201945066452,0.3136989176273346,0.1888560652732849,0.19812634587287903,0.25341805815696716,0.23638887703418732,0.3586713969707489,0.11838488280773163,0.2140587568283081
potential,0.27308183908462524,0.3204158544540405,0.2334795445203781,0.2786426246166229,0.27955570816993713,0.17956462502479553,0.3595958650112152,0.29362910985946655,0.21637758612632751,0.20122039318084717
.,0.3567904531955719,0.3022993505001068,0.33857107162475586,0.39392393827438354,0.5934505462646484,0.2607303857803345,0.4645031690597534,0.21183714270591736,0.49257001280784607,0.4130953550338745
