,who,was,the,chief,executive,officer,when,the,service,began,?
the,0.3733934462070465,0.48711544275283813,1.0,0.2586921751499176,0.2402946650981903,0.25777485966682434,0.5091903209686279,1.0,0.22661015391349792,0.3059147596359253,0.22068053483963013
service,0.21098247170448303,0.22689001262187958,0.22661015391349792,0.17331288754940033,0.22056739032268524,0.3622538149356842,0.23540960252285004,0.22661015391349792,0.9999998807907104,0.2045394480228424,0.1676298975944519
started,0.2424432635307312,0.44883424043655396,0.3222070634365082,0.16489650309085846,0.17325524985790253,0.15827728807926178,0.3198525607585907,0.3222070634365082,0.21786507964134216,0.7646947503089905,0.19447724521160126
on,0.2340552806854248,0.3909217119216919,0.5107308030128479,0.12780416011810303,0.17521819472312927,0.18298856914043427,0.37706470489501953,0.5107308030128479,0.21384719014167786,0.29460400342941284,0.2714994251728058
1,-0.35742413997650146,-0.2275921255350113,-0.1554475575685501,-0.1292453110218048,-0.2236173301935196,-0.13985852897167206,-0.2683585286140442,-0.1554475575685501,-0.12019693851470947,-0.168930321931839,-0.249979168176651
september,0.21365830302238464,0.4425655007362366,0.2516939043998718,0.17897887527942657,0.19841398298740387,0.22069407999515533,0.2483685463666916,0.2516939043998718,0.15660975873470306,0.2613760828971863,0.2665146589279175
1993,0.19856210052967072,0.06596994400024414,-0.03424737602472305,0.08315122872591019,-0.008542919531464577,0.10948146879673004,0.006377574522048235,-0.03424737602472305,0.05928326025605202,0.033609408885240555,0.14008748531341553
based,0.20479141175746918,0.2870393395423889,0.29860720038414,0.08445168286561966,0.14334151148796082,0.11452042311429977,0.16572482883930206,0.29860720038414,0.16225408017635345,0.1990329921245575,0.134929820895195
on,0.2340552806854248,0.3909217119216919,0.5107308030128479,0.12780416011810303,0.17521819472312927,0.18298856914043427,0.37706470489501953,0.5107308030128479,0.21384719014167786,0.29460400342941284,0.2714994251728058
the,0.3733934462070465,0.48711544275283813,1.0,0.2586921751499176,0.2402946650981903,0.25777485966682434,0.5091903209686279,1.0,0.22661015391349792,0.3059147596359253,0.22068053483963013
idea,0.3689709007740021,0.2835119664669037,0.2839161455631256,0.1226133182644844,0.1815113127231598,0.11775410920381546,0.3021014332771301,0.2839161455631256,0.15625041723251343,0.19569742679595947,0.2952161729335785
from,0.27839982509613037,0.31171464920043945,0.40150508284568787,0.11242672055959702,0.17322325706481934,0.14622929692268372,0.405669629573822,0.40150508284568787,0.17239798605442047,0.2095840871334076,0.19969791173934937
the,0.3733934462070465,0.48711544275283813,1.0,0.2586921751499176,0.2402946650981903,0.25777485966682434,0.5091903209686279,1.0,0.22661015391349792,0.3059147596359253,0.22068053483963013
then,0.29952746629714966,0.27044644951820374,0.4297412931919098,0.12439149618148804,0.13311317563056946,0.17068153619766235,0.6026323437690735,0.4297412931919098,0.1748211532831192,0.23976291716098785,0.2884598970413208
chief,0.2604494094848633,0.2651097774505615,0.2586921751499176,1.0,0.4751940667629242,0.4874158501625061,0.166920006275177,0.2586921751499176,0.17331288754940033,0.1395382136106491,0.09466830641031265
executive,0.20786358416080475,0.26019418239593506,0.2402946650981903,0.4751940667629242,1.0,0.41244715452194214,0.1448189616203308,0.2402946650981903,0.22056739032268524,0.18584555387496948,0.12134998291730881
officer,0.31437572836875916,0.33140087127685547,0.25777485966682434,0.4874158501625061,0.41244715452194214,0.9999998807907104,0.22735248506069183,0.25777485966682434,0.3622538149356842,0.18946242332458496,0.119948610663414
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.22851578891277313,0.27674952149391174,0.2703348398208618,0.36674630641937256,0.4933079481124878,0.2389259785413742,0.2705576717853546,0.31091248989105225
