,what,was,the,bbc,hoping,that,an,independent,production,firm,would,do,for,doctor,who,?
while,0.35511791706085205,0.3253832161426544,0.39804592728614807,0.09729070961475372,0.35055211186408997,0.43523597717285156,0.23181851208209991,0.17131996154785156,0.17001426219940186,0.21443533897399902,0.38103634119033813,0.3032379448413849,0.4232339859008789,0.15308386087417603,0.4068111777305603,0.21076419949531555
in-house,0.29119497537612915,0.27276724576950073,0.28147611021995544,0.23989088833332062,0.21253575384616852,0.26939061284065247,0.2538491189479828,0.1262296736240387,0.22516636550426483,0.23179811239242554,0.22375628352165222,0.17680712044239044,0.24897325038909912,0.26454970240592957,0.26785269379615784,0.28404587507247925
production,0.16636081039905548,0.20499728620052338,0.2657334506511688,0.263007253408432,0.07420653849840164,0.2620202302932739,0.15461686253547668,0.13790655136108398,1.0,0.2532337009906769,0.224795863032341,0.10785744339227676,0.26936712861061096,0.13032284379005432,0.11406747996807098,0.19318072497844696
had,0.23849567770957947,0.5927209258079529,0.3875846862792969,0.2117813676595688,0.34582918882369995,0.4407361149787903,0.22327841818332672,0.14812247455120087,0.21679675579071045,0.20140236616134644,0.5436059832572937,0.24590566754341125,0.3270139992237091,0.19423192739486694,0.36173108220100403,0.20728366076946259
ceased,0.23302510380744934,0.34599167108535767,0.30325502157211304,0.17916838824748993,0.19473588466644287,0.2846452295780182,0.12017884850502014,0.35115692019462585,0.2480008453130722,0.2478877454996109,0.3032795190811157,0.18074266612529755,0.23000623285770416,0.067140594124794,0.15080536901950836,0.17789196968078613
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.14724469184875488,0.2312113642692566,0.4137537479400635,0.3581022024154663,0.24115799367427826,0.24176549911499023,0.21962358057498932,0.32586824893951416,0.3283645510673523,0.4464869201183319,0.20407600700855255,0.3365725874900818,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.2735401690006256,0.2712586224079132,0.5473989248275757,0.4207492768764496,0.2927691638469696,0.2657334506511688,0.185079887509346,0.4133751392364502,0.30239659547805786,0.4739971458911896,0.2820442318916321,0.3733934462070465,0.22068053483963013
bbc,0.20634698867797852,0.19087861478328705,0.2735401690006256,1.0000001192092896,0.13086675107479095,0.22032664716243744,0.16644445061683655,0.18437053263187408,0.263007253408432,0.13783231377601624,0.18435965478420258,0.15055225789546967,0.21995361149311066,0.32370132207870483,0.2086644321680069,0.20556949079036713
hoped,0.2258947193622589,0.34330829977989197,0.2776607275009155,0.1150725707411766,0.4550638198852539,0.38262858986854553,0.1749897599220276,0.17542216181755066,0.2211136817932129,0.17390097677707672,0.5514402389526367,0.2722025513648987,0.27987736463546753,0.11196738481521606,0.2771318554878235,0.15560154616832733
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.19421324133872986,0.42858216166496277,0.5436353087425232,0.3138085603713989,0.20949965715408325,0.2144220918416977,0.15583430230617523,0.5965728163719177,0.38876664638519287,0.4451248347759247,0.22950075566768646,0.42656609416007996,0.29463258385658264
find,0.3539876639842987,0.1268022209405899,0.2696352005004883,0.1256454885005951,0.3923630714416504,0.38642045855522156,0.20873939990997314,0.1542392373085022,0.07069768011569977,0.1488638073205948,0.3610367774963379,0.3571088910102844,0.3409616947174072,0.15955603122711182,0.3115674555301666,0.30313602089881897
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.16644445061683655,0.130753293633461,0.365763783454895,1.0,0.19614122807979584,0.15461686253547668,0.14570632576942444,0.2650099992752075,0.25865980982780457,0.3236706852912903,0.1790127456188202,0.2848317325115204,0.19793890416622162
independent,0.28752967715263367,0.2497003674507141,0.2927691638469696,0.18437053263187408,0.17425356805324554,0.24654069542884827,0.19614122807979584,1.0000001192092896,0.13790655136108398,0.23486225306987762,0.23463091254234314,0.20670229196548462,0.22318588197231293,0.1254311203956604,0.19686606526374817,0.11902587860822678
production,0.16636081039905548,0.20499728620052338,0.2657334506511688,0.263007253408432,0.07420653849840164,0.2620202302932739,0.15461686253547668,0.13790655136108398,1.0,0.2532337009906769,0.224795863032341,0.10785744339227676,0.26936712861061096,0.13032284379005432,0.11406747996807098,0.19318072497844696
company,0.2333769053220749,0.2293137013912201,0.26591673493385315,0.14817993342876434,0.13321372866630554,0.22723333537578583,0.13791987299919128,0.23205801844596863,0.3937291204929352,0.37801259756088257,0.2073281854391098,0.11940434575080872,0.25874319672584534,0.11374695599079132,0.2383776307106018,0.12195809185504913
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.19421324133872986,0.42858216166496277,0.5436353087425232,0.3138085603713989,0.20949965715408325,0.2144220918416977,0.15583430230617523,0.5965728163719177,0.38876664638519287,0.4451248347759247,0.22950075566768646,0.42656609416007996,0.29463258385658264
