,what,measurement,of,time,is,used,in,polynomial,time,reduction,?
this,0.5489566326141357,0.3301146924495697,0.45148900151252747,0.43249568343162537,0.480927973985672,0.3996967375278473,0.45205554366111755,0.2959214150905609,0.43249568343162537,0.366619348526001,0.3155723512172699
means,0.2553325295448303,0.29225772619247437,0.29942914843559265,0.259402871131897,0.4087343215942383,0.3492375612258911,0.1979396492242813,0.3545081615447998,0.259402871131897,0.32128655910491943,0.21233566105365753
that,0.6297725439071655,0.3125736713409424,0.41498205065727234,0.388528436422348,0.3995479643344879,0.37621384859085083,0.435920387506485,0.33595728874206543,0.388528436422348,0.2762419581413269,0.32716336846351624
the,0.42745697498321533,0.2747146487236023,0.733189046382904,0.43061500787734985,0.5823672413825989,0.3718377649784088,0.6662389636039734,0.1902180016040802,0.43061500787734985,0.27052462100982666,0.22068053483963013
reduction,0.19884426891803741,0.32137560844421387,0.2803387939929962,0.15460512042045593,0.2509012222290039,0.2839129567146301,0.24459965527057648,0.35679155588150024,0.15460512042045593,0.9999998807907104,0.1612403839826584
process,0.3466717302799225,0.2849065661430359,0.23962904512882233,0.3262229263782501,0.21762968599796295,0.2672698497772217,0.19851736724376678,0.31608858704566956,0.3262229263782501,0.41368618607521057,0.2460896074771881
takes,0.15264007449150085,0.18882009387016296,0.3277401030063629,0.2866765260696411,0.4061736762523651,0.2706671953201294,0.2945663630962372,0.2270689606666565,0.2866765260696411,0.18019093573093414,0.10935472697019577
polynomial,0.265341192483902,0.44779619574546814,0.23810522258281708,0.28301435708999634,0.2560946047306061,0.27891805768013,0.1631830483675003,1.0000001192092896,0.28301435708999634,0.35679155588150024,0.255467027425766
time,0.36319252848625183,0.2724420130252838,0.35127586126327515,0.9999998807907104,0.25187405943870544,0.2869652807712555,0.3431483507156372,0.28301435708999634,0.9999998807907104,0.15460512042045593,0.27391523122787476
.,0.3567904531955719,0.2378474473953247,0.5352458953857422,0.371569961309433,0.4569662809371948,0.33111312985420227,0.5591574311256409,0.2530868649482727,0.371569961309433,0.23716990649700165,0.4130953550338745
