,where,does,the,gold,in,the,parliamentary,mace,come,from,?
in,0.5344807505607605,0.214483380317688,0.6662389636039734,0.21206732094287872,1.0,0.6662389636039734,0.2472391128540039,0.13083815574645996,0.26272067427635193,0.4274188280105591,0.20430970191955566
front,0.24969139695167542,0.18855611979961395,0.3733479380607605,0.08374827355146408,0.22647713124752045,0.3733479380607605,0.21647793054580688,0.16698189079761505,0.1633278876543045,0.17462462186813354,0.16351862251758575
of,0.38066378235816956,0.3119818866252899,0.733189046382904,0.2101457566022873,0.5696388483047485,0.733189046382904,0.33805084228515625,0.17358121275901794,0.3194141983985901,0.4249346852302551,0.1826142966747284
the,0.5003893971443176,0.35928019881248474,1.0,0.27136439085006714,0.6662389636039734,1.0,0.2708897888660431,0.18704354763031006,0.36020293831825256,0.40150508284568787,0.22068053483963013
presiding,0.1073610708117485,0.16423818469047546,0.3267684876918793,0.1746312528848648,0.21499644219875336,0.3267684876918793,0.4496363401412964,0.09487076103687286,0.14295285940170288,0.20074374973773956,0.177648663520813
officers,0.18500342965126038,0.17240068316459656,0.2831277847290039,0.22541657090187073,0.23425941169261932,0.2831277847290039,0.28845396637916565,0.2173415571451187,0.15372462570667267,0.1617758423089981,0.14072641730308533
',0.24928376078605652,0.2684852182865143,0.474788099527359,0.19723203778266907,0.4158826768398285,0.474788099527359,0.12446722388267517,0.17710840702056885,0.24833717942237854,0.20019984245300293,0.330942302942276
desk,0.28563636541366577,0.2142142951488495,0.2488364726305008,0.19098630547523499,0.23029497265815735,0.2488364726305008,0.14121630787849426,0.17881397902965546,0.20566435158252716,0.16176730394363403,0.19536134600639343
is,0.3586711287498474,0.4403602182865143,0.5823672413825989,0.16155372560024261,0.5394441485404968,0.5823672413825989,0.1731702983379364,0.18705031275749207,0.25866594910621643,0.27355384826660156,0.22961433231830597
the,0.5003893971443176,0.35928019881248474,1.0,0.27136439085006714,0.6662389636039734,1.0,0.2708897888660431,0.18704354763031006,0.36020293831825256,0.40150508284568787,0.22068053483963013
parliamentary,0.1367289423942566,0.20548999309539795,0.2708897888660431,0.13841357827186584,0.2472391128540039,0.2708897888660431,1.0,0.1259879469871521,0.12400970607995987,0.17162030935287476,0.1612216979265213
mace,0.12248203158378601,0.16450878977775574,0.18704354763031006,0.15767322480678558,0.13083815574645996,0.18704354763031006,0.1259879469871521,1.0000001192092896,0.0727124735713005,0.12413929402828217,0.07025778293609619
",",0.3149496018886566,0.28617382049560547,0.4933079481124878,0.28787803649902344,0.5201468467712402,0.4933079481124878,0.23071794211864471,0.2637544572353363,0.350309282541275,0.39760664105415344,0.31091248989105225
which,0.5477990508079529,0.39111801981925964,0.6521818041801453,0.2007036805152893,0.4840516746044159,0.6521818041801453,0.2640989124774933,0.14371919631958008,0.3183249235153198,0.38755592703819275,0.25814583897590637
is,0.3586711287498474,0.4403602182865143,0.5823672413825989,0.16155372560024261,0.5394441485404968,0.5823672413825989,0.1731702983379364,0.18705031275749207,0.25866594910621643,0.27355384826660156,0.22961433231830597
made,0.20431210100650787,0.20829549431800842,0.3885267674922943,0.21762214601039886,0.25271502137184143,0.3885267674922943,0.2169574797153473,0.190179705619812,0.29641416668891907,0.23003742098808289,0.17218779027462006
from,0.3713873624801636,0.1777622550725937,0.40150508284568787,0.18462617695331573,0.4274188280105591,0.40150508284568787,0.17162030935287476,0.12413929402828217,0.32651904225349426,1.0,0.19969791173934937
silver,0.1542462557554245,0.1293029487133026,0.2600913643836975,0.6871094107627869,0.2021934986114502,0.2600913643836975,0.10823360085487366,0.23728060722351074,0.1594388633966446,0.14321425557136536,0.11920861899852753
and,0.43859338760375977,0.3461615741252899,0.5171257257461548,0.26129499077796936,0.4954058527946472,0.5171257257461548,0.30461975932121277,0.24771526455879211,0.3412281572818756,0.3601827025413513,0.20544172823429108
inlaid,0.2353929877281189,0.16527236998081207,0.29471835494041443,0.3239758610725403,0.17142152786254883,0.29471835494041443,0.1642235368490219,0.22763141989707947,0.23186367750167847,0.23986560106277466,0.17906951904296875
with,0.4142743945121765,0.26186925172805786,0.4223487675189972,0.1599307656288147,0.4080928862094879,0.4223487675189972,0.15965069830417633,0.2863532602787018,0.27227720618247986,0.26272761821746826,0.2433311939239502
gold,0.20650091767311096,0.10554102808237076,0.27136439085006714,0.9999999403953552,0.21206732094287872,0.27136439085006714,0.13841357827186584,0.15767322480678558,0.1781209111213684,0.18462617695331573,0.11542754620313644
panned,0.10565350204706192,0.14698627591133118,0.271035760641098,0.06936971843242645,0.23587462306022644,0.271035760641098,0.16586263477802277,0.011758267879486084,0.16418440639972687,0.29055312275886536,0.18019860982894897
from,0.3713873624801636,0.1777622550725937,0.40150508284568787,0.18462617695331573,0.4274188280105591,0.40150508284568787,0.17162030935287476,0.12413929402828217,0.32651904225349426,1.0,0.19969791173934937
scottish,0.16515733301639557,0.13870032131671906,0.21724988520145416,0.0705331414937973,0.16512006521224976,0.21724988520145416,0.3121192455291748,0.27674221992492676,0.1605241894721985,0.15378767251968384,0.06442669779062271
rivers,0.21378211677074432,0.17477521300315857,0.25597620010375977,0.12302232533693314,0.21755525469779968,0.25597620010375977,0.14589038491249084,0.15109491348266602,0.2027038037776947,0.19521093368530273,0.15866327285766602
and,0.43859338760375977,0.3461615741252899,0.5171257257461548,0.26129499077796936,0.4954058527946472,0.5171257257461548,0.30461975932121277,0.24771526455879211,0.3412281572818756,0.3601827025413513,0.20544172823429108
inscribed,0.16820956766605377,0.12424404174089432,0.2901443839073181,0.19806016981601715,0.21636895835399628,0.2901443839073181,0.13800980150699615,0.1300564706325531,0.15078113973140717,0.12454388290643692,0.14062443375587463
with,0.4142743945121765,0.26186925172805786,0.4223487675189972,0.1599307656288147,0.4080928862094879,0.4223487675189972,0.15965069830417633,0.2863532602787018,0.27227720618247986,0.26272761821746826,0.2433311939239502
the,0.5003893971443176,0.35928019881248474,1.0,0.27136439085006714,0.6662389636039734,1.0,0.2708897888660431,0.18704354763031006,0.36020293831825256,0.40150508284568787,0.22068053483963013
