,how,many,years,has,thomas,davis,played,in,the,nfl,?
carolina,0.1482512354850769,0.12399670481681824,0.214823916554451,0.15143901109695435,0.1952405422925949,0.22498787939548492,0.1683724820613861,0.2380082756280899,0.24749229848384857,0.25462281703948975,0.11847445368766785
suffered,0.10068628937005997,0.22810456156730652,0.26297956705093384,0.19488826394081116,0.17204545438289642,0.14957281947135925,0.26206138730049133,0.277639776468277,0.2558774948120117,0.16087491810321808,0.08963493257761002
a,0.29312583804130554,0.2872205972671509,0.23773819208145142,0.4670248031616211,0.19268037378787994,0.19002141058444977,0.2472371906042099,0.539380669593811,0.5829201340675354,0.1210956797003746,0.23916715383529663
major,0.12500809133052826,0.2907782793045044,0.18502649664878845,0.2243996560573578,0.10622677206993103,0.14990930259227753,0.20760951936244965,0.3249945342540741,0.31775903701782227,0.1551099270582199,0.19788557291030884
setback,0.22744563221931458,0.29354143142700195,0.2351355254650116,0.22876425087451935,0.12432343512773514,0.136392280459404,0.14497312903404236,0.28636541962623596,0.3215973973274231,0.22603654861450195,0.20897552371025085
when,0.4767928421497345,0.36563900113105774,0.3409145474433899,0.34538573026657104,0.19259870052337646,0.23257681727409363,0.17054396867752075,0.4431333839893341,0.5091903209686279,0.13304822146892548,0.22841128706932068
thomas,0.16050536930561066,0.1573767364025116,0.1830771565437317,0.129233717918396,1.0000001192092896,0.35804271697998047,0.1526159644126892,0.21133768558502197,0.23505409061908722,0.19426441192626953,0.16133050620555878
davis,0.18671093881130219,0.17346549034118652,0.1879660040140152,0.17801205813884735,0.35804271697998047,0.9999999403953552,0.25531095266342163,0.20000724494457245,0.25552070140838623,0.22286294400691986,0.17094263434410095
",",0.22659391164779663,0.40610817074775696,0.2589467465877533,0.3734780251979828,0.25079426169395447,0.31438660621643066,0.2987361550331116,0.5201468467712402,0.4933079481124878,0.18939071893692017,0.31091248989105225
an,0.2520636022090912,0.2465583086013794,0.17872706055641174,0.2991473078727722,0.15775039792060852,0.24183200299739838,0.16061121225357056,0.2605783939361572,0.4207492768764496,0.05365698039531708,0.19793890416622162
11-year,0.14921990036964417,0.10461671650409698,0.42587047815322876,0.1141875758767128,0.19694937765598297,0.21379505097866058,0.2222844958305359,0.2812681794166565,0.25359681248664856,0.3008342683315277,0.32096078991889954
veteran,0.12678517401218414,0.14570657908916473,0.13676080107688904,0.13313435018062592,0.20413291454315186,0.30011120438575745,0.30701375007629395,0.18765248358249664,0.2511998414993286,0.2650030851364136,0.15891358256340027
who,0.4070430099964142,0.4149286150932312,0.29867154359817505,0.2558172643184662,0.26103657484054565,0.2547153830528259,0.26104769110679626,0.2792111933231354,0.3733934462070465,0.13425186276435852,0.26220351457595825
had,0.2549138069152832,0.40130746364593506,0.36797329783439636,0.5787927508354187,0.21442335844039917,0.263392835855484,0.2842930257320404,0.385026752948761,0.3875846862792969,0.17032240331172943,0.20728366076946259
already,0.3991519510746002,0.3823341131210327,0.30330413579940796,0.43795865774154663,0.2052728533744812,0.20857298374176025,0.18094748258590698,0.288102924823761,0.34582915902137756,0.17319682240486145,0.3477933406829834
overcome,0.3281119763851166,0.3081951439380646,0.15576457977294922,0.11532927304506302,0.11337356269359589,0.21739228069782257,0.14350156486034393,0.1771119087934494,0.19138307869434357,0.06490420550107956,0.17361730337142944
three,0.23807744681835175,0.4501400589942932,0.32563796639442444,0.3388388752937317,0.11748330295085907,0.14830386638641357,0.2819078266620636,0.34828072786331177,0.43452659249305725,0.13591039180755615,0.20928427577018738
acl,0.10720912367105484,0.1294878125190735,0.17720149457454681,0.15047228336334229,0.1752455085515976,0.21683122217655182,0.12991954386234283,0.15011103451251984,0.23845629394054413,0.2741280198097229,0.14736860990524292
