,who,was,the,receiver,on,the,successful,2-point,conversion,?
then,0.29952746629714966,0.27044644951820374,0.4297412931919098,0.23940205574035645,0.30262795090675354,0.4297412931919098,0.2341422736644745,0.31110796332359314,0.20449036359786987,0.2884598970413208
anderson,0.27154824137687683,0.22858858108520508,0.22428388893604279,0.2525559663772583,0.19681623578071594,0.22428388893604279,0.1718917340040207,0.15255425870418549,0.10545983165502548,0.1857001930475235
scored,0.2029072493314743,0.28883489966392517,0.22936925292015076,0.2782537043094635,0.23573710024356842,0.22936925292015076,0.3375881016254425,0.23393644392490387,0.16540317237377167,0.14548702538013458
on,0.2340552806854248,0.3909217119216919,0.5107308030128479,0.21347767114639282,0.9999999403953552,0.5107308030128479,0.22642658650875092,0.19574500620365143,0.17886362969875336,0.2714994251728058
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.2591530680656433,0.3848365545272827,0.5829201340675354,0.28627005219459534,0.29402533173561096,0.23848766088485718,0.23916715383529663
2-yard,0.26910650730133057,0.27245187759399414,0.2685171961784363,0.1718309223651886,0.1985194832086563,0.2685171961784363,0.08869172632694244,0.26539650559425354,0.2145838737487793,0.09816810488700867
touchdown,0.13768897950649261,0.19985096156597137,0.1805710643529892,0.47619199752807617,0.16085277497768402,0.1805710643529892,0.26008886098861694,0.2510567307472229,0.23410968482494354,0.12741123139858246
run,0.2372417002916336,0.18548552691936493,0.27883726358413696,0.1439242959022522,0.2348233312368393,0.27883726358413696,0.24167193472385406,0.2579146921634674,0.20100045204162598,0.17904110252857208
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.23549625277519226,0.4077630043029785,0.5171257257461548,0.2795376479625702,0.2559663653373718,0.23347200453281403,0.20544172823429108
manning,0.33436715602874756,0.2607507109642029,0.27058160305023193,0.38810068368911743,0.25339728593826294,0.27058160305023193,0.23190335929393768,0.1682332307100296,0.1929570883512497,0.15856626629829407
completed,0.15320545434951782,0.3156263828277588,0.29278936982154846,0.19345712661743164,0.26186099648475647,0.29278936982154846,0.26166242361068726,0.1564076542854309,0.19715449213981628,0.08272653818130493
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.2591530680656433,0.3848365545272827,0.5829201340675354,0.28627005219459534,0.29402533173561096,0.23848766088485718,0.23916715383529663
pass,0.12504667043685913,0.1040167361497879,0.25961899757385254,0.31649863719940186,0.13331516087055206,0.25961899757385254,0.16553471982479095,0.24482090771198273,0.15257783234119415,0.09478675574064255
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.25238820910453796,0.41031414270401,0.535392165184021,0.2317596971988678,0.3183855712413788,0.30520233511924744,0.29463258385658264
bennie,0.29274699091911316,0.24956412613391876,0.1505264788866043,0.19062897562980652,0.24919556081295013,0.1505264788866043,0.12704309821128845,0.18585412204265594,0.047324057668447495,0.20028041303157806
fowler,0.28728610277175903,0.2713168263435364,0.2659781575202942,0.18258996307849884,0.17176508903503418,0.2659781575202942,0.1867848038673401,0.17908525466918945,0.0635225847363472,0.19972145557403564
for,0.37110671401023865,0.3863949179649353,0.4739971458911896,0.2781907320022583,0.36199691891670227,0.4739971458911896,0.2988608777523041,0.27517232298851013,0.23820045590400696,0.264628142118454
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.2591530680656433,0.3848365545272827,0.5829201340675354,0.28627005219459534,0.29402533173561096,0.23848766088485718,0.23916715383529663
2-point,0.19019058346748352,0.16213767230510712,0.2521202266216278,0.2810041010379791,0.19574500620365143,0.2521202266216278,0.10657624155282974,0.9999999403953552,0.3315468430519104,0.3058913052082062
conversion,0.1042092815041542,0.12238868325948715,0.2308437079191208,0.2321351319551468,0.17886362969875336,0.2308437079191208,0.08221760392189026,0.3315468430519104,1.0000001192092896,0.1924358606338501
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.25716352462768555,0.49057599902153015,0.4933079481124878,0.28826844692230225,0.3165815770626068,0.18442223966121674,0.31091248989105225
giving,0.2905098795890808,0.2248714715242386,0.3626074492931366,0.19355836510658264,0.27042704820632935,0.3626074492931366,0.11067220568656921,0.19217196106910706,0.2468922883272171,0.2052922248840332
denver,0.20955970883369446,0.2766761779785156,0.2052404284477234,0.3274553716182709,0.1561855524778366,0.2052404284477234,0.19160042703151703,0.13130846619606018,0.19840008020401,0.1520889848470688
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.2591530680656433,0.3848365545272827,0.5829201340675354,0.28627005219459534,0.29402533173561096,0.23848766088485718,0.23916715383529663
24–10,0.15330377221107483,0.1353306919336319,0.1489364504814148,-0.11908143013715744,0.1515713334083557,0.1489364504814148,0.06379436701536179,0.11110815405845642,-0.013712135143578053,0.06738992035388947
lead,0.19455209374427795,0.1970783770084381,0.21995973587036133,0.17725756764411926,0.18420197069644928,0.21995973587036133,0.15589913725852966,0.16717588901519775,0.1906900405883789,0.14552436769008636
with,0.3282766342163086,0.27411898970603943,0.4223487675189972,0.19242490828037262,0.40749499201774597,0.4223487675189972,0.23784777522087097,0.2888542115688324,0.21122929453849792,0.2433311939239502
3:08,0.09268812835216522,0.02700149640440941,0.07741329073905945,-0.04089812561869621,-0.019324814900755882,0.07741329073905945,-0.025127848610281944,0.11287716776132584,0.1042836382985115,0.1286461055278778
left,0.24052289128303528,0.21956826746463776,0.33113980293273926,0.14060206711292267,0.30747801065444946,0.33113980293273926,0.15977251529693604,0.16091491281986237,0.11976578086614609,0.13251960277557373
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.23549625277519226,0.4077630043029785,0.5171257257461548,0.2795376479625702,0.2559663653373718,0.23347200453281403,0.20544172823429108
essentially,0.19515877962112427,0.223532572388649,0.2945486903190613,0.1276952475309372,0.23704056441783905,0.2945486903190613,0.1917293220758438,0.3794775605201721,0.2523758113384247,0.24316146969795227
putting,0.2151329517364502,0.1507883369922638,0.3357599675655365,0.11744276434183121,0.28338295221328735,0.3357599675655365,0.12675721943378448,0.2766048312187195,0.24289613962173462,0.26915207505226135
the,0.3733934462070465,0.48711544275283813,1.0,0.21850530803203583,0.5107308030128479,1.0,0.31354787945747375,0.2521202266216278,0.2308437079191208,0.22068053483963013
game,0.2523840069770813,0.2568269371986389,0.285271555185318,0.2444303035736084,0.22967135906219482,0.285271555185318,0.2542986273765564,0.1634867787361145,0.16785351932048798,0.1829071193933487
away,0.2651624381542206,0.1712075024843216,0.29030847549438477,0.1598411500453949,0.20892785489559174,0.29030847549438477,0.13826514780521393,0.17360295355319977,0.20789681375026703,0.15156377851963043
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.23982074856758118,0.49257001280784607,0.5934505462646484,0.361310213804245,0.2849007546901703,0.24464362859725952,0.4130953550338745
