,what,was,newton,'s,quarterback,rating,for,2015,?
pro,0.18814358115196228,0.21248771250247955,0.10714779049158096,-0.09904184192419052,0.24708674848079681,0.1259651780128479,0.2676255404949188,0.052606672048568726,0.17645101249217987
bowl,0.15942467749118805,0.21915455162525177,0.1892489492893219,-0.02838491089642048,0.37160974740982056,0.1765792816877365,0.24430087208747864,0.0710686594247818,0.21118052303791046
quarterback,0.15767325460910797,0.24103644490242004,0.29465755820274353,-0.05772290751338005,1.0000001192092896,0.3159805238246918,0.2683273255825043,-0.07722106575965881,0.13221268355846405
cam,0.15654346346855164,0.17764709889888763,0.32548287510871887,0.07134929299354553,0.25592461228370667,0.08527947217226028,0.22685806453227997,-0.0011327267857268453,0.1622646003961563
newton,0.20841743052005768,0.25264593958854675,1.0000001192092896,0.027833467349410057,0.29465755820274353,0.20168572664260864,0.18168501555919647,0.04000600054860115,0.09645649790763855
had,0.23849567770957947,0.5927209258079529,0.17341329157352448,-0.004401352722197771,0.18042391538619995,0.16150768101215363,0.3270139992237091,0.0605347566306591,0.20728366076946259
one,0.376489520072937,0.3752199709415436,0.20534484088420868,0.06913424283266068,0.2033592313528061,0.1861667037010193,0.384836345911026,-0.006648390553891659,0.2673267424106598
of,0.33290785551071167,0.4069072902202606,0.18479612469673157,-0.03817026689648628,0.19996441900730133,0.20229244232177734,0.4185989499092102,0.21138253808021545,0.1826142966747284
his,0.26976513862609863,0.4405253231525421,0.2519145607948303,0.047556519508361816,0.26448479294776917,0.17124179005622864,0.39312878251075745,0.0642445981502533,0.18075084686279297
best,0.3036847710609436,0.2817839980125427,0.20502272248268127,0.06545830518007278,0.23861365020275116,0.22740329802036285,0.45128104090690613,-0.06681548804044724,0.2799045741558075
seasons,0.13544028997421265,0.24377715587615967,0.10007040947675705,0.02644028328359127,0.37501752376556396,0.2254241704940796,0.26410943269729614,-0.060289785265922546,0.13766995072364807
",",0.3087472915649414,0.45456063747406006,0.2648763358592987,-0.0016132977325469255,0.2844501733779907,0.2322022169828415,0.4464869201183319,0.06568983197212219,0.31091248989105225
throwing,0.19878846406936646,0.19002126157283783,0.1744842380285263,0.050111886113882065,0.33489251136779785,0.26065024733543396,0.29772108793258667,0.049856171011924744,0.15241092443466187
for,0.3017193675041199,0.3863949179649353,0.18168501555919647,-0.07241261005401611,0.2683273255825043,0.26534613966941833,0.9999999403953552,-0.08512632548809052,0.264628142118454
