,where,is,the,santa,fe,railroad,depot,located,?
the,0.5003893971443176,0.5823672413825989,1.0,0.23511074483394623,0.17900191247463226,0.2709158957004547,0.23514911532402039,0.407527357339859,0.22068053483963013
main,0.30628275871276855,0.3009335994720459,0.38631999492645264,0.17135679721832275,0.15032321214675903,0.18643635511398315,0.22720418870449066,0.2649710774421692,0.1665669083595276
passenger,0.12246131896972656,0.19047372043132782,0.22676396369934082,0.12410137802362442,0.15668906271457672,0.41995763778686523,0.3570994734764099,0.15575194358825684,0.13056927919387817
rail,0.16470155119895935,0.20201268792152405,0.2306264042854309,0.09065617620944977,0.19632214307785034,0.5663598775863647,0.3889348804950714,0.1801213175058365,0.1349031925201416
station,0.22516782581806183,0.19625909626483917,0.23609806597232819,0.10714466124773026,0.0812825933098793,0.3930911719799042,0.4631052613258362,0.34322288632392883,0.12574981153011322
is,0.3586711287498474,1.0,0.5823672413825989,0.1796122044324875,0.16083765029907227,0.1601245403289795,0.13600373268127441,0.35717159509658813,0.22961433231830597
the,0.5003893971443176,0.5823672413825989,1.0,0.23511074483394623,0.17900191247463226,0.2709158957004547,0.23514911532402039,0.407527357339859,0.22068053483963013
recently,0.33147677779197693,0.3312858045101166,0.2774651348590851,0.19086548686027527,0.11463509500026703,0.13246621191501617,0.18914958834648132,0.11044682562351227,0.18352322280406952
renovated,0.1708427369594574,0.11681315302848816,0.2306516468524933,0.1870356798171997,0.08461234718561172,0.23442867398262024,0.3400680124759674,0.34104469418525696,0.1532990038394928
historic,0.21678440272808075,0.19778819382190704,0.2829611599445343,0.24245135486125946,0.1982944756746292,0.2436114102602005,0.236794114112854,0.3538631200790405,0.09992891550064087
santa,0.18257969617843628,0.1796122044324875,0.23511074483394623,1.0,0.5769588351249695,0.20218431949615479,0.18795649707317352,0.1778476983308792,0.17321589589118958
fe,0.15599949657917023,0.16083765029907227,0.17900191247463226,0.5769588351249695,0.9999998807907104,0.2470867782831192,0.1970105767250061,0.16167932748794556,0.16597414016723633
railroad,0.16591429710388184,0.1601245403289795,0.2709158957004547,0.20218431949615479,0.2470867782831192,0.9999999403953552,0.4355633556842804,0.26973089575767517,0.0920378789305687
depot,0.25384119153022766,0.13600373268127441,0.23514911532402039,0.18795649707317352,0.1970105767250061,0.4355633556842804,1.0000001192092896,0.2569713592529297,0.15750384330749512
in,0.5344807505607605,0.5394441485404968,0.6662389636039734,0.20108501613140106,0.16520394384860992,0.20349381864070892,0.1812848597764969,0.35149815678596497,0.20430970191955566
downtown,0.23497049510478973,0.21999821066856384,0.2602716088294983,0.2728801667690277,0.201235830783844,0.40610018372535706,0.34843745827674866,0.4125281572341919,0.15638743340969086
fresno,0.24837370216846466,0.2127077877521515,0.22571885585784912,0.42344537377357483,0.3314886689186096,0.23137147724628448,0.2428734004497528,0.2243264764547348,0.13224096596240997
.,0.41390106081962585,0.4569662809371948,0.5934505462646484,0.22195746004581451,0.23610013723373413,0.22421196103096008,0.22382807731628418,0.28226932883262634,0.4130953550338745
