,where,does,hamas,originate,?
the,0.5003893971443176,0.35928019881248474,0.25661513209342957,0.2916457951068878,0.22068053483963013
islamist,0.16480803489685059,0.177557572722435,0.49892285466194153,0.19486002624034882,0.14697067439556122
groups,0.18735745549201965,0.1172703430056572,0.2549143433570862,0.249405175447464,0.14349548518657684
like,0.3468869626522064,0.3720950186252594,0.17972448468208313,0.32213640213012695,0.3268813192844391
hezbollah,0.17384587228298187,0.2204204648733139,0.5634595155715942,0.19950267672538757,0.2066831886768341
in,0.5344807505607605,0.214483380317688,0.16542012989521027,0.18074475228786469,0.20430970191955566
lebanon,0.18441693484783173,0.16611254215240479,0.47883111238479614,0.15299265086650848,0.16440971195697784
and,0.43859338760375977,0.3461615741252899,0.2204926311969757,0.18956467509269714,0.20544172823429108
hamas,0.10839533060789108,0.22686871886253357,0.9999999403953552,0.07348961383104324,0.188774973154068
in,0.5344807505607605,0.214483380317688,0.16542012989521027,0.18074475228786469,0.20430970191955566
palestine,0.23737183213233948,0.16289407014846802,0.49194228649139404,0.15080374479293823,0.19504891335964203
participate,0.28670576214790344,0.20950672030448914,0.22040152549743652,0.098416268825531,0.2079276293516159
in,0.5344807505607605,0.214483380317688,0.16542012989521027,0.18074475228786469,0.20430970191955566
democratic,0.11365075409412384,0.1422075480222702,0.3128281831741333,0.2074529081583023,0.1668088138103485
and,0.43859338760375977,0.3461615741252899,0.2204926311969757,0.18956467509269714,0.20544172823429108
political,0.16760075092315674,0.16916483640670776,0.29284191131591797,0.1607588678598404,0.17130474746227264
process,0.24239255487918854,0.2672620415687561,0.1683041751384735,0.17820310592651367,0.2460896074771881
as,0.35409465432167053,0.31202155351638794,0.2220972329378128,0.21823285520076752,0.27043893933296204
well,0.4122413992881775,0.3239245116710663,0.19676947593688965,0.30504509806632996,0.24815571308135986
as,0.35409465432167053,0.31202155351638794,0.2220972329378128,0.21823285520076752,0.27043893933296204
armed,0.14598114788532257,0.10074612498283386,0.36810141801834106,0.20461171865463257,0.18816959857940674
attacks,0.18896746635437012,0.17400863766670227,0.33214959502220154,0.1191447377204895,0.14532065391540527
",",0.3149496018886566,0.28617382049560547,0.21630539000034332,0.21421478688716888,0.31091248989105225
seeking,0.25603801012039185,0.3133334219455719,0.25404247641563416,0.21391047537326813,0.21199938654899597
to,0.47735077142715454,0.4391997456550598,0.20350603759288788,0.3088313639163971,0.29463258385658264
abolish,0.09476224333047867,0.21801964938640594,0.21901901066303253,0.15214845538139343,0.15478065609931946
the,0.5003893971443176,0.35928019881248474,0.25661513209342957,0.2916457951068878,0.22068053483963013
state,0.2583591639995575,0.15987756848335266,0.21303389966487885,0.19309790432453156,0.1160883978009224
of,0.38066378235816956,0.3119818866252899,0.1995590180158615,0.2774103581905365,0.1826142966747284
israel,0.2039003223180771,0.17725017666816711,0.46480703353881836,0.12254159152507782,0.15015864372253418
.,0.41390106081962585,0.3022993505001068,0.20643571019172668,0.16736671328544617,0.4130953550338745
