,each,of,the,extended,metropolitan,areas,has,a,population,that,exceeds,what,number,?
the,0.470844566822052,0.733189046382904,1.0,0.3160722553730011,0.24378018081188202,0.3311663568019867,0.4177538752555847,0.5829201340675354,0.32044094800949097,0.5473989248275757,0.24003000557422638,0.42745697498321533,0.35145696997642517,0.22068053483963013
region,0.17641836404800415,0.2852717339992523,0.35020557045936584,0.1289454847574234,0.326643168926239,0.4012795090675354,0.18160095810890198,0.23209655284881592,0.35224372148513794,0.20183102786540985,0.1612539142370224,0.2298986315727234,0.17890554666519165,0.13441751897335052
is,0.2954041659832001,0.4854315221309662,0.5823672413825989,0.1961566060781479,0.20138509571552277,0.28282591700553894,0.5668748617172241,0.658733606338501,0.2727566361427307,0.3995479643344879,0.24482867121696472,0.28837618231773376,0.22390379011631012,0.22961433231830597
home,0.13147220015525818,0.24402645230293274,0.28978195786476135,0.1912962943315506,0.17209894955158234,0.1701192706823349,0.2134159505367279,0.26260659098625183,0.1669880449771881,0.20047733187675476,0.0857204720377922,0.1608789712190628,0.18220531940460205,0.0757145956158638
to,0.3941934108734131,0.41548454761505127,0.535392165184021,0.28740090131759644,0.1725575476884842,0.29808273911476135,0.3619994819164276,0.45503583550453186,0.19776633381843567,0.5436353087425232,0.2449227273464203,0.455847829580307,0.2706126868724823,0.29463258385658264
two,0.524709939956665,0.37726253271102905,0.43858039379119873,0.21703067421913147,0.17512616515159607,0.23039963841438293,0.3772575855255127,0.3289857804775238,0.16114678978919983,0.3858162462711334,0.23874063789844513,0.23363454639911652,0.4088359773159027,0.19645625352859497
extended,0.2466380000114441,0.2843494713306427,0.3160722553730011,1.0,0.1361207365989685,0.22120052576065063,0.21341989934444427,0.24976085126399994,0.07056831568479538,0.31359121203422546,0.29620620608329773,0.20863614976406097,0.21885953843593597,0.17568568885326385
metropolitan,0.1253456026315689,0.2863157391548157,0.24378018081188202,0.1361207365989685,1.0,0.2757422626018524,0.231454998254776,0.1711602658033371,0.35963642597198486,0.16123276948928833,0.07737023383378983,0.15624397993087769,0.16792938113212585,0.1861504763364792
areas,0.24782049655914307,0.2803763747215271,0.3311663568019867,0.22120052576065063,0.2757422626018524,0.9999999403953552,0.26786115765571594,0.24730755388736725,0.33385762572288513,0.27244997024536133,0.24290437996387482,0.23739881813526154,0.21285976469516754,0.1273590475320816
that,0.46111494302749634,0.41498205065727234,0.5473989248275757,0.31359121203422546,0.16123276948928833,0.27244997024536133,0.41272613406181335,0.47537946701049805,0.20048558712005615,1.0,0.29547119140625,0.6297725439071655,0.32951247692108154,0.32716336846351624
exceed,0.27211272716522217,0.24056902527809143,0.23819206655025482,0.31839635968208313,0.09208056330680847,0.20894406735897064,0.20187582075595856,0.19884590804576874,0.20526337623596191,0.31123974919319153,0.8741518259048462,0.20080645382404327,0.360173761844635,0.13049276173114777
five,0.4169289767742157,0.3980514109134674,0.41977158188819885,0.2666960060596466,0.21274955570697784,0.23299002647399902,0.31175675988197327,0.2874281108379364,0.1677880883216858,0.3205110728740692,0.26677969098091125,0.18688078224658966,0.36543506383895874,0.18342848122119904
million,0.2644878029823303,0.21686489880084991,0.277012437582016,0.2094617635011673,0.264689564704895,0.18135081231594086,0.2611117959022522,0.1811940222978592,0.3087695837020874,0.2637370228767395,0.26111364364624023,0.22197039425373077,0.2546447515487671,0.23092924058437347
in,0.30816060304641724,0.5696388483047485,0.6662389636039734,0.22257764637470245,0.27762067317962646,0.33029478788375854,0.4173259735107422,0.539380669593811,0.3268454372882843,0.435920387506485,0.15135765075683594,0.30808621644973755,0.3024539053440094,0.20430970191955566
population,0.17705607414245605,0.3060894012451172,0.32044094800949097,0.07056831568479538,0.35963642597198486,0.33385762572288513,0.25973978638648987,0.2345738559961319,1.0,0.20048558712005615,0.19096790254116058,0.2000674307346344,0.2707957327365875,0.14449454843997955
.,0.31204065680503845,0.5352458953857422,0.5934505462646484,0.23685072362422943,0.21727578341960907,0.23760369420051575,0.4105546176433563,0.50484299659729,0.26950228214263916,0.4460422694683075,0.17015498876571655,0.3567904531955719,0.3256329298019409,0.4130953550338745
