,when,did,singer,dispute,the,graph,at,a,senate,hearing,?
even,0.5135882496833801,0.45816805958747864,0.18947568535804749,0.24706362187862396,0.37996912002563477,0.2102021872997284,0.24857373535633087,0.3278432786464691,0.15893420577049255,0.31848496198654175,0.30082517862319946
at,0.38876327872276306,0.28390252590179443,0.1398063749074936,0.174672469496727,0.457212895154953,0.27818188071250916,1.0,0.3095070421695709,0.1717224270105362,0.14194802939891815,0.21978627145290375
the,0.5091903209686279,0.34736719727516174,0.14885097742080688,0.2852358818054199,1.0,0.26083993911743164,0.457212895154953,0.5829201340675354,0.23380520939826965,0.22072359919548035,0.22068053483963013
draft,0.22716832160949707,0.22930853068828583,0.11339157819747925,0.17368142306804657,0.2136591076850891,0.1786542534828186,0.1777368187904358,0.14911261200904846,0.19578438997268677,0.13839147984981537,0.1941390335559845
stage,0.1701377034187317,0.1994115114212036,0.33052438497543335,0.08386005461215973,0.22652170062065125,0.1363104283809662,0.16777737438678741,0.2036506086587906,0.11080992966890335,0.06350421905517578,0.14916576445102692
",",0.36674630641937256,0.3015086054801941,0.3160518407821655,0.23539960384368896,0.4933079481124878,0.21839329600334167,0.38314947485923767,0.427140474319458,0.22473450005054474,0.23834307491779327,0.31091248989105225
this,0.4959332048892975,0.3609912693500519,0.12673695385456085,0.2868114411830902,0.6274310946464539,0.25881490111351013,0.32544323801994324,0.5422310829162598,0.18280409276485443,0.2553071677684784,0.3155723512172699
finding,0.29370635747909546,0.2513088285923004,0.13030274212360382,0.2787792682647705,0.2933822274208069,0.3414180874824524,0.20168514549732208,0.24783554673194885,0.08446763455867767,0.38160595297813416,0.18021653592586517
was,0.37326499819755554,0.41399896144866943,0.3099033236503601,0.2104022353887558,0.48711544275283813,0.16430960595607758,0.36707764863967896,0.4508470594882965,0.21166695654392242,0.16393141448497772,0.18412111699581146
disputed,0.23811669647693634,0.18744073808193207,0.09332795441150665,0.817532479763031,0.32414746284484863,0.16585570573806763,0.15586735308170319,0.1505136638879776,0.1914672553539276,0.11781707406044006,0.2165134698152542
by,0.4376842677593231,0.18574509024620056,0.1773979812860489,0.20251576602458954,0.4408751428127289,0.18581947684288025,0.2368064820766449,0.32094135880470276,0.1709672212600708,0.17995068430900574,0.17966607213020325
contrarians,0.20115700364112854,0.3411285877227783,0.16472935676574707,0.3098618686199188,0.24109965562820435,0.17845305800437927,0.12503337860107422,0.23234863579273224,0.27276790142059326,0.2631668746471405,0.2285989224910736
:,-0.04432349652051926,-0.05305134505033493,0.011876801960170269,-0.0030118930153548717,-0.03403344005346298,0.016509249806404114,-0.003970166202634573,-0.0007584693375974894,0.025640593841671944,-0.06471095979213715,-0.07156077772378922
in,0.4431333839893341,0.2593238651752472,0.18326447904109955,0.2249964326620102,0.6662389636039734,0.19268742203712463,0.4374977946281433,0.539380669593811,0.1815723329782486,0.20339344441890717,0.20430970191955566
may,0.3167054355144501,0.3038632869720459,0.20564529299736023,0.21068869531154633,0.2694292366504669,0.15885800123214722,0.2711789011955261,0.29255667328834534,0.16349510848522186,0.29448530077934265,0.2768254578113556
2000,-0.05569573864340782,0.028451859951019287,0.13227805495262146,-0.17307762801647186,-0.015081177465617657,-0.1670742630958557,-0.06926931440830231,-0.03899485245347023,0.07237492501735687,-0.009105339646339417,-0.0824366956949234
fred,0.18990211188793182,0.12262141704559326,0.21718710660934448,0.07236383110284805,0.19441957771778107,0.16083404421806335,0.171979159116745,0.2657069265842438,0.17230798304080963,0.1268709897994995,0.20597071945667267
singer,0.1647101640701294,0.1816350221633911,1.0,0.06420715898275375,0.14885097742080688,0.0766170471906662,0.1398063749074936,0.19110652804374695,0.18169930577278137,0.12475007772445679,0.16246667504310608
's,-0.03368149697780609,0.05069678649306297,0.02889201045036316,0.013950780034065247,-0.01540423184633255,-0.03194202110171318,-0.08481216430664062,0.04866964742541313,-0.023981237784028053,0.044985927641391754,-0.023395681753754616
science,0.16938894987106323,0.14819081127643585,0.10360290110111237,0.12283564358949661,0.24037593603134155,0.13948051631450653,0.16367051005363464,0.2378881424665451,0.13538002967834473,0.19658039510250092,0.17974960803985596
and,0.4716290831565857,0.34479495882987976,0.26673105359077454,0.22863776981830597,0.5171257257461548,0.15086640417575836,0.3571503460407257,0.3739250600337982,0.20134705305099487,0.24619577825069427,0.20544172823429108
environmental,0.16109579801559448,0.09464682638645172,0.14817562699317932,0.23493516445159912,0.23935803771018982,0.19905202090740204,0.13292425870895386,0.22703608870506287,0.18443836271762848,0.2521498501300812,0.19728143513202667
policy,0.20549920201301575,0.2751549482345581,0.1368747055530548,0.3780229687690735,0.2358427494764328,0.20596648752689362,0.2081100046634674,0.17720282077789307,0.27020198106765747,0.16976092755794525,0.30462446808815
project,0.15249502658843994,0.18681181967258453,0.09526176005601883,0.24141742289066315,0.2027820199728012,0.2244846373796463,0.2461380660533905,0.2328382134437561,0.16944554448127747,0.18793664872646332,0.30569031834602356
held,0.1848648637533188,0.18607917428016663,0.12257358431816101,0.20099987089633942,0.32185450196266174,0.10086444020271301,0.3822793960571289,0.22326228022575378,0.15482592582702637,0.10365863144397736,0.14103956520557404
a,0.44397395849227905,0.2552328109741211,0.19110652804374695,0.17193086445331573,0.5829201340675354,0.2952152192592621,0.3095070421695709,1.0,0.18100911378860474,0.2477637082338333,0.23916715383529663
press,0.18807558715343475,0.17585355043411255,0.15317726135253906,0.15883596241474152,0.2519533634185791,0.21315933763980865,0.20594993233680725,0.1550007462501526,0.15225957334041595,0.14472711086273193,0.14048311114311218
event,0.2685905992984772,0.17957442998886108,0.18001651763916016,0.20462027192115784,0.2960145175457001,0.19923534989356995,0.3039053678512573,0.2635729908943176,0.12704728543758392,0.16523046791553497,0.16076280176639557
on,0.37706470489501953,0.2670976221561432,0.1866772621870041,0.2065497636795044,0.5107308030128479,0.2519398033618927,0.4806317389011383,0.3848365545272827,0.17351797223091125,0.176908478140831,0.2714994251728058
capitol,0.2154170125722885,0.18397900462150574,0.15941283106803894,0.13876251876354218,0.2774198055267334,0.2040555775165558,0.22845713794231415,0.2558524012565613,0.2737533152103424,0.19873763620853424,0.12883435189723969
hill,0.15561576187610626,0.11027105897665024,0.22361917793750763,0.12985076010227203,0.24348382651805878,0.1360676884651184,0.2628387212753296,0.16101446747779846,0.11309411376714706,0.1913219392299652,0.1149863451719284
",",0.36674630641937256,0.3015086054801941,0.3160518407821655,0.23539960384368896,0.4933079481124878,0.21839329600334167,0.38314947485923767,0.427140474319458,0.22473450005054474,0.23834307491779327,0.31091248989105225
washington,0.17040149867534637,0.19649098813533783,0.144607812166214,0.1482236236333847,0.24987076222896576,0.17373602092266083,0.21022529900074005,0.17264322936534882,0.22431309521198273,0.15923690795898438,0.157786026597023
",",0.36674630641937256,0.3015086054801941,0.3160518407821655,0.23539960384368896,0.4933079481124878,0.21839329600334167,0.38314947485923767,0.427140474319458,0.22473450005054474,0.23834307491779327,0.31091248989105225
d.c.,-0.043029796332120895,0.08965326845645905,-0.0002996452967636287,-0.05915169417858124,-0.030088720843195915,-0.1417548954486847,-0.10780632495880127,0.029680414125323296,-0.06604304164648056,-0.01381154265254736,-0.06381701678037643
",",0.36674630641937256,0.3015086054801941,0.3160518407821655,0.23539960384368896,0.4933079481124878,0.21839329600334167,0.38314947485923767,0.427140474319458,0.22473450005054474,0.23834307491779327,0.31091248989105225
featuring,0.11597523838281631,0.18581709265708923,0.2811264991760254,0.1061374619603157,0.21340800821781158,0.1564573049545288,0.13106809556484222,0.21930649876594543,0.10874930024147034,0.10747112333774567,0.24838131666183472
comments,0.23954278230667114,0.29261142015457153,0.16650661826133728,0.2766571640968323,0.25228628516197205,0.21180930733680725,0.2054234892129898,0.18540148437023163,0.19948701560497284,0.2146087884902954,0.3595547676086426
