,what,was,the,occupation,of,joseph,priestley,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.1896161586046219,0.5696388483047485,0.12985283136367798,0.20879624783992767,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.23079249262809753,0.733189046382904,0.2251148819923401,0.21773852407932281,0.22068053483963013
meantime,0.3833208978176117,0.26996910572052,0.3265787363052368,0.09306959062814713,0.20341098308563232,0.14607267081737518,0.18342579901218414,0.37067949771881104
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28664809465408325,0.4946078956127167,0.24271315336227417,0.31705740094184875,0.31091248989105225
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.11494617164134979,0.3966929316520691,0.17754994332790375,0.16624125838279724,0.2714994251728058
august,0.2305731326341629,0.42620858550071716,0.22689028084278107,0.2167600691318512,0.1712995171546936,0.20458757877349854,0.18892528116703033,0.3006744682788849
1,-0.21266892552375793,-0.2275921255350113,-0.1554475575685501,-0.11954476684331894,-0.09473495930433273,-0.1528603881597519,-0.26235589385032654,-0.249979168176651
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28664809465408325,0.4946078956127167,0.24271315336227417,0.31705740094184875,0.31091248989105225
1774,0.04774466156959534,0.049454182386398315,0.11766370385885239,0.09706541895866394,0.14446018636226654,0.07960374653339386,0.06343577802181244,0.07276970893144608
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28664809465408325,0.4946078956127167,0.24271315336227417,0.31705740094184875,0.31091248989105225
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.2271277904510498,0.32280945777893066,0.20681099593639374,0.17629167437553406,0.19793890416622162
experiment,0.29811543226242065,0.21177788078784943,0.168198361992836,0.1495213359594345,0.12456657737493515,0.13761654496192932,0.20731225609779358,0.14968745410442352
conducted,0.13546347618103027,0.28831079602241516,0.25795331597328186,0.15405911207199097,0.22415050864219666,0.18027807772159576,0.2608822286128998,0.1105341762304306
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.18450988829135895,0.3646814823150635,0.2003411054611206,0.23467956483364105,0.17966607213020325
the,0.42745697498321533,0.48711544275283813,1.0,0.23079249262809753,0.733189046382904,0.2251148819923401,0.21773852407932281,0.22068053483963013
british,0.19255435466766357,0.31934812664985657,0.28973397612571716,0.2680274546146393,0.23701532185077667,0.21146252751350403,0.24694404006004333,0.09711728990077972
clergyman,0.16081534326076508,0.2992498576641083,0.1879919320344925,0.24869637191295624,0.2206612229347229,0.32397276163101196,0.4946554899215698,0.12142539769411087
joseph,0.20494906604290009,0.29824966192245483,0.2251148819923401,0.19364742934703827,0.20551647245883942,0.9999999403953552,0.35218968987464905,0.08421234786510468
priestley,0.20325376093387604,0.2731526494026184,0.21773852407932281,0.15637312829494476,0.19561228156089783,0.35218968987464905,1.0000001192092896,0.13982412219047546
focused,0.2724583148956299,0.26385003328323364,0.2969476580619812,0.2437429130077362,0.29831600189208984,0.04579702392220497,0.18821020424365997,0.1578395515680313
sunlight,0.21599051356315613,0.10172334313392639,0.24547719955444336,0.10285721719264984,0.19953370094299316,0.09175647050142288,0.17058703303337097,0.17698515951633453
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.11494617164134979,0.3966929316520691,0.17754994332790375,0.16624125838279724,0.2714994251728058
mercuric,0.1748024821281433,0.28572481870651245,0.3074982762336731,0.15561392903327942,0.3406812250614166,0.20988407731056213,0.3097771108150482,0.17186656594276428
oxide,0.1961873471736908,0.16506639122962952,0.12591426074504852,0.14048758149147034,0.15275245904922485,0.17175137996673584,0.2743090093135834,0.20583678781986237
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.1912027895450592,0.35032153129577637,0.16506916284561157,0.21553921699523926,0.40561532974243164
hgo,0.2159062772989273,0.26682889461517334,0.30593323707580566,0.1607794463634491,0.26707279682159424,0.198407843708992,0.24862678349018097,0.19563528895378113
),0.26259949803352356,0.3267642855644226,0.3456730246543884,0.19077259302139282,0.3680361211299896,0.16497012972831726,0.22483599185943604,0.42300865054130554
inside,0.2567365765571594,0.16262930631637573,0.35313180088996887,0.11288860440254211,0.2544495463371277,0.08977755159139633,0.11935155838727951,0.14505037665367126
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.22733436524868011,0.5052502155303955,0.14221104979515076,0.22067803144454956,0.23916715383529663
glass,0.13572539389133453,0.18738797307014465,0.20646950602531433,0.13530732691287994,0.24470314383506775,0.11385537683963776,0.254438191652298,0.1252557635307312
tube,0.19240084290504456,0.14763547480106354,0.222691148519516,0.0583903007209301,0.2164267897605896,0.12836520373821259,0.2402902990579605,0.13631722331047058
