,what,kind,of,markets,did,nbc,red,serve,?
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.23818166553974152,0.34736719727516174,0.20618264377117157,0.2817947566509247,0.2749462425708771,0.22068053483963013
nbc,0.1638578325510025,0.1190882995724678,0.12012486904859543,0.18296551704406738,0.1728760302066803,0.9999999403953552,0.06410543620586395,0.09475855529308319,0.1680917739868164
blue,0.17981211841106415,0.10567447543144226,0.23528409004211426,0.12329041212797165,0.10842680186033249,0.16533015668392181,0.5029496550559998,0.11465556174516678,0.15668673813343048
network,0.16917307674884796,0.1388760656118393,0.21800683438777924,0.2852650284767151,0.08572790026664734,0.4656192362308502,0.08126477152109146,0.21034221351146698,0.17853789031505585
was,0.22111038863658905,0.1604125201702118,0.4069072902202606,0.21543589234352112,0.41399896144866943,0.251334547996521,0.1680612564086914,0.21861431002616882,0.18412111699581146
created,0.20714101195335388,0.20588818192481995,0.32043445110321045,0.14791113138198853,0.26176875829696655,0.1640864461660385,0.18131698668003082,0.18500111997127533,0.21177415549755096
in,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.2811138927936554,0.2593238651752472,0.19303210079669952,0.18753071129322052,0.20702329277992249,0.20430970191955566
1927,0.04495452716946602,0.11674448847770691,0.07575185596942902,-0.060839150100946426,0.08529499173164368,-0.004068835638463497,0.13875173032283783,0.10569627583026886,0.09959670156240463
for,0.3017193675041199,0.28053680062294006,0.4185989499092102,0.24505305290222168,0.318512886762619,0.22503440082073212,0.2239922434091568,0.36519864201545715,0.264628142118454
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.23818166553974152,0.34736719727516174,0.20618264377117157,0.2817947566509247,0.2749462425708771,0.22068053483963013
primary,0.2113915979862213,0.14059722423553467,0.23414276540279388,0.16972225904464722,0.16609589755535126,0.09591410309076309,0.09882894903421402,0.29772818088531494,0.16286636888980865
purpose,0.33113807439804077,0.3389299809932709,0.23855330049991608,0.19822879135608673,0.2756897211074829,0.08048122376203537,0.16093413531780243,0.4042937755584717,0.21892647445201874
of,0.33290785551071167,0.2285657674074173,1.0,0.17050357162952423,0.2513895630836487,0.12012486904859543,0.22367064654827118,0.2656401991844177,0.1826142966747284
testing,0.30686378479003906,0.18031063675880432,0.2067517340183258,0.208915576338768,0.1872776448726654,0.12128932774066925,0.1327294409275055,0.22573886811733246,0.20438756048679352
new,0.2130378633737564,0.12515807151794434,0.343457967042923,0.1799035519361496,0.227974995970726,0.18140773475170135,0.1933780163526535,0.20761504769325256,0.14782847464084625
programs,0.23178155720233917,0.2005642056465149,0.18037469685077667,0.2646280825138092,0.2038959413766861,0.3764050602912903,0.06895797699689865,0.17753762006759644,0.16452431678771973
on,0.34226128458976746,0.1850661337375641,0.3966929316520691,0.24747714400291443,0.2670976221561432,0.22545471787452698,0.22689273953437805,0.19575612246990204,0.2714994251728058
markets,0.12341798096895218,0.1513487547636032,0.17050357162952423,1.0000001192092896,0.16989949345588684,0.18296551704406738,0.12533332407474518,0.22463561594486237,0.11209505051374435
of,0.33290785551071167,0.2285657674074173,1.0,0.17050357162952423,0.2513895630836487,0.12012486904859543,0.22367064654827118,0.2656401991844177,0.1826142966747284
lesser,0.22745417058467865,0.1431913673877716,0.28063535690307617,0.156832754611969,0.17610923945903778,0.11178423464298248,0.21143639087677002,0.19374164938926697,0.17708076536655426
importance,0.28515949845314026,0.23529034852981567,0.30354931950569153,0.3729594945907593,0.1789821833372116,0.15323996543884277,0.1316075474023819,0.21422381699085236,0.1653127521276474
than,0.29388150572776794,0.22328941524028778,0.33036211133003235,0.21568982303142548,0.24820660054683685,0.11661534011363983,0.1391400843858719,0.3054537773132324,0.24917294085025787
those,0.44466671347618103,0.24984702467918396,0.37935635447502136,0.2385912388563156,0.38519078493118286,0.07280642539262772,0.22019241750240326,0.2403234988451004,0.3328189253807068
served,0.1271134465932846,0.1276949793100357,0.2967056334018707,0.22059296071529388,0.19789284467697144,0.1548808515071869,0.15582150220870972,0.634300947189331,0.117141492664814
by,0.2455483376979828,0.13289578258991241,0.3646814823150635,0.1262868195772171,0.18574509024620056,0.16605262458324432,0.188492089509964,0.1410149484872818,0.17966607213020325
nbc,0.1638578325510025,0.1190882995724678,0.12012486904859543,0.18296551704406738,0.1728760302066803,0.9999999403953552,0.06410543620586395,0.09475855529308319,0.1680917739868164
red,0.16784515976905823,0.12747153639793396,0.22367064654827118,0.12533332407474518,0.11931999027729034,0.06410543620586395,1.0000001192092896,0.16736941039562225,0.1495664119720459
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.24350304901599884,0.3015086054801941,0.17508727312088013,0.25953415036201477,0.2385157197713852,0.31091248989105225
which,0.5261979103088379,0.4120495617389679,0.5011631846427917,0.24139980971813202,0.2750149369239807,0.17917364835739136,0.25236746668815613,0.23360483348369598,0.25814583897590637
served,0.1271134465932846,0.1276949793100357,0.2967056334018707,0.22059296071529388,0.19789284467697144,0.1548808515071869,0.15582150220870972,0.634300947189331,0.117141492664814
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.23818166553974152,0.34736719727516174,0.20618264377117157,0.2817947566509247,0.2749462425708771,0.22068053483963013
major,0.21026742458343506,0.14154492318630219,0.2641255557537079,0.2532399892807007,0.20997437834739685,0.1856732815504074,0.16185367107391357,0.14183804392814636,0.19788557291030884
cities,0.161918506026268,0.07250672578811646,0.29528072476387024,0.3309341371059418,0.13977929949760437,0.11324277520179749,0.12082120776176453,0.10003569722175598,0.13339310884475708
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.24350304901599884,0.3015086054801941,0.17508727312088013,0.25953415036201477,0.2385157197713852,0.31091248989105225
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.2580149173736572,0.34479495882987976,0.1969573199748993,0.20267853140830994,0.27672067284584045,0.20544172823429108
to,0.455847829580307,0.28460726141929626,0.41548454761505127,0.23568420112133026,0.4452643394470215,0.14568616449832916,0.19477520883083344,0.3411368131637573,0.29463258385658264
