,what,ruler,",",besides,john,of,saxony,and,philip,of,hesse,",",formed,the,schmalkaldic,league,?
despite,0.1825345903635025,0.12343544512987137,0.2853280007839203,0.2437593638896942,0.1404343545436859,0.33505672216415405,0.13352654874324799,0.3150249719619751,0.1228017583489418,0.33505672216415405,0.1560932993888855,0.2853280007839203,0.21397092938423157,0.3172689974308014,0.20514094829559326,0.14739231765270233,0.14350546896457672
the,0.42745697498321533,0.23322275280952454,0.4933079481124878,0.367077499628067,0.2230520099401474,0.733189046382904,0.27077290415763855,0.5171257257461548,0.21499985456466675,0.733189046382904,0.24440348148345947,0.4933079481124878,0.28813210129737854,1.0,0.34497350454330444,0.2724147439002991,0.22068053483963013
disagreements,0.3944484293460846,0.19306188821792603,0.3239748775959015,0.2277933955192566,0.1807408332824707,0.2664854824542999,0.22171679139137268,0.3363824784755707,0.14888295531272888,0.2664854824542999,0.18291792273521423,0.3239748775959015,0.25801751017570496,0.28415536880493164,0.18586039543151855,0.1885666847229004,0.22321587800979614
on,0.34226128458976746,0.12915204465389252,0.49057599902153015,0.28633859753608704,0.194100484251976,0.3966929316520691,0.1682659536600113,0.4077630043029785,0.162323459982872,0.3966929316520691,0.13029836118221283,0.49057599902153015,0.18750394880771637,0.5107308030128479,0.23098406195640564,0.14781074225902557,0.2714994251728058
the,0.42745697498321533,0.23322275280952454,0.4933079481124878,0.367077499628067,0.2230520099401474,0.733189046382904,0.27077290415763855,0.5171257257461548,0.21499985456466675,0.733189046382904,0.24440348148345947,0.4933079481124878,0.28813210129737854,1.0,0.34497350454330444,0.2724147439002991,0.22068053483963013
eucharist,0.21259461343288422,0.14091256260871887,0.24646581709384918,0.18043152987957,0.1730698049068451,0.23567263782024384,0.19113922119140625,0.22245648503303528,0.1766834706068039,0.23567263782024384,0.17536376416683197,0.24646581709384918,0.12006595730781555,0.22046668827533722,0.26243093609809875,0.11973579227924347,0.15321393311023712
",",0.3087472915649414,0.24077121913433075,1.0000001192092896,0.340058833360672,0.23961079120635986,0.4946078956127167,0.2703131437301636,0.6633074283599854,0.28930366039276123,0.4946078956127167,0.2442973554134369,1.0000001192092896,0.2636634409427643,0.4933079481124878,0.3189312815666199,0.20757631957530975,0.31091248989105225
the,0.42745697498321533,0.23322275280952454,0.4933079481124878,0.367077499628067,0.2230520099401474,0.733189046382904,0.27077290415763855,0.5171257257461548,0.21499985456466675,0.733189046382904,0.24440348148345947,0.4933079481124878,0.28813210129737854,1.0,0.34497350454330444,0.2724147439002991,0.22068053483963013
marburg,0.19250063598155975,0.13300539553165436,0.2312161773443222,0.11293300986289978,0.1384006142616272,0.2773418724536896,0.5385705828666687,0.21699577569961548,0.21763329207897186,0.2773418724536896,0.544927179813385,0.2312161773443222,0.1259227842092514,0.2501940131187439,0.431454598903656,0.10991621017456055,0.21810835599899292
colloquy,0.327221542596817,0.10365187376737595,0.299553245306015,0.25817611813545227,0.18564175069332123,0.24527795612812042,0.12795580923557281,0.23584334552288055,0.1734432578086853,0.24527795612812042,0.0984514057636261,0.299553245306015,0.11864309012889862,0.2922760844230652,0.2722553014755249,0.1525762528181076,0.2766325771808624
