,what,treaty,ended,the,wars,of,religion,?
the,0.42745697498321533,0.2690109610557556,0.3356485068798065,1.0,0.310673326253891,0.733189046382904,0.2757669985294342,0.22068053483963013
wars,0.20595821738243103,0.3120756447315216,0.2807720899581909,0.310673326253891,1.0000001192092896,0.25379252433776855,0.21834717690944672,0.1526605486869812
finally,0.33623361587524414,0.26220956444740295,0.36995580792427063,0.4516841769218445,0.21886107325553894,0.2709518074989319,0.18016304075717926,0.16868984699249268
ended,0.1532270610332489,0.3326389491558075,1.0,0.3356485068798065,0.2807720899581909,0.27636510133743286,0.18328101933002472,0.15429291129112244
with,0.2464839518070221,0.17950300872325897,0.3083439767360687,0.4223487675189972,0.16275666654109955,0.41827285289764404,0.15827436745166779,0.2433311939239502
the,0.42745697498321533,0.2690109610557556,0.3356485068798065,1.0,0.310673326253891,0.733189046382904,0.2757669985294342,0.22068053483963013
granting,0.27958476543426514,0.269856721162796,0.17471064627170563,0.31230929493904114,0.1303694099187851,0.3307593762874603,0.2720611095428467,0.28405317664146423
of,0.33290785551071167,0.2602092921733856,0.27636510133743286,0.733189046382904,0.25379252433776855,1.0,0.30360451340675354,0.1826142966747284
the,0.42745697498321533,0.2690109610557556,0.3356485068798065,1.0,0.310673326253891,0.733189046382904,0.2757669985294342,0.22068053483963013
edict,0.16707053780555725,0.3724914789199829,0.29753848910331726,0.17931364476680756,0.24997900426387787,0.2533416450023651,0.3143501579761505,0.16218337416648865
of,0.33290785551071167,0.2602092921733856,0.27636510133743286,0.733189046382904,0.25379252433776855,1.0,0.30360451340675354,0.1826142966747284
nantes,0.13674625754356384,0.31160563230514526,0.20598383247852325,0.20705030858516693,0.12707336246967316,0.21890923380851746,0.22608979046344757,0.15215469896793365
",",0.3087472915649414,0.21270246803760529,0.2682836353778839,0.4933079481124878,0.21198274195194244,0.4946078956127167,0.2679629921913147,0.31091248989105225
which,0.5261979103088379,0.19969318807125092,0.17998263239860535,0.6521818041801453,0.21874013543128967,0.5011631846427917,0.2131938934326172,0.25814583897590637
granted,0.2214755117893219,0.2641162872314453,0.1974504142999649,0.27588096261024475,0.15007023513317108,0.32803481817245483,0.20204243063926697,0.22870221734046936
the,0.42745697498321533,0.2690109610557556,0.3356485068798065,1.0,0.310673326253891,0.733189046382904,0.2757669985294342,0.22068053483963013
huguenots,0.22128188610076904,0.36956244707107544,0.2418806105852127,0.30745792388916016,0.3196333944797516,0.27577435970306396,0.34835341572761536,0.16010338068008423
substantial,0.33448854088783264,0.14514155685901642,0.17210687696933746,0.32639044523239136,0.17574651539325714,0.30609557032585144,0.2922884225845337,0.25194647908210754
religious,0.26794421672821045,0.18537554144859314,0.16788548231124878,0.22950971126556396,0.20200221240520477,0.2958606779575348,0.6981536149978638,0.15727058053016663
",",0.3087472915649414,0.21270246803760529,0.2682836353778839,0.4933079481124878,0.21198274195194244,0.4946078956127167,0.2679629921913147,0.31091248989105225
political,0.21846716105937958,0.25574299693107605,0.22928908467292786,0.20477235317230225,0.2134546935558319,0.27319738268852234,0.39199915528297424,0.17130474746227264
and,0.31309178471565247,0.1592116355895996,0.2036798745393753,0.5171257257461548,0.2593706548213959,0.5116966962814331,0.2620435655117035,0.20544172823429108
military,0.18809624016284943,0.1934603899717331,0.23834528028964996,0.2290858030319214,0.2610801160335541,0.27347031235694885,0.23797233402729034,0.1890317052602768
autonomy,0.28485414385795593,0.31120333075523376,0.1865851730108261,0.2267274558544159,0.1748465746641159,0.2911231815814972,0.33822375535964966,0.16934052109718323
.,0.3567904531955719,0.17410176992416382,0.23468057811260223,0.5934505462646484,0.25701209902763367,0.5352458953857422,0.28897368907928467,0.4130953550338745
