,cilia,can,g,ow,up,too,what,length,?
the,0.18933437764644623,0.312528520822525,0.17829053103923798,0.12291911244392395,0.38423117995262146,0.26985910534858704,0.42745697498321533,0.26581600308418274,0.22068053483963013
``,0.1377962976694107,0.12428006529808044,0.12230857461690903,0.050859276205301285,0.1065044030547142,0.027792401611804962,0.008517155423760414,0.23714177310466766,0.0685480609536171
combs,0.23325201869010925,0.21330617368221283,0.17691271007061005,0.20556625723838806,0.2939288914203644,0.23114779591560364,0.16265150904655457,0.16664786636829376,0.24039559066295624
'',-0.06040707230567932,0.008988718502223492,0.01743452623486519,0.023970765992999077,0.053049519658088684,-0.08990582823753357,0.08143015950918198,-0.02150150202214718,0.018684765323996544
(,0.19892169535160065,0.22726960480213165,0.30739590525627136,0.3388082981109619,0.2525939643383026,0.20675641298294067,0.2411840260028839,0.201618954539299,0.40561532974243164
also,0.20129011571407318,0.4861826002597809,0.21688447892665863,0.18127869069576263,0.3094489872455597,0.34442853927612305,0.42747777700424194,0.17695224285125732,0.21848613023757935
called,0.19652394950389862,0.306973397731781,0.1475452035665512,0.13965311646461487,0.25133395195007324,0.2655428946018219,0.3235960602760315,0.15949955582618713,0.18963319063186646
``,0.1377962976694107,0.12428006529808044,0.12230857461690903,0.050859276205301285,0.1065044030547142,0.027792401611804962,0.008517155423760414,0.23714177310466766,0.0685480609536171
ctenes,0.41469672322273254,0.316133975982666,0.16608361899852753,0.23689685761928558,0.14431045949459076,0.18294449150562286,0.2761536240577698,0.2224087119102478,0.17213167250156403
'',-0.06040707230567932,0.008988718502223492,0.01743452623486519,0.023970765992999077,0.053049519658088684,-0.08990582823753357,0.08143015950918198,-0.02150150202214718,0.018684765323996544
or,0.2939748167991638,0.5614996552467346,0.2593834400177002,0.17622660100460052,0.28756099939346313,0.2959262728691101,0.33867141604423523,0.20603947341442108,0.32389625906944275
``,0.1377962976694107,0.12428006529808044,0.12230857461690903,0.050859276205301285,0.1065044030547142,0.027792401611804962,0.008517155423760414,0.23714177310466766,0.0685480609536171
comb,0.4027756154537201,0.27596426010131836,0.237102210521698,0.19281473755836487,0.30762630701065063,0.2103828340768814,0.20374168455600739,0.1871689110994339,0.2510223686695099
