,who,dominates,the,world,of,long,distance,running,?
the,0.3733934462070465,0.33702966570854187,1.0,0.33604270219802856,0.733189046382904,0.3075225353240967,0.26146480441093445,0.28883472084999084,0.22068053483963013
country,0.22791717946529388,0.2680492103099823,0.30432501435279846,0.3171674609184265,0.28866857290267944,0.13748116791248322,0.18249833583831787,0.20071768760681152,0.12647280097007751
is,0.24293622374534607,0.28369683027267456,0.5823672413825989,0.24458536505699158,0.4854315221309662,0.28473302721977234,0.2458917796611786,0.23768527805805206,0.22961433231830597
known,0.24757125973701477,0.20407046377658844,0.3624623417854309,0.24694333970546722,0.35814476013183594,0.24638257920742035,0.15597416460514069,0.17085213959217072,0.18314571678638458
chiefly,0.29666733741760254,0.202644482254982,0.3110561668872833,0.13656887412071228,0.25772255659103394,0.11559896171092987,0.13687600195407867,0.14787742495536804,0.021524203941226006
for,0.37110671401023865,0.1662503480911255,0.4739971458911896,0.2444595992565155,0.4185989499092102,0.2547193765640259,0.23153051733970642,0.3230443000793457,0.264628142118454
its,0.1326070874929428,0.2419094741344452,0.559237003326416,0.23953673243522644,0.48690423369407654,0.29187172651290894,0.27014392614364624,0.2522467076778412,0.15103481709957123
dominance,0.2429717630147934,0.6051333546638489,0.3841419219970703,0.240608811378479,0.3554438352584839,0.1534070521593094,0.2263535112142563,0.14713340997695923,0.08315658569335938
in,0.2792111933231354,0.220208540558815,0.6662389636039734,0.3038199245929718,0.5696388483047485,0.2759332060813904,0.1782536804676056,0.2874506413936615,0.20430970191955566
middle-distance,0.22479286789894104,0.2196388840675354,0.3205470144748688,0.22088755667209625,0.2624955475330353,0.38446044921875,0.8162285089492798,0.27826225757598877,0.1560133993625641
and,0.41279885172843933,0.2876740097999573,0.5171257257461548,0.3246132433414459,0.5116966962814331,0.3395216166973114,0.25180765986442566,0.29286429286003113,0.20544172823429108
long-distance,0.22896002233028412,0.28722476959228516,0.29401952028274536,0.20364324748516083,0.2480160892009735,0.5100213289260864,0.8525581359863281,0.2845503091812134,0.14623819291591644
athletics,0.17293685674667358,0.13027255237102509,0.23869381844997406,0.2683491110801697,0.25092312693595886,0.1787005215883255,0.22515691816806793,0.25125768780708313,0.10309170186519623
",",0.3365725874900818,0.2602646052837372,0.4933079481124878,0.26091980934143066,0.4946078956127167,0.3431144952774048,0.22692032158374786,0.24165967106819153,0.31091248989105225
having,0.4130314290523529,0.14387282729148865,0.3821379244327545,0.24895532429218292,0.38889452815055847,0.2745068073272705,0.18164990842342377,0.3082962930202484,0.22418256103992462
consistently,0.3571816384792328,0.18569216132164001,0.2695158123970032,0.26118147373199463,0.2553209662437439,0.2510245740413666,0.21839892864227295,0.2812311351299286,0.2656213045120239
produced,0.12907662987709045,0.1759207546710968,0.22045251727104187,0.19007574021816254,0.18961067497730255,0.10783915221691132,0.1364733874797821,0.11929382383823395,0.1623450517654419
olympic,0.12415988743305206,0.07137487083673477,0.20010532438755035,0.27002209424972534,0.18379977345466614,0.1823669672012329,0.28001338243484497,0.175150528550148,0.14391231536865234
and,0.41279885172843933,0.2876740097999573,0.5171257257461548,0.3246132433414459,0.5116966962814331,0.3395216166973114,0.25180765986442566,0.29286429286003113,0.20544172823429108
commonwealth,0.15654827654361725,0.14488646388053894,0.3297852873802185,0.2757875621318817,0.3000677525997162,0.16453717648983002,0.2155282199382782,0.12479628622531891,0.13252873718738556
games,0.21274375915527344,0.10047077387571335,0.2676136791706085,0.20908349752426147,0.2499092072248459,0.13805988430976868,0.18631376326084137,0.20172636210918427,0.1360001415014267
champions,0.14704173803329468,0.16875508427619934,0.26727694272994995,0.335907518863678,0.19334977865219116,0.12444689869880676,0.16384455561637878,0.17930416762828827,0.1751273274421692
in,0.2792111933231354,0.220208540558815,0.6662389636039734,0.3038199245929718,0.5696388483047485,0.2759332060813904,0.1782536804676056,0.2874506413936615,0.20430970191955566
various,0.21537287533283234,0.159683495759964,0.3235042691230774,0.2260333001613617,0.3196488320827484,0.18746040761470795,0.1856841892004013,0.19777607917785645,0.12823495268821716
distance,0.1422014683485031,0.23681782186031342,0.26146480441093445,0.14381588995456696,0.20277999341487885,0.37753352522850037,1.0,0.3034587800502777,0.05407539755105972
events,0.22557984292507172,0.19046933948993683,0.3102840185165405,0.2455424666404724,0.20782610774040222,0.17268213629722595,0.20105910301208496,0.18482770025730133,0.09835197776556015
",",0.3365725874900818,0.2602646052837372,0.4933079481124878,0.26091980934143066,0.4946078956127167,0.3431144952774048,0.22692032158374786,0.24165967106819153,0.31091248989105225
especially,0.3433115482330322,0.2586539089679718,0.39420849084854126,0.26723721623420715,0.37220633029937744,0.2534532845020294,0.1644006073474884,0.25569847226142883,0.19751401245594025
in,0.2792111933231354,0.220208540558815,0.6662389636039734,0.3038199245929718,0.5696388483047485,0.2759332060813904,0.1782536804676056,0.2874506413936615,0.20430970191955566
800,0.12496624886989594,0.005624200217425823,0.007269678637385368,0.024805698543787003,0.04887460544705391,-0.0214962437748909,-0.013189349323511124,-0.025603344663977623,0.04938950017094612
m,0.09244602173566818,0.1988968849182129,0.15156042575836182,0.16909277439117432,0.14254631102085114,0.2667013108730316,0.18749968707561493,0.2232545167207718,0.2618667185306549
",",0.3365725874900818,0.2602646052837372,0.4933079481124878,0.26091980934143066,0.4946078956127167,0.3431144952774048,0.22692032158374786,0.24165967106819153,0.31091248989105225
"1,500",0.09093031287193298,0.011513669975101948,0.057165179401636124,-0.005584570113569498,0.04687649384140968,0.07399478554725647,-0.09751980751752853,0.00043394824024289846,0.13783086836338043
m,0.09244602173566818,0.1988968849182129,0.15156042575836182,0.16909277439117432,0.14254631102085114,0.2667013108730316,0.18749968707561493,0.2232545167207718,0.2618667185306549
",",0.3365725874900818,0.2602646052837372,0.4933079481124878,0.26091980934143066,0.4946078956127167,0.3431144952774048,0.22692032158374786,0.24165967106819153,0.31091248989105225
"3,000",0.1046450138092041,0.13322725892066956,0.20201240479946136,0.04377458617091179,0.24090100824832916,0.006893476005643606,0.048260774463415146,0.047330498695373535,-0.05672356113791466
m,0.09244602173566818,0.1988968849182129,0.15156042575836182,0.16909277439117432,0.14254631102085114,0.2667013108730316,0.18749968707561493,0.2232545167207718,0.2618667185306549
steeplechase,0.23860229551792145,0.2819100320339203,0.3415203392505646,0.30279669165611267,0.26596173644065857,0.30837997794151306,0.3553433418273926,0.3027564287185669,0.147659569978714
",",0.3365725874900818,0.2602646052837372,0.4933079481124878,0.26091980934143066,0.4946078956127167,0.3431144952774048,0.22692032158374786,0.24165967106819153,0.31091248989105225
"5,000",0.08657711744308472,-0.09942732751369476,0.13800157606601715,0.026052337139844894,0.1420990526676178,0.15907694399356842,0.017587801441550255,0.088798388838768,0.031676504760980606
m,0.09244602173566818,0.1988968849182129,0.15156042575836182,0.16909277439117432,0.14254631102085114,0.2667013108730316,0.18749968707561493,0.2232545167207718,0.2618667185306549
",",0.3365725874900818,0.2602646052837372,0.4933079481124878,0.26091980934143066,0.4946078956127167,0.3431144952774048,0.22692032158374786,0.24165967106819153,0.31091248989105225
"10,000",-0.0025381569284945726,-0.046462394297122955,-0.07657112926244736,-0.13771411776542664,-0.024864796549081802,-0.0443628691136837,-0.09160299599170685,-0.03692071512341499,0.10342991352081299
m,0.09244602173566818,0.1988968849182129,0.15156042575836182,0.16909277439117432,0.14254631102085114,0.2667013108730316,0.18749968707561493,0.2232545167207718,0.2618667185306549
and,0.41279885172843933,0.2876740097999573,0.5171257257461548,0.3246132433414459,0.5116966962814331,0.3395216166973114,0.25180765986442566,0.29286429286003113,0.20544172823429108
the,0.3733934462070465,0.33702966570854187,1.0,0.33604270219802856,0.733189046382904,0.3075225353240967,0.26146480441093445,0.28883472084999084,0.22068053483963013
marathon,0.19059868156909943,0.12160614877939224,0.20494653284549713,0.2527939975261688,0.17107687890529633,0.2174331694841385,0.34564077854156494,0.29324543476104736,0.1344921737909317
.,0.3541337847709656,0.1623680144548416,0.5934505462646484,0.3177160322666168,0.5352458953857422,0.3247973620891571,0.1947452872991562,0.27780240774154663,0.4130953550338745
,who,dominates,the,world,of,long,distance,running,?
kenya,0.168242946267128,0.1237640231847763,0.21657514572143555,0.19910317659378052,0.22226637601852417,0.12955783307552338,0.1656852513551712,0.193542942404747,0.17197901010513306
is,0.24293622374534607,0.28369683027267456,0.5823672413825989,0.24458536505699158,0.4854315221309662,0.28473302721977234,0.2458917796611786,0.23768527805805206,0.22961433231830597
active,0.264361709356308,0.15023306012153625,0.2376219779253006,0.23022648692131042,0.23132829368114471,0.27318474650382996,0.12723304331302643,0.26894041895866394,0.20374006032943726
