,who,is,the,oldest,quarterback,to,play,in,a,super,bowl,?
peyton,0.2135157585144043,0.23490853607654572,0.2709864377975464,0.10445910692214966,0.4457186758518219,0.2003074735403061,0.27448466420173645,0.25605714321136475,0.298135370016098,0.2683632969856262,0.2604644298553467,0.17519715428352356
manning,0.33436715602874756,0.15379270911216736,0.27058160305023193,0.15745723247528076,0.5449647903442383,0.24857525527477264,0.2523941099643707,0.22345924377441406,0.2509649395942688,0.30535250902175903,0.32417115569114685,0.15856626629829407
became,0.2624726891517639,0.34253424406051636,0.36325156688690186,0.275992214679718,0.17462144792079926,0.20401327311992645,0.18296407163143158,0.31047213077545166,0.28774285316467285,0.15664279460906982,0.1635434478521347,0.11374033987522125
the,0.3733934462070465,0.5823672413825989,1.0,0.30836519598960876,0.23757418990135193,0.535392165184021,0.24793598055839539,0.6662389636039734,0.5829201340675354,0.21959073841571808,0.21576224267482758,0.22068053483963013
first,0.39065709710121155,0.30889374017715454,0.49448907375335693,0.3863387405872345,0.12965546548366547,0.3792489171028137,0.28701257705688477,0.4127444326877594,0.4287874400615692,0.2717077434062958,0.20817767083644867,0.18701928853988647
quarterback,0.17410103976726532,0.19901543855667114,0.23757418990135193,0.1494964361190796,1.0000001192092896,0.17934949696063995,0.32953891158103943,0.17283181846141815,0.20472733676433563,0.28511252999305725,0.37160974740982056,0.13221268355846405
ever,0.362372487783432,0.26543647050857544,0.3474041819572449,0.32723426818847656,0.16781693696975708,0.33233755826950073,0.22144199907779694,0.31014615297317505,0.27561625838279724,0.26257312297821045,0.1696997582912445,0.3358461856842041
to,0.42656609416007996,0.42745086550712585,0.535392165184021,0.16884976625442505,0.17934949696063995,1.0,0.272149920463562,0.45010748505592346,0.45503583550453186,0.17783479392528534,0.16993016004562378,0.29463258385658264
lead,0.19455209374427795,0.18414030969142914,0.21995973587036133,0.07988676428794861,0.23164379596710205,0.23490607738494873,0.20637355744838715,0.2055644989013672,0.20661775767803192,0.13247919082641602,0.1691603809595108,0.14552436769008636
two,0.2791741192340851,0.2315155267715454,0.43858039379119873,0.2530563771724701,0.2070576697587967,0.3343428373336792,0.2587577700614929,0.36463531851768494,0.3289857804775238,0.19097526371479034,0.20622028410434723,0.19645625352859497
different,0.27202165126800537,0.24624870717525482,0.36412742733955383,0.16814886033535004,0.10479070246219635,0.3617510497570038,0.22239452600479126,0.29409363865852356,0.29175353050231934,0.15523937344551086,0.1472696214914322,0.24476227164268494
teams,0.23560982942581177,0.1845376342535019,0.3164927661418915,0.10468466579914093,0.4060954749584198,0.2634691894054413,0.3838494122028351,0.2639528214931488,0.21163642406463623,0.26333683729171753,0.2752957046031952,0.11150168627500534
to,0.42656609416007996,0.42745086550712585,0.535392165184021,0.16884976625442505,0.17934949696063995,1.0,0.272149920463562,0.45010748505592346,0.45503583550453186,0.17783479392528534,0.16993016004562378,0.29463258385658264
multiple,0.18654736876487732,0.12635007500648499,0.20022359490394592,0.08970199525356293,0.1556387096643448,0.2663446366786957,0.08917649835348129,0.18657618761062622,0.23904410004615784,0.1904134303331375,0.07687632739543915,0.1591399908065796
super,0.1819351613521576,0.15390309691429138,0.21959073841571808,0.08387745171785355,0.28511252999305725,0.17783479392528534,0.17709366977214813,0.18576006591320038,0.26005712151527405,1.0000001192092896,0.4848237931728363,0.166326642036438
bowls,0.19806717336177826,0.13691234588623047,0.17019082605838776,0.11203118413686752,0.4219685196876526,0.15941321849822998,0.2745884656906128,0.14384441077709198,0.1804843544960022,0.3995929956436157,0.73409503698349,0.1849047988653183
.,0.3541337847709656,0.4569662809371948,0.5934505462646484,0.2520267069339752,0.23691914975643158,0.4645031690597534,0.25552695989608765,0.5591574311256409,0.50484299659729,0.2757420241832733,0.21516893804073334,0.4130953550338745
