,what,years,did,this,occupation,take,place,?
they,0.4431931674480438,0.27811309695243835,0.4879390597343445,0.4273154139518738,0.1426827609539032,0.3386363983154297,0.3419739007949829,0.2753053903579712
ultimately,0.3084288239479065,0.17842453718185425,0.30089887976646423,0.3323187828063965,0.13054852187633514,0.26467007398605347,0.17117191851139069,0.18806859850883484
decided,0.3212295174598694,0.23861563205718994,0.5689980983734131,0.32395023107528687,0.18576310575008392,0.2755596339702606,0.21650715172290802,0.258772075176239
to,0.455847829580307,0.23891852796077728,0.4452643394470215,0.5759071707725525,0.1859113872051239,0.4075521230697632,0.3346366882324219,0.29463258385658264
switch,0.23045547306537628,0.049463119357824326,0.139723539352417,0.28677898645401,0.12637922167778015,0.2835373282432556,0.18776728212833405,0.21329930424690247
to,0.455847829580307,0.23891852796077728,0.4452643394470215,0.5759071707725525,0.1859113872051239,0.4075521230697632,0.3346366882324219,0.29463258385658264
german,0.1960553526878357,0.16171830892562866,0.2048940509557724,0.18710628151893616,0.26412612199783325,0.16128292679786682,0.14276988804340363,0.13978645205497742
in,0.30808621644973755,0.33554986119270325,0.2593238651752472,0.45205554366111755,0.1896161586046219,0.21975718438625336,0.38128477334976196,0.20430970191955566
protest,0.20248152315616608,0.1380227506160736,0.23183682560920715,0.26792335510253906,0.19729486107826233,0.22918623685836792,0.22224152088165283,0.1878921240568161
against,0.24561616778373718,0.19174301624298096,0.22514554858207703,0.27292028069496155,0.15366131067276,0.24572813510894775,0.20561166107654572,0.18095137178897858
the,0.42745697498321533,0.2912273406982422,0.34736719727516174,0.6274310946464539,0.23079249262809753,0.31620436906814575,0.4179787337779999,0.22068053483963013
occupation,0.1860596090555191,0.1632380187511444,0.203959122300148,0.12357626855373383,1.0,0.1405070424079895,0.11364217102527618,0.13284437358379364
of,0.33290785551071167,0.2904134690761566,0.2513895630836487,0.45148900151252747,0.24415746331214905,0.29282352328300476,0.2685627043247223,0.1826142966747284
prussia,0.19015008211135864,0.21180014312267303,0.1611667275428772,0.23479992151260376,0.13461342453956604,0.15798303484916687,0.17119072377681732,0.09988865256309509
by,0.2455483376979828,0.19883383810520172,0.18574509024620056,0.38438332080841064,0.18450988829135895,0.1697900891304016,0.22235022485256195,0.17966607213020325
napoleon,0.18008241057395935,0.24704575538635254,0.17893347144126892,0.2352558970451355,0.17191153764724731,0.1679341346025467,0.17188024520874023,0.15321364998817444
in,0.30808621644973755,0.33554986119270325,0.2593238651752472,0.45205554366111755,0.1896161586046219,0.21975718438625336,0.38128477334976196,0.20430970191955566
1806-07,0.1742541491985321,0.06942513585090637,0.17665274441242218,0.18552297353744507,0.011307351291179657,0.2177724391222,0.07456641644239426,0.15788215398788452
.,0.3567904531955719,0.31919315457344055,0.35288307070732117,0.500583827495575,0.20114995539188385,0.3045158088207245,0.2844318151473999,0.4130953550338745
