,what,was,the,episode,name,of,simpson,'s,first,doctor,who,score,?
simpson,0.1427246332168579,0.2131803035736084,0.23521888256072998,0.3859172761440277,0.05149224400520325,0.1791120320558548,1.0,-0.0030620377510786057,0.18874526023864746,0.2186002880334854,0.15358659625053406,0.1510721892118454,0.16581538319587708
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,-0.057472456246614456,0.08507627248764038,-0.03817026689648628,-0.0030620377510786057,0.9999999403953552,-0.014458609744906425,0.031664930284023285,0.05599616840481758,0.06112585589289665,-0.023395681753754616
first,0.28086137771606445,0.5022147297859192,0.49448907375335693,0.24243572354316711,0.3163818418979645,0.3536086082458496,0.18874526023864746,-0.014458609744906425,1.0,0.27244147658348083,0.39065709710121155,0.1765058934688568,0.18701928853988647
doctor,0.20870667695999146,0.19672659039497375,0.2820442318916321,0.2940889000892639,0.19494794309139252,0.16895952820777893,0.2186002880334854,0.031664930284023285,0.27244147658348083,0.9999999403953552,0.3504868149757385,0.09459073841571808,0.1462511420249939
who,0.40942975878715515,0.3318818509578705,0.3733934462070465,0.2015407234430313,0.2027527540922165,0.2827862501144409,0.15358659625053406,0.05599616840481758,0.39065709710121155,0.3504868149757385,0.9999998807907104,0.1809227615594864,0.26220351457595825
score,0.1703568547964096,0.1616087406873703,0.2042495757341385,0.18703380227088928,0.13503091037273407,0.1790168732404709,0.1510721892118454,0.06112585589289665,0.1765058934688568,0.09459073841571808,0.1809227615594864,1.0,0.199510395526886
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.1706574261188507,0.2646567225456238,0.4069072902202606,0.2131803035736084,0.008974763564765453,0.5022147297859192,0.19672659039497375,0.3318818509578705,0.1616087406873703,0.18412111699581146
planet,0.2183026820421219,0.19662094116210938,0.2470240592956543,0.2830830216407776,0.13968248665332794,0.19911958277225494,0.18279427289962769,-0.040571004152297974,0.21164335310459137,0.27168989181518555,0.21450060606002808,0.12680092453956604,0.16979767382144928
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.17369085550308228,0.24075818061828613,1.0,0.1791120320558548,-0.03817026689648628,0.3536086082458496,0.16895952820777893,0.2827862501144409,0.1790168732404709,0.1826142966747284
giants,0.15827009081840515,0.1738642305135727,0.25009262561798096,0.15742197632789612,0.1465330421924591,0.18180108070373535,0.12486101686954498,0.0016408598748967052,0.15892179310321808,0.08243756741285324,0.2421608716249466,0.1433529406785965,0.11124124377965927
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.19250941276550293,0.2706909477710724,0.35032153129577637,0.15098623931407928,0.0012731997994706035,0.2450505793094635,0.1570640504360199,0.2443375140428543,0.16359393298625946,0.40561532974243164
1964,-0.0811573788523674,-0.10244843363761902,-0.01880853809416294,-0.001796589931473136,0.015069526620209217,0.008202686905860901,-0.007884780876338482,0.05917205661535263,-0.14690802991390228,-0.0038573783822357655,0.003835720708593726,-0.053870800882577896,0.041380032896995544
),0.26259949803352356,0.3267642855644226,0.3456730246543884,0.1890215277671814,0.2638341188430786,0.3680361211299896,0.13731203973293304,0.021107977256178856,0.27228695154190063,0.1509941965341568,0.2457384318113327,0.1630166471004486,0.42300865054130554
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2091434895992279,0.21235932409763336,0.5116966962814331,0.28405213356018066,0.06895173341035843,0.3167642652988434,0.21673844754695892,0.41279885172843933,0.16766662895679474,0.20544172823429108
he,0.3114890456199646,0.5410010814666748,0.4571082592010498,0.20637604594230652,0.16665782034397125,0.38706058263778687,0.1965101659297943,0.024063590914011,0.3826274573802948,0.3197924494743347,0.5500732064247131,0.1611587256193161,0.2089974731206894
went,0.20164033770561218,0.49310487508773804,0.3345835506916046,0.15789897739887238,0.14832516014575958,0.2527906000614166,0.17923027276992798,0.0411166250705719,0.3095473051071167,0.20976325869560242,0.25244954228401184,0.09858600050210953,0.12109432369470596
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.28993746638298035,0.17627742886543274,0.3966929316520691,0.27700477838516235,0.0026888418942689896,0.3120559751987457,0.1636410653591156,0.2340552806854248,0.1815592646598816,0.2714994251728058
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.25052839517593384,0.27806994318962097,0.41548454761505127,0.2065666913986206,0.03782717138528824,0.3792489171028137,0.22950075566768646,0.42656609416007996,0.18782086670398712,0.29463258385658264
write,0.37596118450164795,0.21129223704338074,0.23380951583385468,0.20655719935894012,0.21172192692756653,0.2147456258535385,0.0926806777715683,0.041710954159498215,0.24849028885364532,0.1619148701429367,0.3035011887550354,0.25257930159568787,0.3189060389995575
music,0.23070453107357025,0.2583621144294739,0.2714049816131592,0.16775518655776978,0.15871495008468628,0.25892743468284607,0.09295149147510529,0.09120280295610428,0.22269050776958466,0.19428947567939758,0.20470726490020752,0.3224089741706848,0.18264494836330414
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.17981192469596863,0.25737348198890686,0.4185989499092102,0.2430761158466339,-0.07241261005401611,0.3800288736820221,0.1556548923254013,0.37110671401023865,0.19645971059799194,0.264628142118454
many,0.36131182312965393,0.260356068611145,0.4335206151008606,0.12958924472332,0.206878662109375,0.37253960967063904,0.09808986634016037,0.01698932610452175,0.2931244373321533,0.18319568037986755,0.4149286150932312,0.06875400245189667,0.2124512493610382
