,who,increased,british,military,resources,in,colonies,?
after,0.32549580931663513,0.21351024508476257,0.20129355788230896,0.22835171222686768,0.1392706036567688,0.44050168991088867,0.21944426000118256,0.16608688235282898
the,0.3733934462070465,0.3188653886318207,0.28973397612571716,0.2290858030319214,0.25734785199165344,0.6662389636039734,0.30451729893684387,0.22068053483963013
disastrous,0.20121325552463531,0.26166266202926636,0.18369600176811218,0.2858926057815552,0.20679105818271637,0.32057181000709534,0.21583086252212524,0.13956263661384583
1757,-0.005036839749664068,-4.926454130327329e-05,0.05144234374165535,0.06309060007333755,0.07448683679103851,-0.0014661961467936635,0.0857347697019577,0.10058208554983139
british,0.2666113078594208,0.1408194601535797,1.0,0.25965484976768494,0.1758747100830078,0.23084034025669098,0.3298065662384033,0.09711728990077972
campaigns,0.24375636875629425,0.20579646527767181,0.16179856657981873,0.35647913813591003,0.3016936182975769,0.26681122183799744,0.24686089158058167,0.13006390631198883
(,0.2443375140428543,0.15970994532108307,0.18040098249912262,0.1732102483510971,0.18712666630744934,0.3087427020072937,0.1581670492887497,0.40561532974243164
resulting,0.12077488005161285,0.44000890851020813,0.17433881759643555,0.11063311994075775,0.2741059362888336,0.3149644732475281,0.25216397643089294,0.10813049972057343
in,0.2792111933231354,0.244624063372612,0.23084034025669098,0.2402431070804596,0.2161814570426941,1.0,0.28602269291877747,0.20430970191955566
a,0.36608949303627014,0.22370080649852753,0.1984395682811737,0.22087278962135315,0.19164273142814636,0.539380669593811,0.20623989403247833,0.23916715383529663
failed,0.23414136469364166,0.26001372933387756,0.20140913128852844,0.2013920247554779,0.2093120962381363,0.21989236772060394,0.15537449717521667,0.16487033665180206
expedition,0.26266250014305115,0.15852893888950348,0.21442097425460815,0.31732088327407837,0.22061993181705475,0.19481515884399414,0.25553861260414124,0.10355690121650696
against,0.2942115366458893,0.22057540714740753,0.1403929740190506,0.200345978140831,0.13779671490192413,0.27273955941200256,0.22078007459640503,0.18095137178897858
louisbourg,0.19222232699394226,0.14346250891685486,0.3082667589187622,0.22052496671676636,0.1795240342617035,0.2623232305049896,0.30020686984062195,0.09875453263521194
and,0.41279885172843933,0.2943111062049866,0.325880765914917,0.2530125379562378,0.3116118013858795,0.4954058527946472,0.311396062374115,0.20544172823429108
the,0.3733934462070465,0.3188653886318207,0.28973397612571716,0.2290858030319214,0.25734785199165344,0.6662389636039734,0.30451729893684387,0.22068053483963013
siege,0.14098326861858368,0.15734319388866425,0.19374847412109375,0.2593000829219818,0.1238013207912445,0.23684100806713104,0.2749117910861969,0.07257505506277084
of,0.2827862501144409,0.3371390700340271,0.23701532185077667,0.27347031235694885,0.2746381163597107,0.5696388483047485,0.2890703082084656,0.1826142966747284
fort,0.13790950179100037,0.12619581818580627,0.2695907950401306,0.288589209318161,0.15852339565753937,0.24152536690235138,0.2910338342189789,0.15686731040477753
william,0.32068803906440735,0.13542290031909943,0.21299338340759277,0.16220156848430634,0.16958197951316833,0.21605195105075836,0.1982777863740921,0.14462219178676605
henry,0.29137110710144043,0.1455509066581726,0.2834501266479492,0.17858421802520752,0.19773593544960022,0.21735817193984985,0.263474702835083,0.16836383938789368
",",0.3365725874900818,0.20936180651187897,0.25734075903892517,0.2611614465713501,0.2789028584957123,0.5201468467712402,0.23384660482406616,0.31091248989105225
which,0.3688730001449585,0.3345912992954254,0.2002234309911728,0.18082310259342194,0.276274174451828,0.4840516746044159,0.26203060150146484,0.25814583897590637
was,0.3318818509578705,0.23245969414710999,0.31934812664985657,0.24704936146736145,0.14124581217765808,0.45514053106307983,0.21739500761032104,0.18412111699581146
followed,0.19133411347866058,0.24683448672294617,0.13756445050239563,0.18125779926776886,0.09687765687704086,0.3307904005050659,0.19526463747024536,0.20567169785499573
by,0.39727845788002014,0.23756875097751617,0.26707085967063904,0.2170676290988922,0.19408294558525085,0.370934396982193,0.14753642678260803,0.17966607213020325
indian,0.27032554149627686,0.16867856681346893,0.40101948380470276,0.23858776688575745,0.17375211417675018,0.17715758085250854,0.2556660771369934,0.09909533709287643
torture,0.27604061365127563,0.1961214542388916,0.16667583584785461,0.29759451746940613,0.15225571393966675,0.18728871643543243,0.30388569831848145,0.19210754334926605
and,0.41279885172843933,0.2943111062049866,0.325880765914917,0.2530125379562378,0.3116118013858795,0.4954058527946472,0.311396062374115,0.20544172823429108
massacres,0.20135436952114105,0.22694726288318634,0.2492494285106659,0.28754931688308716,0.1752496361732483,0.2390798032283783,0.3143509328365326,0.20204561948776245
of,0.2827862501144409,0.3371390700340271,0.23701532185077667,0.27347031235694885,0.2746381163597107,0.5696388483047485,0.2890703082084656,0.1826142966747284
british,0.2666113078594208,0.1408194601535797,1.0,0.25965484976768494,0.1758747100830078,0.23084034025669098,0.3298065662384033,0.09711728990077972
victims,0.2579924464225769,0.2686628997325897,0.14489981532096863,0.19097624719142914,0.21563416719436646,0.1911110132932663,0.21368536353111267,0.16638198494911194
),0.2457384318113327,0.15167289972305298,0.19181592762470245,0.1918415129184723,0.19202645123004913,0.3326910734176636,0.14880722761154175,0.42300865054130554
",",0.3365725874900818,0.20936180651187897,0.25734075903892517,0.2611614465713501,0.2789028584957123,0.5201468467712402,0.23384660482406616,0.31091248989105225
the,0.3733934462070465,0.3188653886318207,0.28973397612571716,0.2290858030319214,0.25734785199165344,0.6662389636039734,0.30451729893684387,0.22068053483963013
british,0.2666113078594208,0.1408194601535797,1.0,0.25965484976768494,0.1758747100830078,0.23084034025669098,0.3298065662384033,0.09711728990077972
government,0.27194860577583313,0.2212865799665451,0.29284414649009705,0.5005595684051514,0.3042723536491394,0.3066793978214264,0.3207741379737854,0.18851417303085327
fell,0.19809399545192719,0.25431060791015625,0.21158930659294128,0.17535299062728882,0.0670149177312851,0.22975562512874603,0.12052936851978302,0.13107693195343018
.,0.3541337847709656,0.21367591619491577,0.23159366846084595,0.21794499456882477,0.2478848099708557,0.5591574311256409,0.27309566736221313,0.4130953550338745
