,there,'s,a,rough,border,between,switzerland,and,what,other,country,formed,by,the,rhine,?
the,0.47025805711746216,-0.01540423184633255,0.5829201340675354,0.25230246782302856,0.2856229841709137,0.39067012071609497,0.25689372420310974,0.5171257257461548,0.42745697498321533,0.44152235984802246,0.30432501435279846,0.28813210129737854,0.4408751428127289,1.0,0.30735138058662415,0.22068053483963013
rhine,0.17993438243865967,0.0778765007853508,0.1823403388261795,0.1695563942193985,0.32308438420295715,0.17755062878131866,0.32351648807525635,0.22029656171798706,0.16475653648376465,0.19601790606975555,0.23905308544635773,0.12505698204040527,0.18456800282001495,0.30735138058662415,1.0,0.13754533231258392
roughly,0.2300082892179489,0.024296239018440247,0.22940123081207275,0.49801012873649597,0.2110692411661148,0.34688273072242737,0.14648813009262085,0.29915347695350647,0.2731170356273651,0.21848240494728088,0.14307349920272827,0.1756090670824051,0.22591209411621094,0.3095499873161316,0.2342734932899475,0.09299357235431671
forms,0.26480165123939514,0.06475899368524551,0.31878992915153503,0.20977358520030975,0.2571088373661041,0.2800103425979614,0.13730183243751526,0.31425848603248596,0.16334041953086853,0.30812856554985046,0.14922814071178436,0.37194114923477173,0.19076815247535706,0.2950737178325653,0.20136399567127228,0.1196754202246666
the,0.47025805711746216,-0.01540423184633255,0.5829201340675354,0.25230246782302856,0.2856229841709137,0.39067012071609497,0.25689372420310974,0.5171257257461548,0.42745697498321533,0.44152235984802246,0.30432501435279846,0.28813210129737854,0.4408751428127289,1.0,0.30735138058662415,0.22068053483963013
german-swiss,0.20026598870754242,0.08011788874864578,0.29325681924819946,0.22844210267066956,0.30290350317955017,0.19188745319843292,0.5704993009567261,0.27395009994506836,0.20165221393108368,0.21286402642726898,0.27321016788482666,0.2001337856054306,0.2764650881290436,0.28852662444114685,0.5396058559417725,0.21336546540260315
border,0.22345168888568878,-0.0324530154466629,0.20451702177524567,0.21335813403129578,0.9999998807907104,0.3074911832809448,0.1974421739578247,0.29048892855644226,0.26696228981018066,0.22773391008377075,0.2196434885263443,0.2052387148141861,0.1409846395254135,0.2856229841709137,0.32308438420295715,0.1706928312778473
from,0.2965545952320099,-0.01936490088701248,0.322764128446579,0.22214248776435852,0.2206592857837677,0.3269653618335724,0.11700183898210526,0.3601827025413513,0.2737620174884796,0.30141791701316833,0.21630296111106873,0.26482728123664856,0.3373257517814636,0.40150508284568787,0.2181936800479889,0.19969791173934937
lake,0.21727094054222107,0.020127112045884132,0.20924630761146545,0.1352786272764206,0.31742775440216064,0.12654004991054535,0.2903166711330414,0.234501451253891,0.17778855562210083,0.13743217289447784,0.18426910042762756,0.18102994561195374,0.17407365143299103,0.24325428903102875,0.22246339917182922,0.07226386666297913
constance,0.1870494782924652,0.006800294853746891,0.23229745030403137,0.09402734041213989,0.19591377675533295,0.24414926767349243,0.31170228123664856,0.30396533012390137,0.143944650888443,0.09064262360334396,0.1648750901222229,0.14735248684883118,0.19241288304328918,0.23177717626094818,0.33406126499176025,0.1427515298128128
with,0.37390366196632385,-0.04624466598033905,0.3783375024795532,0.2804674804210663,0.220579594373703,0.3829993009567261,0.20552784204483032,0.5477725267410278,0.2464839518070221,0.44086363911628723,0.24760155379772186,0.2785397171974182,0.39731505513191223,0.4223487675189972,0.18184249103069305,0.2433311939239502
the,0.47025805711746216,-0.01540423184633255,0.5829201340675354,0.25230246782302856,0.2856229841709137,0.39067012071609497,0.25689372420310974,0.5171257257461548,0.42745697498321533,0.44152235984802246,0.30432501435279846,0.28813210129737854,0.4408751428127289,1.0,0.30735138058662415,0.22068053483963013
