,what,percentage,was,the,increase,of,agricultural,products,in,2003-04,?
during,0.24137552082538605,0.19662469625473022,0.4470829963684082,0.4838213622570038,0.21474911272525787,0.3869180977344513,0.20308618247509003,0.13724581897258759,0.4627237319946289,0.039749354124069214,0.1325719803571701
2003–04,-0.24461929500102997,-0.26839467883110046,0.06802696734666824,-0.2541144788265228,-0.2236560434103012,-0.23086200654506683,-0.17080335319042206,-0.17285022139549255,-0.13129006326198578,0.08943307399749756,-0.10515590012073517
",",0.3087472915649414,0.21945469081401825,0.45456063747406006,0.4933079481124878,0.20005576312541962,0.4946078956127167,0.31311511993408203,0.2251427173614502,0.5201468467712402,0.020703619346022606,0.31091248989105225
the,0.42745697498321533,0.2736506462097168,0.48711544275283813,1.0,0.32049667835235596,0.733189046382904,0.2716485559940338,0.2547704577445984,0.6662389636039734,0.04565144702792168,0.22068053483963013
gross,0.1786828190088272,0.24930864572525024,0.14201465249061584,0.1785203367471695,0.27677133679389954,0.21245229244232178,0.1753389686346054,0.27833569049835205,0.20210827887058258,-0.030626432970166206,0.22810624539852142
value,0.24056871235370636,0.307216078042984,0.13631008565425873,0.16908381879329681,0.2573869228363037,0.14933855831623077,0.2570319175720215,0.23305325210094452,0.12795600295066833,0.16204459965229034,0.23920650780200958
of,0.33290785551071167,0.24724560976028442,0.4069072902202606,0.733189046382904,0.3156060576438904,1.0,0.3318701386451721,0.21450084447860718,0.5696388483047485,0.02689445950090885,0.1826142966747284
victorian,0.15513519942760468,0.14668594300746918,0.27178600430488586,0.2753658890724182,0.1913563758134842,0.28338366746902466,0.2444179356098175,0.1799636334180832,0.21606117486953735,0.039222728461027145,0.07572567462921143
agricultural,0.17047324776649475,0.20975713431835175,0.22188784182071686,0.2716485559940338,0.25651949644088745,0.3318701386451721,1.0000001192092896,0.432552307844162,0.2751860022544861,-0.0597168393433094,0.0713675245642662
production,0.16636081039905548,0.18092374503612518,0.20499728620052338,0.2657334506511688,0.29218894243240356,0.1928233802318573,0.3729345202445984,0.5531328916549683,0.22079120576381683,0.00601766025647521,0.19318072497844696
increased,0.1599731743335724,0.36538106203079224,0.23245969414710999,0.3188653886318207,0.8384779691696167,0.3371390700340271,0.2794925570487976,0.24586442112922668,0.244624063372612,0.03634971007704735,0.09587585180997849
by,0.2455483376979828,0.21129482984542847,0.4752357602119446,0.4408751428127289,0.20121172070503235,0.3646814823150635,0.13835741579532623,0.21995729207992554,0.370934396982193,0.09864630550146103,0.17966607213020325
17,0.1129629984498024,0.178955540060997,0.06704052537679672,0.10537172853946686,0.08278468251228333,0.12138522416353226,0.1535799652338028,0.15596753358840942,0.10391845554113388,0.05753612145781517,0.17603135108947754
%,0.20738190412521362,0.5639340281486511,0.11743833869695663,0.21490740776062012,0.3205886483192444,0.19953428208827972,0.17656949162483215,0.1905759871006012,0.19465309381484985,0.024183547124266624,0.21441808342933655
to,0.455847829580307,0.25744274258613586,0.3636345863342285,0.535392165184021,0.3378143310546875,0.41548454761505127,0.22557492554187775,0.2591564655303955,0.45010748505592346,0.04141978546977043,0.29463258385658264
$,0.24858909845352173,0.2746354341506958,0.23838669061660767,0.23367542028427124,0.2529371380805969,0.11268499493598938,0.12514258921146393,0.2251298427581787,0.21616753935813904,0.1433720737695694,0.2786129117012024
8.7,0.08549505472183228,0.06838426738977432,0.1914486587047577,0.30320608615875244,0.11041592806577682,0.25385957956314087,0.2203206866979599,0.1016978770494461,0.18736489117145538,0.05662049725651741,0.10147654265165329
billion,0.262668639421463,0.2955043613910675,0.18399004638195038,0.2162325382232666,0.3142911195755005,0.19335569441318512,0.1462099701166153,0.250203400850296,0.18475750088691711,0.08656886965036392,0.25791820883750916
.,0.3567904531955719,0.28866735100746155,0.40146201848983765,0.5934505462646484,0.24619564414024353,0.5352458953857422,0.26339057087898254,0.223800927400589,0.5591574311256409,0.02294878289103508,0.4130953550338745
