,with,which,museum,does,the,v,&,a,co-owns,canova,'s,the,three,graces,?
it,0.3369046747684479,0.616637647151947,0.18497297167778015,0.34188351035118103,0.6251175999641418,0.1784781813621521,0.08886928111314774,0.5452592968940735,0.23224708437919617,0.07541763037443161,0.06608816236257553,0.6251175999641418,0.27537038922309875,0.22721794247627258,0.25732165575027466
includes,0.2859180271625519,0.36315640807151794,0.1933429092168808,0.2753782868385315,0.3388250470161438,0.036025527864694595,0.27284300327301025,0.25086286664009094,0.3085172474384308,0.11211583763360977,-0.0293574221432209,0.3388250470161438,0.1804812103509903,0.1502552032470703,0.14011523127555847
canova,0.1371539831161499,0.1270567774772644,0.21948044002056122,0.017308983951807022,0.1480957269668579,0.1607472449541092,0.15932177007198334,0.18949854373931885,0.17136850953102112,1.0000001192092896,0.004703989718109369,0.1480957269668579,0.1006360650062561,0.25565773248672485,0.15430040657520294
's,-0.04624466598033905,0.03856118768453598,-0.011753248050808907,-0.02895052544772625,-0.01540423184633255,-0.008823617361485958,-0.02038128487765789,0.04866964742541313,0.017688976600766182,0.004703989718109369,0.9999999403953552,-0.01540423184633255,0.03946888819336891,0.04130956158041954,-0.023395681753754616
the,0.4223487675189972,0.6521818041801453,0.24861779808998108,0.35928019881248474,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.34088951349258423,0.1480957269668579,-0.01540423184633255,1.0,0.43452659249305725,0.23424911499023438,0.22068053483963013
three,0.35964319109916687,0.40919098258018494,0.11963338404893875,0.1872161626815796,0.43452659249305725,0.12314421683549881,0.11456148326396942,0.3025658130645752,0.3048657774925232,0.1006360650062561,0.03946888819336891,0.43452659249305725,1.0,0.22033922374248505,0.20928427577018738
graces,0.19623365998268127,0.22781504690647125,0.2079245150089264,0.2151767462491989,0.23424911499023438,0.07403801381587982,0.13142383098602295,0.22187672555446625,0.32723432779312134,0.25565773248672485,0.04130956158041954,0.23424911499023438,0.22033922374248505,1.0,0.13242162764072418
",",0.4120737314224243,0.3658004403114319,0.20741747319698334,0.28617382049560547,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.3122531771659851,0.26216721534729004,-0.0016132977325469255,0.4933079481124878,0.3347506821155548,0.28116434812545776,0.31091248989105225
which,0.46403205394744873,1.0,0.22731433808803558,0.39111801981925964,0.6521818041801453,0.1653934270143509,0.16294614970684052,0.56894451379776,0.34896957874298096,0.1270567774772644,0.03856118768453598,0.6521818041801453,0.40919098258018494,0.22781504690647125,0.25814583897590637
the,0.4223487675189972,0.6521818041801453,0.24861779808998108,0.35928019881248474,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.34088951349258423,0.1480957269668579,-0.01540423184633255,1.0,0.43452659249305725,0.23424911499023438,0.22068053483963013
museum,0.08185859024524689,0.22731433808803558,1.0000001192092896,0.1064787358045578,0.24861779808998108,0.07561434060335159,0.18110838532447815,0.14725451171398163,0.2470213919878006,0.21948044002056122,-0.011753248050808907,0.24861779808998108,0.11963338404893875,0.2079245150089264,0.14128351211547852
jointly,0.3316282331943512,0.25604957342147827,0.16525417566299438,0.14232394099235535,0.22602026164531708,0.1950356811285019,0.1918802261352539,0.09623899310827255,0.1612165868282318,0.1349533051252365,-0.07965525984764099,0.22602026164531708,0.25675082206726074,0.1797827035188675,0.1325671374797821
owns,0.1999155580997467,0.27144646644592285,0.27097514271736145,0.2569397985935211,0.19328729808330536,0.0695871040225029,0.1833547204732895,0.21769998967647552,0.6369956135749817,0.11700013279914856,-0.035577915608882904,0.19328729808330536,0.1925334930419922,0.24302120506763458,0.18703800439834595
with,0.9999999403953552,0.46403205394744873,0.08185859024524689,0.26186925172805786,0.4223487675189972,0.14314915239810944,0.20013411343097687,0.3783375024795532,0.3055586814880371,0.1371539831161499,-0.04624466598033905,0.4223487675189972,0.35964319109916687,0.19623365998268127,0.2433311939239502
national,0.15206176042556763,0.28337109088897705,0.2500859498977661,0.16890141367912292,0.32739606499671936,0.10848595201969147,0.1480441838502884,0.27889734506607056,0.28238630294799805,0.12830621004104614,-0.05226261913776398,0.32739606499671936,0.2245597392320633,0.1543513685464859,0.15643028914928436
galleries,0.17471446096897125,0.28423401713371277,0.54404217004776,0.17347003519535065,0.27603694796562195,0.17544934153556824,0.18190616369247437,0.16555815935134888,0.3891415596008301,0.2673511207103729,-0.07497011125087738,0.27603694796562195,0.2099870890378952,0.3195746839046478,0.1957392692565918
of,0.41827285289764404,0.5011631846427917,0.23314370214939117,0.3119818866252899,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.33792370557785034,0.164169043302536,-0.03817026689648628,0.733189046382904,0.3844621181488037,0.2341764122247696,0.1826142966747284
scotland,0.21539276838302612,0.23217903077602386,0.11231120675802231,0.15574301779270172,0.23846951127052307,0.21097208559513092,0.10694672167301178,0.2106660157442093,0.2331443428993225,0.12727050483226776,0.03316264972090721,0.23846951127052307,0.165018692612648,0.1450844556093216,0.09160218387842178
.,0.4446153938770294,0.45942068099975586,0.19497929513454437,0.3022993505001068,0.5934505462646484,0.2973858416080475,0.16452857851982117,0.50484299659729,0.27881181240081787,0.1938951313495636,-0.003708066651597619,0.5934505462646484,0.34968629479408264,0.22469276189804077,0.4130953550338745
