,what,type,of,medal,did,nasa,give,the,astronauts,who,visited,space,and,the,moon,?
nasa,0.21178755164146423,0.12433872371912003,0.17935146391391754,0.18769383430480957,0.12001431733369827,1.0000001192092896,0.12506727874279022,0.19786997139453888,0.5660800933837891,0.1536933034658432,0.16085511445999146,0.4611377716064453,0.12810774147510529,0.19786997139453888,0.47473642230033875,0.1809994876384735
awarded,0.0973663404583931,0.11034096777439117,0.2630610167980194,0.6073490381240845,0.20935551822185516,0.16884075105190277,0.1816197633743286,0.24971646070480347,0.13331612944602966,0.22917822003364563,0.19006186723709106,0.09553831815719604,0.20351465046405792,0.24971646070480347,0.1121845543384552,0.1431703418493271
all,0.41981086134910583,0.21204189956188202,0.42798417806625366,0.19282208383083344,0.33943864703178406,0.17001275718212128,0.3213675916194916,0.4860881567001343,0.23861883580684662,0.3698336184024811,0.16266945004463196,0.20075727999210358,0.4542157053947449,0.4860881567001343,0.15991857647895813,0.29575422406196594
32,-0.003086621640250087,0.006146141327917576,-0.06897011399269104,0.019405243918299675,-0.016982844099402428,0.07457283139228821,-0.02607845328748226,-0.06675421446561813,0.0944627895951271,0.03363320603966713,0.1527744084596634,0.02269413135945797,-0.05431829392910004,-0.06675421446561813,0.05604800954461098,0.04494665935635567
of,0.33290785551071167,0.18112817406654358,1.0,0.24696782231330872,0.2513895630836487,0.17935146391391754,0.33489471673965454,0.733189046382904,0.16999632120132446,0.2827862501144409,0.25362586975097656,0.21300287544727325,0.5116966962814331,0.733189046382904,0.18815091252326965,0.1826142966747284
these,0.4164220690727234,0.26445475220680237,0.42684608697891235,0.12272259593009949,0.38755595684051514,0.18966905772686005,0.3311072289943695,0.49086877703666687,0.200467050075531,0.34544891119003296,0.19518844783306122,0.20008286833763123,0.5314885973930359,0.49086877703666687,0.19515039026737213,0.2571668326854706
astronauts,0.1784883290529251,0.11992672830820084,0.16999632120132446,0.23810197412967682,0.16980773210525513,0.5660800933837891,0.1504540890455246,0.197182759642601,0.9999999403953552,0.2198854386806488,0.25240206718444824,0.543439507484436,0.20313000679016113,0.197182759642601,0.46789222955703735,0.15138289332389832
its,0.30393704771995544,0.11677329987287521,0.48690423369407654,0.10501810163259506,0.19922670722007751,0.15373986959457397,0.2611789107322693,0.559237003326416,0.13791292905807495,0.1326070874929428,0.11228989064693451,0.1449410319328308,0.3841775357723236,0.559237003326416,0.19286498427391052,0.15103481709957123
highest,0.19637788832187653,0.09751620888710022,0.3223685622215271,0.2858600318431854,0.12890996038913727,0.1364889144897461,0.14777447283267975,0.36945265531539917,0.09930331259965897,0.16480061411857605,0.15506981313228607,0.08772081881761551,0.22372882068157196,0.36945265531539917,0.08477379381656647,0.11527936160564423
honor,0.15029305219650269,0.09183304756879807,0.27187082171440125,0.600081205368042,0.2171061933040619,0.1648133397102356,0.16166439652442932,0.2633417248725891,0.1832597553730011,0.25787192583084106,0.22359582781791687,0.13395178318023682,0.18950335681438446,0.2633417248725891,0.17806419730186462,0.1187526285648346
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2681026756763458,0.3015086054801941,0.18665438890457153,0.2844066619873047,0.4933079481124878,0.23683924973011017,0.3365725874900818,0.2618711590766907,0.2285580337047577,0.6633074283599854,0.4933079481124878,0.18567080795764923,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2287520468235016,0.34736719727516174,0.19786997139453888,0.29086416959762573,1.0,0.197182759642601,0.3733934462070465,0.2620144784450531,0.24495907127857208,0.5171257257461548,1.0,0.23613092303276062,0.22068053483963013
distinguished,0.1610289216041565,0.10960910469293594,0.2957158386707306,0.4505101442337036,0.09719182550907135,0.1722920536994934,0.13931119441986084,0.23548999428749084,0.16464492678642273,0.1539963185787201,0.08725198358297348,0.06225314363837242,0.2505932152271271,0.23548999428749084,0.1304183453321457,0.08062640577554703
service,0.16857224702835083,0.1756446659564972,0.18425606191158295,0.29560062289237976,0.14130860567092896,0.22782686352729797,0.18328268826007843,0.22661015391349792,0.17107801139354706,0.21098247170448303,0.18299467861652374,0.15259906649589539,0.24532052874565125,0.22661015391349792,0.07750395685434341,0.1676298975944519
medal,0.13412535190582275,0.12825261056423187,0.24696782231330872,1.0,0.1891598105430603,0.18769383430480957,0.1284707486629486,0.2287520468235016,0.23810197412967682,0.1671089380979538,0.17099158465862274,0.15294259786605835,0.2169238030910492,0.2287520468235016,0.14038006961345673,0.10517196357250214
