,when,did,germanic,tribes,cross,the,rhine,to,migrate,?
germanic,0.20272000133991241,0.2060786336660385,1.0000001192092896,0.5284436941146851,0.22568824887275696,0.3006645441055298,0.49177953600883484,0.2573712468147278,0.26992908120155334,0.18380945920944214
tribes,0.14379605650901794,0.17429257929325104,0.5284436941146851,0.9999999403953552,0.12752299010753632,0.26830655336380005,0.2798510789871216,0.23350952565670013,0.3872136175632477,0.08824794739484787
crossed,0.2101871818304062,0.21648262441158295,0.28808027505874634,0.2812264859676361,0.5201024413108826,0.3004564642906189,0.25235623121261597,0.22881387174129486,0.27391862869262695,0.15642015635967255
the,0.5091903209686279,0.34736719727516174,0.3006645441055298,0.26830655336380005,0.25741100311279297,1.0,0.30735138058662415,0.535392165184021,0.23256927728652954,0.22068053483963013
rhine,0.13750529289245605,0.15695837140083313,0.49177953600883484,0.2798510789871216,0.1804124265909195,0.30735138058662415,1.0,0.1736302673816681,0.1455632746219635,0.13754533231258392
in,0.4431333839893341,0.2593238651752472,0.24217848479747772,0.19281157851219177,0.18247009813785553,0.6662389636039734,0.24648422002792358,0.45010748505592346,0.2098366916179657,0.20430970191955566
the,0.5091903209686279,0.34736719727516174,0.3006645441055298,0.26830655336380005,0.25741100311279297,1.0,0.30735138058662415,0.535392165184021,0.23256927728652954,0.22068053483963013
migration,0.21347808837890625,0.1215481087565422,0.2962830364704132,0.3601239323616028,0.17216120660305023,0.3215121030807495,0.1491709202528,0.2593892216682434,0.7848588228225708,0.1366364061832428
period,0.3356073200702667,0.1760309934616089,0.1907053142786026,0.10966859757900238,0.05892226845026016,0.3125074505805969,0.14820457994937897,0.24346192181110382,0.18952640891075134,0.18706195056438446
",",0.36674630641937256,0.3015086054801941,0.22153666615486145,0.19590550661087036,0.2534312307834625,0.4933079481124878,0.167837992310524,0.44245919585227966,0.21026313304901123,0.31091248989105225
by,0.4376842677593231,0.18574509024620056,0.2570464313030243,0.18261399865150452,0.20809641480445862,0.4408751428127289,0.18456800282001495,0.33534231781959534,0.08337973058223724,0.17966607213020325
the,0.5091903209686279,0.34736719727516174,0.3006645441055298,0.26830655336380005,0.25741100311279297,1.0,0.30735138058662415,0.535392165184021,0.23256927728652954,0.22068053483963013
5th,0.14061285555362701,0.10252652317285538,0.08932619541883469,0.028725640848279,0.14327891170978546,0.25751444697380066,0.14252839982509613,0.16695493459701538,0.0012072860263288021,0.042656198143959045
century,0.22992412745952606,0.2333737462759018,0.3033807873725891,0.21368655562400818,0.10779047012329102,0.3617299497127533,0.21836237609386444,0.20143604278564453,0.20416922867298126,0.1026201918721199
establishing,0.22652629017829895,0.19417203962802887,0.21219143271446228,0.2350296676158905,0.16743968427181244,0.3532279133796692,0.15612861514091492,0.2561188042163849,0.18173529207706451,0.1457604318857193
the,0.5091903209686279,0.34736719727516174,0.3006645441055298,0.26830655336380005,0.25741100311279297,1.0,0.30735138058662415,0.535392165184021,0.23256927728652954,0.22068053483963013
kingdoms,0.16656731069087982,0.19706082344055176,0.3995022177696228,0.45838356018066406,0.08806875348091125,0.28153273463249207,0.19060249626636505,0.19503483176231384,0.266760915517807,0.1562991738319397
of,0.3757161796092987,0.2513895630836487,0.27129584550857544,0.21502000093460083,0.2018742561340332,0.733189046382904,0.2548927664756775,0.41548454761505127,0.18236465752124786,0.1826142966747284
