,who,was,the,head,coach,of,the,broncos,in,super,bowl,xlviii,?
coincidentally,0.2911471426486969,0.32230478525161743,0.34046483039855957,0.1554790884256363,0.059641603380441666,0.20790183544158936,0.34046483039855957,0.18281444907188416,0.24270348250865936,0.23717789351940155,0.10638265311717987,0.20788520574569702,0.2744106352329254
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2711189091205597,0.2760384678840637,0.4946078956127167,0.4933079481124878,0.2558487057685852,0.5201468467712402,0.22322475910186768,0.1810409277677536,0.27717459201812744,0.31091248989105225
both,0.31663915514945984,0.2990766167640686,0.4931981563568115,0.16995544731616974,0.12942662835121155,0.3565710783004761,0.4931981563568115,0.22403506934642792,0.3960166871547699,0.20366154611110687,0.15468505024909973,0.21791844069957733,0.19455738365650177
teams,0.23560982942581177,0.1698075383901596,0.3164927661418915,0.18019908666610718,0.3642618954181671,0.27933305501937866,0.3164927661418915,0.4494050145149231,0.2639528214931488,0.26333683729171753,0.2752957046031952,0.3610173761844635,0.11150168627500534
were,0.3188014328479767,0.590133786201477,0.3906462490558624,0.17579707503318787,0.14813336730003357,0.34038281440734863,0.3906462490558624,0.21682508289813995,0.3815755248069763,0.18743500113487244,0.17085392773151398,0.2629554569721222,0.17890112102031708
coached,0.19960181415081024,0.2736053764820099,0.157488152384758,0.31693485379219055,0.8054948449134827,0.15794076025485992,0.157488152384758,0.4619109630584717,0.20446234941482544,0.17820677161216736,0.2819303572177887,0.26343676447868347,0.1018170416355133
by,0.39727845788002014,0.4752357602119446,0.4408751428127289,0.20694006979465485,0.1326991617679596,0.3646814823150635,0.4408751428127289,0.11333504319190979,0.370934396982193,0.15233319997787476,0.12992306053638458,0.18175390362739563,0.17966607213020325
john,0.30388808250427246,0.2875721752643585,0.2230520099401474,0.15809836983680725,0.19683262705802917,0.2407056987285614,0.2230520099401474,0.2301175743341446,0.22177861630916595,0.1567493975162506,0.19344750046730042,0.1878216713666916,0.13162356615066528
fox,0.20670369267463684,0.18574436008930206,0.24760441482067108,0.07893308252096176,0.17076337337493896,0.13095848262310028,0.24760441482067108,0.3150620460510254,0.22528515756130219,0.17024748027324677,0.17459118366241455,0.180196151137352,0.1670110523700714
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.21927717328071594,0.1651318073272705,0.5696388483047485,0.6662389636039734,0.20316283404827118,1.0,0.18576006591320038,0.17236235737800598,0.2246338427066803,0.20430970191955566
their,0.3767721951007843,0.2396296262741089,0.516537070274353,0.19489040970802307,0.14400330185890198,0.4329940676689148,0.516537070274353,0.2565864324569702,0.34976133704185486,0.14342328906059265,0.1663845032453537,0.16128341853618622,0.1898253709077835
last,0.30598369240760803,0.32424551248550415,0.3698786795139313,0.14864258468151093,0.2016354352235794,0.3052992522716522,0.3698786795139313,0.14458541572093964,0.30714505910873413,0.17231976985931396,0.20327796041965485,0.23626413941383362,0.22371746599674225
super,0.1819351613521576,0.21420986950397491,0.21959073841571808,0.10849252343177795,0.14526855945587158,0.14718765020370483,0.21959073841571808,0.36141330003738403,0.18576006591320038,1.0000001192092896,0.4848237931728363,0.5269481539726257,0.166326642036438
bowl,0.09189514070749283,0.21915455162525177,0.21576224267482758,0.1580892950296402,0.2445603609085083,0.2243070751428604,0.21576224267482758,0.4351775348186493,0.17236235737800598,0.4848237931728363,1.0,0.5582984089851379,0.21118052303791046
appearance,0.18138431012630463,0.2275954782962799,0.2678116261959076,0.14661593735218048,0.1279672533273697,0.18182265758514404,0.2678116261959076,0.21277497708797455,0.26000332832336426,0.2683286964893341,0.22287850081920624,0.20089268684387207,0.17315366864204407
prior,0.21688687801361084,0.29096508026123047,0.33782097697257996,0.1638084203004837,0.1211300939321518,0.3183474540710449,0.33782097697257996,0.20910662412643433,0.24521231651306152,0.22880366444587708,0.22557669878005981,0.20661744475364685,0.16978254914283752
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.2177244871854782,0.19063067436218262,0.41548454761505127,0.535392165184021,0.23674264550209045,0.45010748505592346,0.17783479392528534,0.16993016004562378,0.20520958304405212,0.29463258385658264
super,0.1819351613521576,0.21420986950397491,0.21959073841571808,0.10849252343177795,0.14526855945587158,0.14718765020370483,0.21959073841571808,0.36141330003738403,0.18576006591320038,1.0000001192092896,0.4848237931728363,0.5269481539726257,0.166326642036438
bowl,0.09189514070749283,0.21915455162525177,0.21576224267482758,0.1580892950296402,0.2445603609085083,0.2243070751428604,0.21576224267482758,0.4351775348186493,0.17236235737800598,0.4848237931728363,1.0,0.5582984089851379,0.21118052303791046
50,0.0322180911898613,-0.0011744623770937324,0.03602437674999237,0.03328836336731911,-0.01023964025080204,0.006577443331480026,0.03602437674999237,0.055216576904058456,0.021892361342906952,0.0833745002746582,0.005446359980851412,0.1264488399028778,0.030512850731611252
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.2515932321548462,0.20588655769824982,0.5352458953857422,0.5934505462646484,0.2612393796443939,0.5591574311256409,0.2757420241832733,0.21516893804073334,0.2677505910396576,0.4130953550338745
