,who,was,the,duke,in,the,battle,of,hastings,?
norman,0.18241798877716064,0.21643765270709991,0.23459704220294952,0.2651371955871582,0.17613162100315094,0.23459704220294952,0.1736670881509781,0.15827171504497528,0.3903515040874481,0.12243545055389404
adventurers,0.3213779032230377,0.18120542168617249,0.24283678829669952,0.18046048283576965,0.14568714797496796,0.24283678829669952,0.25873181223869324,0.24455447494983673,0.16608883440494537,0.1647975891828537
founded,0.2723641097545624,0.36917948722839355,0.2840350568294525,0.21596385538578033,0.24877111613750458,0.2840350568294525,0.12273065745830536,0.24571022391319275,0.1938948780298233,0.09119737893342972
the,0.3733934462070465,0.48711544275283813,1.0,0.218814879655838,0.6662389636039734,1.0,0.2820790410041809,0.733189046382904,0.29055723547935486,0.22068053483963013
kingdom,0.15265370905399323,0.27756404876708984,0.3143408000469208,0.2567547559738159,0.28265801072120667,0.3143408000469208,0.19086787104606628,0.3218171298503876,0.2500090003013611,0.12927088141441345
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.26720118522644043,0.5696388483047485,0.733189046382904,0.2291749268770218,1.0,0.27719053626060486,0.1826142966747284
sicily,0.18931278586387634,0.1847773641347885,0.19926249980926514,0.32739678025245667,0.19633294641971588,0.19926249980926514,0.30635735392570496,0.24033278226852417,0.19624905288219452,0.18028976023197174
under,0.2962189018726349,0.2672741413116455,0.3348022699356079,0.21427011489868164,0.2535393238067627,0.3348022699356079,0.1358146071434021,0.32766106724739075,0.16266222298145294,0.18233340978622437
roger,0.252828449010849,0.26313790678977966,0.1998666524887085,0.30492740869522095,0.16691862046718597,0.1998666524887085,0.20577016472816467,0.19189049303531647,0.25544261932373047,0.0969553217291832
ii,0.20800143480300903,0.25630512833595276,0.2631464898586273,0.3410152196884155,0.21453368663787842,0.2631464898586273,0.2661164104938507,0.2844806909561157,0.16742321848869324,0.11928234249353409
after,0.32549580931663513,0.49306565523147583,0.4565047025680542,0.16564950346946716,0.44050168991088867,0.4565047025680542,0.23362083733081818,0.3867455720901489,0.2524500787258148,0.16608688235282898
conquering,0.2692950665950775,0.25261837244033813,0.37138304114341736,0.28520750999450684,0.2636781334877014,0.37138304114341736,0.3707774877548218,0.3325044810771942,0.28774726390838623,0.16821224987506866
southern,0.1828710436820984,0.23717372119426727,0.3282862603664398,0.12189770489931107,0.3190481662750244,0.3282862603664398,0.1412094533443451,0.31933003664016724,0.18809238076210022,0.11225555837154388
italy,0.17201180756092072,0.26177310943603516,0.2633645832538605,0.25867241621017456,0.3334544897079468,0.2633645832538605,0.13902141153812408,0.2844046950340271,0.13853798806667328,0.11567100137472153
on,0.2340552806854248,0.3909217119216919,0.5107308030128479,0.20079928636550903,0.46853652596473694,0.5107308030128479,0.19314859807491302,0.3966929316520691,0.2714102864265442,0.2714994251728058
the,0.3733934462070465,0.48711544275283813,1.0,0.218814879655838,0.6662389636039734,1.0,0.2820790410041809,0.733189046382904,0.29055723547935486,0.22068053483963013
saracens,0.26188918948173523,0.24976719915866852,0.3275236487388611,0.3113051652908325,0.25983816385269165,0.3275236487388611,0.36477717757225037,0.24862641096115112,0.3107053339481354,0.0723515972495079
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.22466638684272766,0.4954058527946472,0.5171257257461548,0.15482768416404724,0.5116966962814331,0.2896152138710022,0.20544172823429108
byzantines,0.20538587868213654,0.1420312076807022,0.23397722840309143,0.24136359989643097,0.13357563316822052,0.23397722840309143,0.2800472378730774,0.2067587524652481,0.1988053321838379,0.20420999825000763
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.3059324622154236,0.5201468467712402,0.4933079481124878,0.23037992417812347,0.4946078956127167,0.3139784038066864,0.31091248989105225
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.22466638684272766,0.4954058527946472,0.5171257257461548,0.15482768416404724,0.5116966962814331,0.2896152138710022,0.20544172823429108
an,0.2848317325115204,0.3694365322589874,0.4207492768764496,0.16680851578712463,0.2605783939361572,0.4207492768764496,0.10468798875808716,0.32280945777893066,0.16977262496948242,0.19793890416622162
expedition,0.26266250014305115,0.2416619211435318,0.26213887333869934,0.2285669445991516,0.19481515884399414,0.26213887333869934,0.2515210211277008,0.18468376994132996,0.18229509890079498,0.10355690121650696
on,0.2340552806854248,0.3909217119216919,0.5107308030128479,0.20079928636550903,0.46853652596473694,0.5107308030128479,0.19314859807491302,0.3966929316520691,0.2714102864265442,0.2714994251728058
behalf,0.358695387840271,0.2578688859939575,0.29712867736816406,0.12948067486286163,0.22399160265922546,0.29712867736816406,0.16085676848888397,0.1939983069896698,0.20588484406471252,0.15256446599960327
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.26720118522644043,0.5696388483047485,0.733189046382904,0.2291749268770218,1.0,0.27719053626060486,0.1826142966747284
their,0.3767721951007843,0.2396296262741089,0.516537070274353,0.1794123649597168,0.34976133704185486,0.516537070274353,0.12281665951013565,0.4329940676689148,0.17455409467220306,0.1898253709077835
duke,0.20138677954673767,0.23636797070503235,0.218814879655838,0.9999999403953552,0.2125099152326584,0.218814879655838,0.22240805625915527,0.26720118522644043,0.2744809687137604,0.13699419796466827
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.3059324622154236,0.5201468467712402,0.4933079481124878,0.23037992417812347,0.4946078956127167,0.3139784038066864,0.31091248989105225
william,0.32068803906440735,0.28444796800613403,0.21537061035633087,0.3362674117088318,0.21605195105075836,0.21537061035633087,0.1573285460472107,0.20272590219974518,0.4254955053329468,0.14462219178676605
the,0.3733934462070465,0.48711544275283813,1.0,0.218814879655838,0.6662389636039734,1.0,0.2820790410041809,0.733189046382904,0.29055723547935486,0.22068053483963013
conqueror,0.2574475109577179,0.2757565677165985,0.3065539300441742,0.4119105935096741,0.22143715620040894,0.3065539300441742,0.3549564480781555,0.27546966075897217,0.35109761357307434,0.16424570977687836
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.3059324622154236,0.5201468467712402,0.4933079481124878,0.23037992417812347,0.4946078956127167,0.3139784038066864,0.31091248989105225
led,0.2450801581144333,0.34443995356559753,0.3267505168914795,0.17956583201885223,0.2990247309207916,0.3267505168914795,0.2064233124256134,0.32918456196784973,0.2045639604330063,0.09273858368396759
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.22493401169776917,0.45010748505592346,0.535392165184021,0.17405389249324799,0.41548454761505127,0.20888087153434753,0.29463258385658264
the,0.3733934462070465,0.48711544275283813,1.0,0.218814879655838,0.6662389636039734,1.0,0.2820790410041809,0.733189046382904,0.29055723547935486,0.22068053483963013
norman,0.18241798877716064,0.21643765270709991,0.23459704220294952,0.2651371955871582,0.17613162100315094,0.23459704220294952,0.1736670881509781,0.15827171504497528,0.3903515040874481,0.12243545055389404
conquest,0.17077717185020447,0.26261669397354126,0.3181619346141815,0.300493985414505,0.2541567385196686,0.3181619346141815,0.3601979911327362,0.27723097801208496,0.298327773809433,0.12928934395313263
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.26720118522644043,0.5696388483047485,0.733189046382904,0.2291749268770218,1.0,0.27719053626060486,0.1826142966747284
england,0.23733465373516083,0.2656741440296173,0.28280043601989746,0.26331794261932373,0.33311840891838074,0.28280043601989746,0.18457520008087158,0.24624483287334442,0.38121750950813293,0.13436897099018097
at,0.22096660733222961,0.36707764863967896,0.457212895154953,0.18796756863594055,0.4374977946281433,0.457212895154953,0.23658646643161774,0.42558613419532776,0.3144260048866272,0.21978627145290375
the,0.3733934462070465,0.48711544275283813,1.0,0.218814879655838,0.6662389636039734,1.0,0.2820790410041809,0.733189046382904,0.29055723547935486,0.22068053483963013
battle,0.16377700865268707,0.23319749534130096,0.2820790410041809,0.22240805625915527,0.24353940784931183,0.2820790410041809,1.0000001192092896,0.2291749268770218,0.3427681028842926,0.1680624783039093
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.26720118522644043,0.5696388483047485,0.733189046382904,0.2291749268770218,1.0,0.27719053626060486,0.1826142966747284
hastings,0.16425882279872894,0.3080945611000061,0.29055723547935486,0.2744809687137604,0.30078795552253723,0.29055723547935486,0.3427681028842926,0.27719053626060486,1.0,0.12590168416500092
