,what,does,the,original,manuscript,show,?
the,0.42745697498321533,0.35928019881248474,1.0,0.4037000238895416,0.2120380848646164,0.319829523563385,0.22068053483963013
extant,0.1274559199810028,0.14437246322631836,0.21168576180934906,0.20046856999397278,0.3787238895893097,0.12387724965810776,0.14599014818668365
manuscript,0.17996065318584442,0.14863507449626923,0.2120380848646164,0.3255578279495239,1.0,0.08608123660087585,0.1704554408788681
shows,0.30282244086265564,0.3030276298522949,0.36348509788513184,0.2567359209060669,0.1434652954339981,0.6561359167098999,0.2040930688381195
multiple,0.19839626550674438,0.16529619693756104,0.20022359490394592,0.15092992782592773,0.06343792378902435,0.21048372983932495,0.1591399908065796
revisions,0.2979767918586731,0.2651166319847107,0.23530150949954987,0.28777962923049927,0.31651100516319275,0.2287016063928604,0.3550954759120941
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.23508994281291962,0.16609624028205872,0.31928569078445435,0.31091248989105225
demonstrating,0.2377135157585144,0.2333829700946808,0.28351321816444397,0.06312667578458786,0.09173627197742462,0.3050543963909149,0.16282391548156738
luther,0.2134782373905182,0.14081993699073792,0.1759674996137619,0.18603503704071045,0.22947494685649872,0.1266140192747116,0.1732746809720993
's,0.02692362666130066,-0.02895052544772625,-0.01540423184633255,0.0564689077436924,0.018831321969628334,6.513196422019973e-05,-0.023395681753754616
concern,0.3580206632614136,0.23235267400741577,0.23735320568084717,0.10416723042726517,0.08124451339244843,0.1502121388912201,0.3455961048603058
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.30182456970214844,0.171523317694664,0.29833272099494934,0.29463258385658264
clarify,0.5025452971458435,0.2813769280910492,0.24254068732261658,0.2463560700416565,0.16051983833312988,0.24554085731506348,0.502419114112854
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.29575109481811523,0.18438157439231873,0.3455478549003601,0.20544172823429108
strengthen,0.23504552245140076,0.21554306149482727,0.2467898279428482,0.07845507562160492,0.06962478905916214,0.1554790735244751,0.11156164109706879
the,0.42745697498321533,0.35928019881248474,1.0,0.4037000238895416,0.2120380848646164,0.319829523563385,0.22068053483963013
text,0.2818579077720642,0.166338711977005,0.23968088626861572,0.26224109530448914,0.35155630111694336,0.16713745892047882,0.263901948928833
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.29575109481811523,0.18438157439231873,0.3455478549003601,0.20544172823429108
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.30182456970214844,0.171523317694664,0.29833272099494934,0.29463258385658264
provide,0.27049049735069275,0.3120734691619873,0.26373472809791565,0.2134219855070114,0.12445257604122162,0.2847965359687805,0.22704634070396423
an,0.2821882665157318,0.29477936029434204,0.4207492768764496,0.21953903138637543,0.07430097460746765,0.23366062343120575,0.19793890416622162
appropriately,0.34089675545692444,0.2861153185367584,0.26580265164375305,0.16931328177452087,0.10575897246599197,0.20902368426322937,0.29228439927101135
prayerful,0.2238820344209671,0.16354328393936157,0.25091591477394104,0.060857273638248444,0.23829278349876404,0.18414852023124695,0.20937877893447876
tune,0.270632266998291,0.14669109880924225,0.22937244176864624,0.18398034572601318,0.21278175711631775,0.2169926017522812,0.19689199328422546
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.275844931602478,0.2235376536846161,0.3016606271266937,0.4130953550338745
