,when,was,john,gallagher,born,?
during,0.46721696853637695,0.4470829963684082,0.18742454051971436,0.2541794180870056,0.18425995111465454,0.1325719803571701
the,0.5091903209686279,0.48711544275283813,0.2230520099401474,0.2696032226085663,0.19202874600887299,0.22068053483963013
20th,0.19096055626869202,0.258506178855896,0.2579287886619568,0.2242273986339569,0.11907747387886047,0.14985637366771698
century,0.22992412745952606,0.3521432876586914,0.2019389271736145,0.1046004593372345,0.20461706817150116,0.1026201918721199
",",0.36674630641937256,0.45456063747406006,0.23961079120635986,0.31891271471977234,0.37898433208465576,0.31091248989105225
historians,0.1875353455543518,0.26714372634887695,0.17479631304740906,0.1715622842311859,0.1655852198600769,0.15053395926952362
john,0.20069552958011627,0.2875721752643585,1.0000001192092896,0.33641165494918823,0.2705773711204529,0.13162356615066528
gallagher,0.27233070135116577,0.3145783245563507,0.33641165494918823,1.0,0.2628026604652405,0.1757124811410904
(,0.2459595799446106,0.2980341613292694,0.21336311101913452,0.1970507800579071,0.33313798904418945,0.40561532974243164
1919–1980,0.049045514315366745,-0.0626945048570633,-0.07292274385690689,0.05207584425806999,-0.019046632573008537,0.052785806357860565
),0.2538422644138336,0.3267642855644226,0.22096103429794312,0.20586860179901123,0.3665171265602112,0.42300865054130554
and,0.4716290831565857,0.3740963041782379,0.21634717285633087,0.3154565095901489,0.25002726912498474,0.20544172823429108
ronald,0.14409884810447693,0.2985761761665344,0.352937787771225,0.28451189398765564,0.24770760536193848,0.08087296038866043
robinson,0.21504518389701843,0.24554146826267242,0.29398757219314575,0.3184276223182678,0.23649579286575317,0.18648536503314972
(,0.2459595799446106,0.2980341613292694,0.21336311101913452,0.1970507800579071,0.33313798904418945,0.40561532974243164
1920–1999,0.1533607393503189,0.16264663636684418,0.0855020135641098,0.07775223255157471,0.0763266533613205,0.2685149908065796
),0.2538422644138336,0.3267642855644226,0.22096103429794312,0.20586860179901123,0.3665171265602112,0.42300865054130554
constructed,0.19367054104804993,0.2546897530555725,0.12191977351903915,0.07282616943120956,0.16370074450969696,0.12459525465965271
a,0.44397395849227905,0.4508470594882965,0.20638683438301086,0.20006519556045532,0.22920024394989014,0.23916715383529663
framework,0.1590830683708191,0.11311453580856323,0.10174200683832169,0.13914532959461212,0.06239999830722809,0.21574316918849945
for,0.43402108550071716,0.3863949179649353,0.22649751603603363,0.2820890247821808,0.23335127532482147,0.264628142118454
understanding,0.3055726885795593,0.19648301601409912,0.15891911089420319,0.2046581506729126,0.1492452621459961,0.3107462525367737
european,0.1717725396156311,0.22463937103748322,0.15537840127944946,0.1228615790605545,0.12092244625091553,0.14560863375663757
imperialism,0.18709999322891235,0.2349989414215088,0.22152653336524963,0.10992389172315598,0.1736939698457718,0.14998586475849152
.,0.475719153881073,0.40146201848983765,0.26428887248039246,0.26167556643486023,0.2350279539823532,0.4130953550338745
