,what,offers,a,conceptual,definition,of,force,?
through,0.23167094588279724,0.19964489340782166,0.3399752974510193,0.17770913243293762,0.12075835466384888,0.3647414743900299,0.20056840777397156,0.16913433372974396
experimentation,0.30088505148887634,0.235432431101799,0.29457908868789673,0.403752863407135,0.3047803044319153,0.17982646822929382,0.20233838260173798,0.16448593139648438
",",0.3087472915649414,0.23519472777843475,0.427140474319458,0.262398362159729,0.24771931767463684,0.4946078956127167,0.22091743350028992,0.31091248989105225
it,0.45803478360176086,0.15244778990745544,0.5452592968940735,0.22440746426582336,0.32918065786361694,0.38761502504348755,0.22565218806266785,0.25732165575027466
is,0.28837618231773376,0.2611624300479889,0.658733606338501,0.29821962118148804,0.29006320238113403,0.4854315221309662,0.22036980092525482,0.22961433231830597
determined,0.2784222662448883,0.17110025882720947,0.3001842796802521,0.2566066384315491,0.316292405128479,0.3115927577018738,0.2396283745765686,0.19379007816314697
that,0.6297725439071655,0.23621605336666107,0.47537946701049805,0.30542057752609253,0.36495500802993774,0.41498205065727234,0.26810982823371887,0.32716336846351624
laboratory,0.20190474390983582,0.17561222612857819,0.2253785878419876,0.25616392493247986,0.20753099024295807,0.23493865132331848,0.15673159062862396,0.07445509731769562
measurements,0.2814480662345886,0.09856054186820984,0.25912022590637207,0.32539206743240356,0.4269995391368866,0.2575634717941284,0.21147915720939636,0.18784773349761963
of,0.33290785551071167,0.22654089331626892,0.5052502155303955,0.2968498170375824,0.24912455677986145,1.0,0.27094775438308716,0.1826142966747284
forces,0.2112482488155365,0.16454674303531647,0.17848460376262665,0.1848372519016266,0.14241556823253632,0.3090144991874695,0.6498695015907288,0.16984491050243378
are,0.29724663496017456,0.25570622086524963,0.265255331993103,0.17584210634231567,0.2561403512954712,0.39081433415412903,0.12981104850769043,0.24591213464736938
fully,0.3561125099658966,0.1821085512638092,0.25668543577194214,0.25269976258277893,0.24842901527881622,0.1846403181552887,0.1231432780623436,0.2089291661977768
consistent,0.3694326877593994,0.22358377277851105,0.2838171720504761,0.3772660195827484,0.42535924911499023,0.3003144860267639,0.1442243456840515,0.2528949975967407
with,0.2464839518070221,0.2879253625869751,0.3783375024795532,0.19827790558338165,0.16454635560512543,0.41827285289764404,0.15703244507312775,0.2433311939239502
the,0.42745697498321533,0.21389935910701752,0.5829201340675354,0.23495200276374817,0.23176956176757812,0.733189046382904,0.2800885736942291,0.22068053483963013
conceptual,0.3068573474884033,0.24285320937633514,0.3012780249118805,0.9999999403953552,0.4343862533569336,0.2968498170375824,0.1581677347421646,0.1706208884716034
definition,0.330344021320343,0.14934958517551422,0.2941339910030365,0.4343862533569336,1.0,0.24912455677986145,0.19155029952526093,0.2796523869037628
of,0.33290785551071167,0.22654089331626892,0.5052502155303955,0.2968498170375824,0.24912455677986145,1.0,0.27094775438308716,0.1826142966747284
force,0.16915984451770782,0.09910585731267929,0.2451154738664627,0.1581677347421646,0.19155029952526093,0.27094775438308716,1.0000001192092896,0.1650998443365097
offered,0.1662205457687378,0.6001739501953125,0.2915024757385254,0.162156343460083,0.18025869131088257,0.2674071192741394,0.1651451140642166,0.22244536876678467
by,0.2455483376979828,0.16649605333805084,0.32094135880470276,0.24774406850337982,0.11182640492916107,0.3646814823150635,0.24997374415397644,0.17966607213020325
newtonian,0.2607386112213135,0.0949612706899643,0.25690916180610657,0.3361487090587616,0.342598557472229,0.21370476484298706,0.2523835301399231,0.16408871114253998
mechanics,0.3135516941547394,0.12444628030061722,0.2336277961730957,0.3799493908882141,0.2983729839324951,0.27608323097229004,0.2976546287536621,0.15634238719940186
.,0.3567904531955719,0.1635449081659317,0.50484299659729,0.2043827474117279,0.2228187918663025,0.5352458953857422,0.2783275842666626,0.4130953550338745
