,what,do,petrologists,use,electron,microprobes,in,the,laboratory,for,?
in,0.30808621644973755,0.23402775824069977,0.2137315720319748,0.2715643048286438,0.16054019331932068,0.2501528561115265,1.0,0.6662389636039734,0.2533527612686157,0.4322226941585541,0.20430970191955566
addition,0.20643717050552368,0.2532966136932373,0.1608925610780716,0.3171223998069763,0.27802109718322754,0.23053988814353943,0.3033084571361542,0.32955414056777954,0.16641765832901,0.39286839962005615,0.19187232851982117
to,0.455847829580307,0.38876664638519287,0.23930101096630096,0.47261837124824524,0.24389632046222687,0.2972756624221802,0.45010748505592346,0.535392165184021,0.20453277230262756,0.4451248347759247,0.29463258385658264
identifying,0.26957276463508606,0.2497621476650238,0.31766971945762634,0.320580393075943,0.18414556980133057,0.33330515027046204,0.166841521859169,0.2894144356250763,0.23986566066741943,0.28956499695777893,0.2562958002090454
rocks,0.24802041053771973,0.2351894974708557,0.35924041271209717,0.19122737646102905,0.2341967672109604,0.37531551718711853,0.23642492294311523,0.24413059651851654,0.18100614845752716,0.16357912123203278,0.17394492030143738
in,0.30808621644973755,0.23402775824069977,0.2137315720319748,0.2715643048286438,0.16054019331932068,0.2501528561115265,1.0,0.6662389636039734,0.2533527612686157,0.4322226941585541,0.20430970191955566
the,0.42745697498321533,0.30239659547805786,0.2966664731502533,0.34342584013938904,0.20653016865253448,0.3438893258571625,0.6662389636039734,1.0,0.19762322306632996,0.4739971458911896,0.22068053483963013
field,0.1825202852487564,0.1733429878950119,0.1580173522233963,0.21006321907043457,0.28046467900276184,0.23839204013347626,0.20553018152713776,0.2105809599161148,0.2154182493686676,0.24342265725135803,0.11279727518558502
",",0.3087472915649414,0.3283645510673523,0.2381996214389801,0.3276674151420593,0.17064714431762695,0.28008270263671875,0.5201468467712402,0.4933079481124878,0.23480524122714996,0.4464869201183319,0.31091248989105225
petrologists,0.3285647928714752,0.31885474920272827,1.0000001192092896,0.2926344871520996,0.21395103633403778,0.3568260967731476,0.2137315720319748,0.2966664731502533,0.28643304109573364,0.2068820297718048,0.2127402275800705
identify,0.27000585198402405,0.2768581807613373,0.318571001291275,0.36183157563209534,0.16142389178276062,0.2802872955799103,0.1658037155866623,0.2653810381889343,0.19312477111816406,0.2645174264907837,0.20891983807086945
rock,0.1923677921295166,0.14039506018161774,0.2001747339963913,0.20012177526950836,0.1515587419271469,0.28331491351127625,0.19663549959659576,0.23786304891109467,0.09899430721998215,0.20388811826705933,0.13172835111618042
samples,0.23286624252796173,0.1807251125574112,0.23677071928977966,0.1927196979522705,0.2533298432826996,0.405189573764801,0.13152313232421875,0.2069351226091385,0.3049706816673279,0.23178832232952118,0.1777840405702591
in,0.30808621644973755,0.23402775824069977,0.2137315720319748,0.2715643048286438,0.16054019331932068,0.2501528561115265,1.0,0.6662389636039734,0.2533527612686157,0.4322226941585541,0.20430970191955566
the,0.42745697498321533,0.30239659547805786,0.2966664731502533,0.34342584013938904,0.20653016865253448,0.3438893258571625,0.6662389636039734,1.0,0.19762322306632996,0.4739971458911896,0.22068053483963013
laboratory,0.20190474390983582,0.10839957743883133,0.28643304109573364,0.17525841295719147,0.29957497119903564,0.40918251872062683,0.2533527612686157,0.19762322306632996,1.0,0.26230254769325256,0.07445509731769562
.,0.3567904531955719,0.3613996207714081,0.22133567929267883,0.3711656630039215,0.2088456153869629,0.26651301980018616,0.5591574311256409,0.5934505462646484,0.21163994073867798,0.4726039469242096,0.4130953550338745
,what,do,petrologists,use,electron,microprobes,in,the,laboratory,for,?
two,0.23363454639911652,0.22086432576179504,0.22583185136318207,0.19661611318588257,0.24031871557235718,0.2664289176464081,0.36463531851768494,0.43858039379119873,0.12476983666419983,0.34734001755714417,0.19645625352859497
