,what,was,the,last,super,bowl,the,broncos,participated,in,?
the,0.42745697498321533,0.48711544275283813,1.0,0.3698786795139313,0.21959073841571808,0.21576224267482758,1.0,0.25985947251319885,0.2627280354499817,0.6662389636039734,0.22068053483963013
broncos,0.1787765771150589,0.23574475944042206,0.25985947251319885,0.14458541572093964,0.36141330003738403,0.4351775348186493,0.25985947251319885,1.0000001192092896,0.15619775652885437,0.20316283404827118,0.18377114832401276
made,0.23419176042079926,0.3433256447315216,0.3885267674922943,0.2141057401895523,0.14032290875911713,0.206265389919281,0.3885267674922943,0.19829139113426208,0.16933104395866394,0.25271502137184143,0.17218779027462006
their,0.35142919421195984,0.2396296262741089,0.516537070274353,0.17057138681411743,0.14342328906059265,0.1663845032453537,0.516537070274353,0.2565864324569702,0.17545288801193237,0.34976133704185486,0.1898253709077835
second,0.19948028028011322,0.3858029544353485,0.4620301127433777,0.42563509941101074,0.25671592354774475,0.20302696526050568,0.4620301127433777,0.22586089372634888,0.25668439269065857,0.34510284662246704,0.17239587008953094
super,0.13651713728904724,0.21420986950397491,0.21959073841571808,0.17231976985931396,1.0000001192092896,0.4848237931728363,0.21959073841571808,0.36141330003738403,0.17208342254161835,0.18576006591320038,0.166326642036438
bowl,0.15942467749118805,0.21915455162525177,0.21576224267482758,0.20327796041965485,0.4848237931728363,1.0,0.21576224267482758,0.4351775348186493,0.10839058458805084,0.17236235737800598,0.21118052303791046
appearance,0.17546585202217102,0.2275954782962799,0.2678116261959076,0.24309749901294708,0.2683286964893341,0.22287850081920624,0.2678116261959076,0.21277497708797455,0.21243895590305328,0.26000332832336426,0.17315366864204407
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.30714505910873413,0.18576006591320038,0.17236235737800598,0.6662389636039734,0.20316283404827118,0.33115553855895996,1.0,0.20430970191955566
three,0.24888746440410614,0.2748996615409851,0.43452659249305725,0.23876327276229858,0.14228717982769012,0.18332304060459137,0.43452659249305725,0.23654358088970184,0.20521873235702515,0.34828072786331177,0.20928427577018738
years,0.1981470286846161,0.35855233669281006,0.2912273406982422,0.36042001843452454,0.15193983912467957,0.221580371260643,0.2912273406982422,0.24300086498260498,0.20484520494937897,0.33554986119270325,0.1914375126361847
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.29026782512664795,0.22322475910186768,0.1810409277677536,0.4933079481124878,0.2558487057685852,0.2820955812931061,0.5201468467712402,0.31091248989105225
having,0.34064167737960815,0.2792723774909973,0.3821379244327545,0.14875483512878418,0.1636309027671814,0.1432962417602539,0.3821379244327545,0.17299437522888184,0.27620214223861694,0.32022708654403687,0.22418256103992462
reached,0.20202487707138062,0.3110939562320709,0.29860952496528625,0.2326253354549408,0.17897918820381165,0.11242140829563141,0.29860952496528625,0.18486598134040833,0.2561768591403961,0.24389809370040894,0.1518019139766693
