,how,recently,has,the,homes,in,fresno,been,restored,?
the,0.33890387415885925,0.2774651348590851,0.4177538752555847,1.0,0.22941356897354126,0.6662389636039734,0.22571885585784912,0.3563927710056305,0.29931989312171936,0.22068053483963013
area,0.17030490934848785,0.20230735838413239,0.3084876537322998,0.37834644317626953,0.34835630655288696,0.33632898330688477,0.21332328021526337,0.25130510330200195,0.17892692983150482,0.12640461325645447
is,0.22544461488723755,0.3312858045101166,0.5668748617172241,0.5823672413825989,0.1548708975315094,0.5394441485404968,0.2127077877521515,0.39566612243652344,0.14326339960098267,0.22961433231830597
also,0.43506327271461487,0.4764266908168793,0.505894660949707,0.6021018624305725,0.253743439912796,0.5073733329772949,0.2253323197364807,0.46553757786750793,0.17372256517410278,0.21848613023757935
known,0.16194356977939606,0.22824813425540924,0.2451976239681244,0.3624623417854309,0.1414431929588318,0.32641831040382385,0.18501479923725128,0.2256493717432022,0.12707918882369995,0.18314571678638458
for,0.3308170735836029,0.35907360911369324,0.450642853975296,0.4739971458911896,0.223987877368927,0.4322226941585541,0.17504577338695526,0.39068686962127686,0.20781317353248596,0.264628142118454
its,0.22449488937854767,0.2573041021823883,0.4627293348312378,0.559237003326416,0.21904636919498444,0.3793783485889435,0.1913203001022339,0.2810076177120209,0.20502889156341553,0.15103481709957123
early,0.2415190190076828,0.29988279938697815,0.19481036067008972,0.34442198276519775,0.24938401579856873,0.34672921895980835,0.13687995076179504,0.38275954127311707,0.20914915204048157,0.15272949635982513
twentieth,0.19703109562397003,0.24101679027080536,0.15664346516132355,0.30029913783073425,0.27646592259407043,0.25349342823028564,0.13940846920013428,0.2904920279979706,0.12315551191568375,0.05639015510678291
century,0.1569085419178009,0.2545824348926544,0.2044479250907898,0.3617299497127533,0.23148690164089203,0.3174034655094147,0.13060958683490753,0.2718826234340668,0.2664586007595062,0.1026201918721199
homes,0.17951394617557526,0.2130546122789383,0.1647036075592041,0.22941356897354126,1.0,0.2459857165813446,0.25636863708496094,0.2550206482410431,0.1756376326084137,0.12707971036434174
",",0.22659391164779663,0.3094431459903717,0.3734780251979828,0.4933079481124878,0.2378510683774948,0.5201468467712402,0.2561432421207428,0.34873589873313904,0.24934202432632446,0.31091248989105225
many,0.4425291419029236,0.42942729592323303,0.4266262650489807,0.4335206151008606,0.3374091684818268,0.41474202275276184,0.1503066122531891,0.4963826537132263,0.23369015753269196,0.2124512493610382
of,0.2480744868516922,0.21953822672367096,0.3909035325050354,0.733189046382904,0.2122298777103424,0.5696388483047485,0.1875009983778,0.31685134768486023,0.2796242833137512,0.1826142966747284
which,0.4852597713470459,0.36012446880340576,0.4350704550743103,0.6521818041801453,0.2442801296710968,0.4840516746044159,0.14756552875041962,0.36993977427482605,0.24801455438137054,0.25814583897590637
have,0.4370637536048889,0.536590039730072,0.6353569626808167,0.40389683842658997,0.28429946303367615,0.36843645572662354,0.18168938159942627,0.6493861675262451,0.2564258277416229,0.32991164922714233
been,0.26456597447395325,0.6725438833236694,0.6162750124931335,0.3563927710056305,0.2550206482410431,0.3515113592147827,0.13149011135101318,0.9999998807907104,0.3374766409397125,0.24354910850524902
restored,0.15133339166641235,0.3419192135334015,0.20727768540382385,0.29931989312171936,0.1756376326084137,0.22816066443920135,0.1255602389574051,0.3374766409397125,1.0,0.1778445541858673
in,0.2601168751716614,0.32725074887275696,0.4173259735107422,0.6662389636039734,0.2459857165813446,1.0,0.26126348972320557,0.3515113592147827,0.22816066443920135,0.20430970191955566
recent,0.2783147990703583,0.6616826057434082,0.3722807466983795,0.31046223640441895,0.2320655733346939,0.2857761085033417,0.128650963306427,0.4627731740474701,0.25502559542655945,0.2544887959957123
decades,0.17778529226779938,0.37804603576660156,0.3538614511489868,0.3027496635913849,0.2358308732509613,0.3152613043785095,0.1835944652557373,0.3748503625392914,0.20336107909679413,0.06808225065469742
.,0.3287222981452942,0.2900089621543884,0.4105546176433563,0.5934505462646484,0.27827757596969604,0.5591574311256409,0.2480216920375824,0.33645182847976685,0.2842494547367096,0.4130953550338745
