,what,comic,book,series,did,abc,debut,in,2013-14,?
the,0.42745697498321533,0.17284736037254333,0.2652374505996704,0.31376904249191284,0.34736719727516174,0.2068762183189392,0.2226441204547882,0.6662389636039734,0.13526301085948944,0.22068053483963013
2013–14,0.02452688291668892,0.13925451040267944,0.10076502710580826,0.06178729608654976,-0.08611204475164413,0.01600622572004795,-0.07354308664798737,-0.10896475613117218,-0.02964317984879017,0.10449400544166565
season,0.12117787450551987,0.2110651135444641,0.19120363891124725,0.37080681324005127,0.19368280470371246,0.29887476563453674,0.31391671299934387,0.2184021919965744,0.11628139764070511,0.16793298721313477
was,0.22111038863658905,0.21511562168598175,0.24848085641860962,0.2261398285627365,0.41399896144866943,0.21565799415111542,0.2954440414905548,0.45514053106307983,0.10671990364789963,0.18412111699581146
a,0.3320399522781372,0.212051123380661,0.19186489284038544,0.23966510593891144,0.2552328109741211,0.21331243216991425,0.23467278480529785,0.539380669593811,0.054837219417095184,0.23916715383529663
slight,0.30592140555381775,0.049648553133010864,0.16272209584712982,0.06693772971630096,0.2644502520561218,0.04954688996076584,0.1437932550907135,0.23068667948246002,0.19875365495681763,0.20713375508785248
improvement,0.3392397165298462,0.13080760836601257,0.19464212656021118,0.18982911109924316,0.25637286901474,0.13134491443634033,0.19359463453292847,0.25706639885902405,0.08169127255678177,0.29089033603668213
for,0.3017193675041199,0.1750013679265976,0.22091296315193176,0.2715710699558258,0.318512886762619,0.22510288655757904,0.2246619164943695,0.4322226941585541,0.1273878514766693,0.264628142118454
abc,0.1317344456911087,0.21586357057094574,0.16368414461612701,0.38518208265304565,0.13353709876537323,1.0000001192092896,0.15660154819488525,0.1697147786617279,0.10942843556404114,0.19065172970294952
with,0.2464839518070221,0.1494913101196289,0.17745907604694366,0.17767351865768433,0.25472134351730347,0.17432008683681488,0.2036544531583786,0.4080928862094879,0.16682350635528564,0.2433311939239502
three,0.24888746440410614,0.14336425065994263,0.17197288572788239,0.2951010465621948,0.2043166607618332,0.15282940864562988,0.18480956554412842,0.34828072786331177,0.14934991300106049,0.20928427577018738
new,0.2130378633737564,0.16770322620868683,0.1658298671245575,0.19748656451702118,0.227974995970726,0.20663127303123474,0.22840984165668488,0.3758552670478821,0.2624801695346832,0.14782847464084625
hits,0.22194896638393402,0.14604908227920532,0.15865105390548706,0.1457337588071823,0.19305354356765747,0.1388423591852188,0.25339579582214355,0.18111614882946014,0.17289382219314575,0.18031644821166992
in,0.30808621644973755,0.17764465510845184,0.2527170181274414,0.2914260923862457,0.2593238651752472,0.1697147786617279,0.23145294189453125,1.0,0.2407332807779312,0.20430970191955566
the,0.42745697498321533,0.17284736037254333,0.2652374505996704,0.31376904249191284,0.34736719727516174,0.2068762183189392,0.2226441204547882,0.6662389636039734,0.13526301085948944,0.22068053483963013
goldbergs,0.24810288846492767,0.2738014757633209,0.24965636432170868,0.3208887577056885,0.19322790205478668,0.25749918818473816,0.2114700973033905,0.22726969420909882,0.10091050714254379,0.25426191091537476
",",0.3087472915649414,0.21469320356845856,0.23644568026065826,0.24060699343681335,0.3015086054801941,0.2097204476594925,0.2218245416879654,0.5201468467712402,0.305375874042511,0.31091248989105225
agents,0.15588855743408203,0.1411932110786438,0.12804675102233887,0.20078204572200775,0.19542205333709717,0.12124861776828766,0.14599178731441498,0.20007102191448212,0.1756802499294281,0.1518401801586151
of,0.33290785551071167,0.18539080023765564,0.22602593898773193,0.22268271446228027,0.2513895630836487,0.14607268571853638,0.12960465252399445,0.5696388483047485,0.18800032138824463,0.1826142966747284
s.h.i.e.l.d,0.29015639424324036,-0.08801958709955215,-0.09450249373912811,-0.09309128671884537,0.11067485809326172,-0.016257023438811302,-0.017741883173584938,-0.0029839107301086187,0.07040950655937195,0.23722855746746063
.,0.3567904531955719,0.16794690489768982,0.21435262262821198,0.3121925890445709,0.35288307070732117,0.2567209303379059,0.20454879105091095,0.5591574311256409,0.23303525149822235,0.4130953550338745
