,what,is,the,level,of,inequality,in,underdeveloped,countries,?
according,0.2776208221912384,0.2838992476463318,0.3202974498271942,0.11958116292953491,0.3307822346687317,0.26491740345954895,0.29259276390075684,0.2153577208518982,0.1977016180753708,0.21173474192619324
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.2976585030555725,0.41548454761505127,0.24361056089401245,0.45010748505592346,0.3533582091331482,0.3111797273159027,0.29463258385658264
kuznets,0.1295931190252304,0.17936952412128448,0.2102777063846588,0.13655886054039001,0.15314316749572754,0.14391092956066132,0.2006215751171112,0.24781130254268646,0.22968430817127228,0.19523082673549652
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.23317520320415497,0.4946078956127167,0.21822890639305115,0.5201468467712402,0.26517775654792786,0.2966555655002594,0.31091248989105225
countries,0.22319257259368896,0.254234254360199,0.33290645480155945,0.18990091979503632,0.2800094783306122,0.2820434868335724,0.3027990758419037,0.40100449323654175,0.9999999403953552,0.15128466486930847
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.23348768055438995,0.41827285289764404,0.2160445749759674,0.4080928862094879,0.3210684359073639,0.33792537450790405,0.2433311939239502
low,0.20743566751480103,0.19289205968379974,0.2544175982475281,0.3417852222919464,0.27171993255615234,0.24492861330509186,0.21458278596401215,0.3490317165851593,0.23098024725914001,0.10658930987119675
levels,0.21641245484352112,0.2141042947769165,0.286034494638443,0.7348478436470032,0.23668165504932404,0.24878159165382385,0.2418597936630249,0.30811890959739685,0.25373250246047974,0.1541307419538498
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.23504668474197388,1.0,0.27910974621772766,0.5696388483047485,0.30484285950660706,0.2800094783306122,0.1826142966747284
development,0.19014155864715576,0.2293442040681839,0.3362044394016266,0.2851983904838562,0.28700894117355347,0.312652587890625,0.2550492286682129,0.5407430529594421,0.2532161474227905,0.1211358830332756
have,0.39808809757232666,0.3613572418689728,0.40389683842658997,0.28482067584991455,0.3802283704280853,0.2617298364639282,0.36843645572662354,0.4347565770149231,0.3603367507457733,0.32991164922714233
relatively,0.24081343412399292,0.33787083625793457,0.33481109142303467,0.24016691744327545,0.2916591167449951,0.21849197149276733,0.2696114182472229,0.4508206844329834,0.23339614272117615,0.1281091868877411
equal,0.2397335022687912,0.20287640392780304,0.21154357492923737,0.21705733239650726,0.2787107825279236,0.5207482576370239,0.12870801985263824,0.2473663091659546,0.23252518475055695,0.15421567857265472
distributions,0.21797168254852295,0.2342766374349594,0.27318695187568665,0.1540117859840393,0.27513179183006287,0.32412371039390564,0.2387140542268753,0.3259022831916809,0.3289431929588318,0.16186746954917908
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.23504668474197388,1.0,0.27910974621772766,0.5696388483047485,0.30484285950660706,0.2800094783306122,0.1826142966747284
wealth,0.2415573000907898,0.19482117891311646,0.24999672174453735,0.17320621013641357,0.27235376834869385,0.41812294721603394,0.1835664063692093,0.3233810365200043,0.3400081396102905,0.1624586433172226
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.26056769490242004,0.5352458953857422,0.22563500702381134,0.5591574311256409,0.3132288455963135,0.27938392758369446,0.4130953550338745
