,who,was,the,game,'s,leading,rusher,?
sanders,0.2963277995586395,0.2800391614437103,0.2733713686466217,0.19155457615852356,0.046122629195451736,0.2154676914215088,0.19410820305347443,0.20881439745426178
was,0.3318818509578705,1.0000001192092896,0.48711544275283813,0.2568269371986389,0.008974763564765453,0.27386704087257385,0.27699869871139526,0.18412111699581146
his,0.44966956973075867,0.4405253231525421,0.4394008219242096,0.21079449355602264,0.047556519508361816,0.30295172333717346,0.31492742896080017,0.18075084686279297
top,0.170939639210701,0.1381647288799286,0.31754136085510254,0.17028358578681946,0.04869917780160904,0.2768573462963104,0.2495606243610382,0.17265194654464722
receiver,0.1811998039484024,0.18964196741580963,0.21850530803203583,0.2444303035736084,-0.06732934713363647,0.21834109723567963,0.2954486906528473,0.11587938666343689
with,0.3282766342163086,0.27411898970603943,0.4223487675189972,0.19394829869270325,-0.04624466598033905,0.2195664644241333,0.21990160644054413,0.2433311939239502
six,0.19475196301937103,0.3042767345905304,0.3614266812801361,0.21967187523841858,0.06576314568519592,0.20522336661815643,0.1840737760066986,0.15298804640769958
receptions,0.11577852070331573,0.15021640062332153,0.19359152019023895,0.19461007416248322,-0.05822821706533432,0.18485237658023834,0.3418812155723572,0.12913717329502106
for,0.37110671401023865,0.3863949179649353,0.4739971458911896,0.2608485519886017,-0.07241261005401611,0.3854183852672577,0.25463414192199707,0.264628142118454
83,0.028735611587762833,-0.02917989157140255,-0.01716534234583378,0.03321961686015129,0.006862151436507702,0.05584104359149933,0.0013386281207203865,0.020806502550840378
yards,0.13584628701210022,0.1823360025882721,0.16070343554019928,0.2516956329345703,0.0408332459628582,0.23055429756641388,0.4378136098384857,0.12453813850879669
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.2581658959388733,-0.003708066651597619,0.2186424434185028,0.2332548201084137,0.4130953550338745
