,which,pope,sought,to,undermine,luther,'s,theories,?
pope,0.19186033308506012,1.0,0.18843092024326324,0.25680112838745117,0.1972130835056305,0.27229586243629456,-0.04202478379011154,0.14807908236980438,0.25004681944847107
leo,0.11547452956438065,0.387607216835022,0.12800663709640503,0.16922390460968018,0.1130073070526123,0.21605272591114044,-0.043825503438711166,0.11421722918748856,0.14148910343647003
x,0.2352331578731537,0.2688843607902527,0.036072343587875366,0.21431612968444824,0.10206032544374466,0.22094453871250153,-0.11476266384124756,0.11916681379079819,0.23304535448551178
was,0.2830964922904968,0.260356068611145,0.2759144902229309,0.3636345863342285,0.1951339691877365,0.19185513257980347,0.008974763564765453,0.17534489929676056,0.18412111699581146
used,0.414506196975708,0.14173901081085205,0.34980738162994385,0.40058770775794983,0.23137690126895905,0.08111961930990219,0.00600846204906702,0.201459601521492,0.22430120408535004
to,0.5345056653022766,0.25680112838745117,0.3909280598163605,1.0,0.3702184855937958,0.18029534816741943,0.03782717138528824,0.21480143070220947,0.29463258385658264
reformers,0.19769133627414703,0.2239488959312439,0.2758323550224304,0.21191011369228363,0.2232089787721634,0.38068896532058716,0.06999418884515762,0.3156285285949707,0.11762229353189468
and,0.506277859210968,0.19122052192687988,0.2640237808227539,0.48971283435821533,0.27783557772636414,0.20796556770801544,0.06895173341035843,0.2395821362733841,0.20544172823429108
heretics,0.2196946144104004,0.4172140061855316,0.27433526515960693,0.20801088213920593,0.27965161204338074,0.27754953503608704,-0.03009950742125511,0.24625511467456818,0.16174395382404327
",",0.3658004403114319,0.21447758376598358,0.25776931643486023,0.44245919585227966,0.2309344857931137,0.23255878686904907,-0.0016132977325469255,0.18424807488918304,0.31091248989105225
and,0.506277859210968,0.19122052192687988,0.2640237808227539,0.48971283435821533,0.27783557772636414,0.20796556770801544,0.06895173341035843,0.2395821362733841,0.20544172823429108
he,0.3415409028530121,0.25602394342422485,0.24543271958827972,0.385390967130661,0.20784485340118408,0.2454872578382492,0.024063590914011,0.20773644745349884,0.2089974731206894
responded,0.21286505460739136,0.19500473141670227,0.4218672811985016,0.2985798120498657,0.3533290922641754,0.11256400495767593,-0.026374761015176773,0.20314155519008636,0.254449725151062
slowly,0.3767209053039551,0.16607226431369781,0.176841139793396,0.3484264612197876,0.1912703961133957,0.12141505628824234,0.05274954438209534,0.15681369602680206,0.10119781643152237
",",0.3658004403114319,0.21447758376598358,0.25776931643486023,0.44245919585227966,0.2309344857931137,0.23255878686904907,-0.0016132977325469255,0.18424807488918304,0.31091248989105225
``,0.05178012326359749,0.11828982830047607,-0.030677318572998047,0.06720756739377975,0.05352310091257095,-0.013964727520942688,-0.03416389226913452,0.021910766139626503,0.0685480609536171
with,0.46403205394744873,0.16502025723457336,0.20166154205799103,0.4239959120750427,0.26198992133140564,0.14705438911914825,-0.04624466598033905,0.20106440782546997,0.2433311939239502
great,0.2356490194797516,0.1469852179288864,0.2943037748336792,0.1880372017621994,0.2778646945953369,0.09640801697969437,-0.014279589988291264,0.1585264950990677,0.13135133683681488
care,0.2031434029340744,0.15446802973747253,0.246555358171463,0.27786314487457275,0.28738224506378174,0.09898877143859863,-0.041316092014312744,0.1597777009010315,0.24279968440532684
as,0.41006597876548767,0.19625233113765717,0.27242714166641235,0.42092081904411316,0.27682095766067505,0.20242992043495178,-0.05775856226682663,0.20168812572956085,0.27043893933296204
is,0.4457404911518097,0.1855526864528656,0.12639497220516205,0.42745086550712585,0.18691076338291168,0.08282390236854553,0.02396530658006668,0.16766823828220367,0.22961433231830597
proper,0.3783096969127655,0.19728003442287445,0.19819191098213196,0.38182929158210754,0.27173617482185364,0.08385136723518372,0.0309440940618515,0.10581299662590027,0.2291053831577301
.,0.45942068099975586,0.20701080560684204,0.1925266534090042,0.4645031690597534,0.30482184886932373,0.24907569587230682,-0.003708066651597619,0.18147483468055725,0.4130953550338745
'',-0.03332270681858063,0.013694919645786285,0.06627801805734634,-0.009905828163027763,0.029110224917531013,-0.04572787508368492,-0.04859459400177002,0.06965082883834839,0.018684765323996544
