,what,color,is,phycoerytherin,?
phycobilins,0.2545374929904938,0.2630763649940491,0.265426903963089,0.6089537143707275,0.2176510989665985
come,0.39461299777030945,0.184952512383461,0.25866594910621643,0.2459557205438614,0.22318024933338165
in,0.30808621644973755,0.10136925429105759,0.5394441485404968,0.28968116641044617,0.20430970191955566
all,0.41981086134910583,0.2018435001373291,0.2553904056549072,0.32114267349243164,0.29575422406196594
colors,0.2215159684419632,0.652938961982727,0.16368693113327026,0.22141939401626587,0.18779070675373077
",",0.3087472915649414,0.20653429627418518,0.4691906273365021,0.3565692901611328,0.31091248989105225
though,0.4089210331439972,0.2420208901166916,0.3265945613384247,0.3651171326637268,0.3188856542110443
phycoerytherin,0.3430229127407074,0.24538038671016693,0.3084558844566345,1.0,0.21522711217403412
is,0.28837618231773376,0.1656665951013565,1.0,0.3084558844566345,0.22961433231830597
one,0.376489520072937,0.16016504168510437,0.4544198513031006,0.24284783005714417,0.2673267424106598
of,0.33290785551071167,0.1876296103000641,0.4854315221309662,0.30970197916030884,0.1826142966747284
the,0.42745697498321533,0.21895472705364227,0.5823672413825989,0.29336079955101013,0.22068053483963013
pigments,0.2220182567834854,0.44989627599716187,0.23520244657993317,0.43376705050468445,0.16673754155635834
that,0.6297725439071655,0.22090333700180054,0.3995479643344879,0.403129518032074,0.32716336846351624
makes,0.2867553234100342,0.18669654428958893,0.4565773010253906,0.21376457810401917,0.22145044803619385
many,0.36131182312965393,0.19324789941310883,0.2649032473564148,0.3222734332084656,0.2124512493610382
red,0.16784515976905823,0.2868311405181885,0.22996017336845398,0.209265798330307,0.1495664119720459
algae,0.1909741312265396,0.24063055217266083,0.20872966945171356,0.42699262499809265,0.15479309856891632
red,0.16784515976905823,0.2868311405181885,0.22996017336845398,0.209265798330307,0.1495664119720459
.,0.3567904531955719,0.2641010880470276,0.4569662809371948,0.31794682145118713,0.4130953550338745
