,who,was,cromwell,'s,allies,?
in,0.2792111933231354,0.45514053106307983,0.1890421062707901,-0.037580832839012146,0.22134138643741608,0.20430970191955566
a,0.36608949303627014,0.4508470594882965,0.16433244943618774,0.04866964742541313,0.13797636330127716,0.23916715383529663
bid,0.15758778154850006,0.2249298393726349,0.11100646108388901,-0.0002808889257721603,0.23371092975139618,0.19390296936035156
to,0.42656609416007996,0.3636345863342285,0.19560620188713074,0.03782717138528824,0.2693256437778473,0.29463258385658264
gain,0.250509113073349,0.11071235686540604,0.13944695889949799,0.05691658332943916,0.29456648230552673,0.1417919248342514
newcastle,0.21185682713985443,0.25710436701774597,0.29272782802581787,-0.017262522131204605,0.1818709671497345,0.0902252271771431
and,0.41279885172843933,0.3740963041782379,0.25873973965644836,0.06895173341035843,0.2856144905090332,0.20544172823429108
the,0.3733934462070465,0.48711544275283813,0.22979725897312164,-0.01540423184633255,0.2923043370246887,0.22068053483963013
tyne,0.18960364162921906,0.2610088884830475,0.3133690655231476,0.01980343833565712,0.13596871495246887,0.07377036660909653
",",0.3365725874900818,0.45456063747406006,0.2759748697280884,-0.0016132977325469255,0.25814759731292725,0.31091248989105225
cromwell,0.2599734961986542,0.25696972012519836,0.9999999403953552,0.018178744241595268,0.20869113504886627,0.19627612829208374
's,0.05599616840481758,0.008974763564765453,0.018178744241595268,0.9999999403953552,0.1298370063304901,-0.023395681753754616
allies,0.22218574583530426,0.28652453422546387,0.20869113504886627,0.1298370063304901,0.9999998807907104,0.16798950731754303
",",0.3365725874900818,0.45456063747406006,0.2759748697280884,-0.0016132977325469255,0.25814759731292725,0.31091248989105225
the,0.3733934462070465,0.48711544275283813,0.22979725897312164,-0.01540423184633255,0.2923043370246887,0.22068053483963013
scots,0.2278975248336792,0.1818067878484726,0.41773858666419983,-0.04350857064127922,0.19646158814430237,0.1396099328994751
",",0.3365725874900818,0.45456063747406006,0.2759748697280884,-0.0016132977325469255,0.25814759731292725,0.31091248989105225
captured,0.26148858666419983,0.31488236784935,0.1895260214805603,0.006844574119895697,0.4313798248767853,0.11851847916841507
the,0.3733934462070465,0.48711544275283813,0.22979725897312164,-0.01540423184633255,0.2923043370246887,0.22068053483963013
town,0.17440535128116608,0.26823142170906067,0.1515710949897766,-0.0385698527097702,0.1797923743724823,0.09902279824018478
of,0.2827862501144409,0.4069072902202606,0.21488350629806519,-0.03817026689648628,0.21651434898376465,0.1826142966747284
newburn,0.21588286757469177,0.311310738325119,0.44421622157096863,-0.01461041159927845,0.18955343961715698,0.2338368445634842
.,0.3541337847709656,0.40146201848983765,0.2657160758972168,-0.003708066651597619,0.22272630035877228,0.4130953550338745
