,who,defines,what,constitutes,a,patient-doctor,relationship,?
often,0.393799751996994,0.2732093632221222,0.3849453330039978,0.24794811010360718,0.3930865228176117,0.28245770931243896,0.22172841429710388,0.23748154938220978
",",0.3365725874900818,0.21206256747245789,0.3087472915649414,0.2866281569004059,0.427140474319458,0.24999208748340607,0.23936419188976288,0.31091248989105225
individual,0.30539795756340027,0.32971110939979553,0.34021541476249695,0.24635374546051025,0.34062352776527405,0.14630070328712463,0.1892278641462326,0.2058374285697937
state,0.15636613965034485,0.195468470454216,0.24273863434791565,0.3469606935977936,0.25097307562828064,0.18884561955928802,0.12081130594015121,0.1160883978009224
laws,0.30102699995040894,0.32984596490859985,0.29636016488075256,0.48579415678977966,0.1722979098558426,0.13288521766662598,0.19730578362941742,0.17911791801452637
outline,0.11333135515451431,0.31092211604118347,0.29344260692596436,0.2999626696109772,0.22886987030506134,0.16296367347240448,0.09572930634021759,0.2369971126317978
what,0.40942975878715515,0.3243766129016876,0.9999998807907104,0.36108922958374023,0.3320399522781372,0.25791916251182556,0.24358563125133514,0.5051238536834717
defines,0.08849609643220901,1.0000001192092896,0.3243766129016876,0.31142157316207886,0.28742772340774536,0.12115418165922165,0.238849937915802,0.2590562403202057
a,0.36608949303627014,0.28742772340774536,0.3320399522781372,0.2325153648853302,1.0,0.28474587202072144,0.25691166520118713,0.23916715383529663
valid,0.15643958747386932,0.32619181275367737,0.30313223600387573,0.3213449716567993,0.24365109205245972,0.14395810663700104,0.17454871535301208,0.27800852060317993
patient-doctor,0.36712440848350525,0.12115418165922165,0.25791916251182556,0.17757809162139893,0.28474587202072144,1.0,0.21494293212890625,0.20109321177005768
relationship,0.2678191661834717,0.238849937915802,0.24358563125133514,0.10857481509447098,0.25691166520118713,0.21494293212890625,1.0,0.11361731588840485
.,0.3541337847709656,0.2111859768629074,0.3567904531955719,0.25526443123817444,0.50484299659729,0.25963422656059265,0.22535671293735504,0.4130953550338745
,who,defines,what,constitutes,a,patient-doctor,relationship,?
the,0.3733934462070465,0.27586790919303894,0.42745697498321533,0.35016530752182007,0.5829201340675354,0.25587204098701477,0.21018025279045105,0.22068053483963013
filling,0.14684781432151794,0.15835127234458923,0.2489190697669983,0.19878381490707397,0.2753012478351593,0.19684018194675446,0.0723821371793747,0.21185900270938873
pharmacy,0.21132494509220123,0.1415918469429016,0.21638189256191254,0.16421575844287872,0.21975059807300568,0.40286311507225037,0.12259478867053986,0.1355620175600052
has,0.2558172643184662,0.22003448009490967,0.20338068902492523,0.2562241554260254,0.4670248031616211,0.21545733511447906,0.21809683740139008,0.15994466841220856
a,0.36608949303627014,0.28742772340774536,0.3320399522781372,0.2325153648853302,1.0,0.28474587202072144,0.25691166520118713,0.23916715383529663
corresponding,0.0980224683880806,0.3651536703109741,0.2633531987667084,0.27219992876052856,0.28352054953575134,0.13563713431358337,0.21463945508003235,0.21760094165802002
responsibility,0.29908397793769836,0.23511074483394623,0.3360894024372101,0.34888505935668945,0.22730666399002075,0.23205231130123138,0.2774869203567505,0.20907385647296906
to,0.42656609416007996,0.2542583644390106,0.455847829580307,0.2878058850765228,0.45503583550453186,0.28780654072761536,0.25194117426872253,0.29463258385658264
ensure,0.24177594482898712,0.32389509677886963,0.328641802072525,0.2931765913963318,0.19042222201824188,0.18648280203342438,0.2139771431684494,0.24192948639392853
that,0.45444270968437195,0.3000619411468506,0.6297725439071655,0.3570233881473541,0.47537946701049805,0.2622840702533722,0.33911964297294617,0.32716336846351624
the,0.3733934462070465,0.27586790919303894,0.42745697498321533,0.35016530752182007,0.5829201340675354,0.25587204098701477,0.21018025279045105,0.22068053483963013
prescription,0.2743528187274933,0.29805460572242737,0.2773992717266083,0.29261353611946106,0.2770058512687683,0.5014294981956482,0.15503565967082977,0.1977909505367279
is,0.24293622374534607,0.30292779207229614,0.28837618231773376,0.3203865885734558,0.658733606338501,0.2292342483997345,0.22806847095489502,0.22961433231830597
valid,0.15643958747386932,0.32619181275367737,0.30313223600387573,0.3213449716567993,0.24365109205245972,0.14395810663700104,0.17454871535301208,0.27800852060317993
.,0.3541337847709656,0.2111859768629074,0.3567904531955719,0.25526443123817444,0.50484299659729,0.25963422656059265,0.22535671293735504,0.4130953550338745
