,who,took,control,of,edison,'s,company,.
the,0.3733934462070465,0.31657639145851135,0.32841500639915466,0.733189046382904,0.25419825315475464,-0.01540423184633255,0.26591673493385315,0.5934505462646484
competition,0.2201552838087082,0.20917710661888123,0.12666839361190796,0.2000187635421753,0.21836520731449127,0.04565756022930145,0.20055076479911804,0.2138785570859909
resulted,0.1169779971241951,0.3474922776222229,0.2342650294303894,0.3479447662830353,0.04040703922510147,-0.07127729803323746,0.16717767715454102,0.23092694580554962
in,0.2792111933231354,0.2818296551704407,0.24831421673297882,0.5696388483047485,0.22187061607837677,-0.037580832839012146,0.22141718864440918,0.5591574311256409
edison,0.19920577108860016,0.1538941115140915,0.1601218432188034,0.221283957362175,0.9999999403953552,0.0115949846804142,0.2836497128009796,0.2391979843378067
machine,0.26473936438560486,0.1361502856016159,0.21547642350196838,0.15468473732471466,0.2932985723018646,0.040698520839214325,0.276585191488266,0.20798662304878235
works,0.2919859290122986,0.1567194163799286,0.19807939231395721,0.1964656114578247,0.17733082175254822,0.04286740720272064,0.24757927656173706,0.28871041536331177
pursuing,0.2542329430580139,0.24461926519870758,0.1748938113451004,0.21620486676692963,0.17046236991882324,0.0009182462235912681,0.2542935609817505,0.23798848688602448
ac,0.12106219679117203,0.07009629905223846,0.19038227200508118,0.09591341018676758,0.2666392922401428,0.040544040501117706,0.0813010185956955,0.21823462843894958
development,0.15172652900218964,0.14669093489646912,0.3017485439777374,0.28700894117355347,0.14419427514076233,0.004789014346897602,0.23337338864803314,0.2822875380516052
in,0.2792111933231354,0.2818296551704407,0.24831421673297882,0.5696388483047485,0.22187061607837677,-0.037580832839012146,0.22141718864440918,0.5591574311256409
1890,0.08397246152162552,0.0017803482478484511,-0.04086701199412346,-0.06748127192258835,-0.1213168278336525,0.09305726736783981,-0.0696679875254631,-0.0021690635476261377
and,0.41279885172843933,0.25750628113746643,0.29790008068084717,0.5116966962814331,0.13864636421203613,0.06895173341035843,0.23788511753082275,0.588965117931366
by,0.39727845788002014,0.21169665455818176,0.2360290139913559,0.3646814823150635,0.18372245132923126,-0.010884488001465797,0.22328482568264008,0.3936232924461365
1892,-0.028006989508867264,0.0686221793293953,0.012119143269956112,0.06631195545196533,0.03806674852967262,0.11019168049097061,0.006177855189889669,0.004454509820789099
thomas,0.26103657484054565,0.17723479866981506,0.17801763117313385,0.18699592351913452,0.4682042896747589,0.0326034352183342,0.20558100938796997,0.2580391466617584
edison,0.19920577108860016,0.1538941115140915,0.1601218432188034,0.221283957362175,0.9999999403953552,0.0115949846804142,0.2836497128009796,0.2391979843378067
was,0.3318818509578705,0.48213186860084534,0.19347785413265228,0.4069072902202606,0.2864142954349518,0.008974763564765453,0.2293137013912201,0.40146201848983765
no,0.19753101468086243,0.1598387211561203,0.16186901926994324,0.24809792637825012,0.18149785697460175,0.04497740417718887,0.14901213347911835,0.35224834084510803
longer,0.28090566396713257,0.17265085875988007,0.17379304766654968,0.2788179814815521,0.16763167083263397,0.03199387341737747,0.10494128614664078,0.3278593122959137
in,0.2792111933231354,0.2818296551704407,0.24831421673297882,0.5696388483047485,0.22187061607837677,-0.037580832839012146,0.22141718864440918,0.5591574311256409
control,0.23970051109790802,0.31930482387542725,1.0,0.2817542552947998,0.1601218432188034,0.03798864781856537,0.18422670662403107,0.24319837987422943
of,0.2827862501144409,0.2766268849372864,0.2817542552947998,1.0,0.221283957362175,-0.03817026689648628,0.20467796921730042,0.5352458953857422
his,0.44966956973075867,0.40076982975006104,0.19246335327625275,0.38364991545677185,0.23870864510536194,0.047556519508361816,0.21722809970378876,0.3119256794452667
own,0.31838667392730713,0.24682174623012543,0.26457059383392334,0.3269667625427246,0.12072111666202545,-0.0030622677877545357,0.26400935649871826,0.3061371147632599
company,0.2383776307106018,0.2128080129623413,0.18422670662403107,0.20467796921730042,0.2836497128009796,0.003266559913754463,1.0,0.266353577375412
",",0.3365725874900818,0.27655306458473206,0.20811550319194794,0.4946078956127167,0.29400110244750977,-0.0016132977325469255,0.2697763442993164,0.6812511086463928
which,0.3688730001449585,0.15372000634670258,0.31846651434898376,0.5011631846427917,0.22165176272392273,0.03856118768453598,0.25990763306617737,0.45942068099975586
was,0.3318818509578705,0.48213186860084534,0.19347785413265228,0.4069072902202606,0.2864142954349518,0.008974763564765453,0.2293137013912201,0.40146201848983765
consolidated,0.1153721809387207,0.2462189793586731,0.294097900390625,0.3171479105949402,0.1378079205751419,-0.09503495693206787,0.22004611790180206,0.27837249636650085
into,0.16956904530525208,0.23411442339420319,0.2449512928724289,0.32255905866622925,0.13204136490821838,0.00961404386907816,0.14657136797904968,0.26250120997428894
the,0.3733934462070465,0.31657639145851135,0.32841500639915466,0.733189046382904,0.25419825315475464,-0.01540423184633255,0.26591673493385315,0.5934505462646484
conglomerate,0.11800869554281235,0.14201146364212036,0.16876941919326782,0.27590012550354004,0.18538254499435425,-0.002590275602415204,0.3273755609989166,0.23578839004039764
general,0.2461782991886139,0.1971152424812317,0.18925777077674866,0.28352999687194824,0.12084265798330307,-0.0757286474108696,0.18813984096050262,0.2929490804672241
electric,0.19416284561157227,0.11485044658184052,0.1997915804386139,0.17329032719135284,0.3382755219936371,-0.0115516884252429,0.27608945965766907,0.23612159490585327
and,0.41279885172843933,0.25750628113746643,0.29790008068084717,0.5116966962814331,0.13864636421203613,0.06895173341035843,0.23788511753082275,0.588965117931366
converting,0.11134614795446396,0.09248704463243484,0.22352655231952667,0.25009793043136597,0.12584109604358673,-0.07216700166463852,0.1472574770450592,0.28641751408576965
to,0.42656609416007996,0.24576251208782196,0.28164729475975037,0.41548454761505127,0.21176284551620483,0.03782717138528824,0.24903783202171326,0.4645031690597534
an,0.2848317325115204,0.1708475798368454,0.15528884530067444,0.32280945777893066,0.2231694459915161,0.025255560874938965,0.13791987299919128,0.3581749200820923
ac,0.12106219679117203,0.07009629905223846,0.19038227200508118,0.09591341018676758,0.2666392922401428,0.040544040501117706,0.0813010185956955,0.21823462843894958
delivery,0.18588732182979584,0.17750076949596405,0.162697434425354,0.20717430114746094,0.13127462565898895,0.008433113805949688,0.24095390737056732,0.18248675763607025
system,0.1550477296113968,0.12050245702266693,0.27148690819740295,0.25597915053367615,0.11532860994338989,0.04329425096511841,0.18630766868591309,0.2277725487947464
at,0.22096660733222961,0.28618431091308594,0.1741713136434555,0.42558613419532776,0.2024947553873062,-0.08481216430664062,0.17487694323062897,0.4549728035926819
that,0.45444270968437195,0.2222771942615509,0.2951871454715729,0.41498205065727234,0.21377308666706085,0.04397977516055107,0.22723333537578583,0.4460422694683075
point,0.15094248950481415,0.11658348888158798,0.18688198924064636,0.269877165555954,0.17989371716976166,0.0017411779845133424,0.1065605878829956,0.26374325156211853
.,0.3541337847709656,0.2481018751859665,0.24319837987422943,0.5352458953857422,0.2391979843378067,-0.003708066651597619,0.266353577375412,1.0000001192092896
