,what,does,the,fogg,museum,of,art,cover,?
the,0.42745697498321533,0.35928019881248474,1.0,0.25130191445350647,0.24861779808998108,0.733189046382904,0.20297785103321075,0.26727065443992615,0.22068053483963013
arthur,0.16599613428115845,0.06856121122837067,0.19352269172668457,0.22824445366859436,0.1537034660577774,0.16405726969242096,0.22884149849414825,0.065922811627388,0.16990946233272552
m.,-0.032949499785900116,-0.14440302550792694,0.11779511719942093,0.09388071298599243,0.0769462138414383,0.15378065407276154,0.03689781203866005,-0.09185466170310974,-0.0002856669598259032
sackler,0.12500222027301788,0.0878201499581337,0.30550140142440796,0.2412763237953186,0.20587660372257233,0.286850243806839,0.24176934361457825,0.18836569786071777,0.10100340098142624
museum,0.1771627515554428,0.1064787358045578,0.24861779808998108,0.23933714628219604,1.0000001192092896,0.23314370214939117,0.5128974318504333,0.09088976681232452,0.14128351211547852
includes,0.17138352990150452,0.2753782868385315,0.3388250470161438,0.07523500919342041,0.1933429092168808,0.4359378218650818,0.20887377858161926,0.32858625054359436,0.14011523127555847
collections,0.22708594799041748,0.112778440117836,0.27174001932144165,0.1664450317621231,0.447247713804245,0.3185039758682251,0.3595452308654785,0.26475095748901367,0.1873358190059662
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.21997806429862976,0.23314370214939117,1.0,0.22648051381111145,0.26416900753974915,0.1826142966747284
ancient,0.2318045049905777,0.143720343708992,0.28808021545410156,0.12344956398010254,0.22985386848449707,0.3361112177371979,0.24530617892742157,0.18845610320568085,0.12938068807125092
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.28797781467437744,0.20741747319698334,0.4946078956127167,0.2700960636138916,0.24982257187366486,0.31091248989105225
asian,0.06828422844409943,0.13791072368621826,0.2710895538330078,0.14416758716106415,0.18215787410736084,0.24605733156204224,0.21324142813682556,0.19761976599693298,0.10526347905397415
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.28797781467437744,0.20741747319698334,0.4946078956127167,0.2700960636138916,0.24982257187366486,0.31091248989105225
islamic,0.2204568088054657,0.14674246311187744,0.27231070399284363,0.13661503791809082,0.17510324716567993,0.25656506419181824,0.22750411927700043,0.182429701089859,0.1692383587360382
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.26995739340782166,0.21554097533226013,0.5116966962814331,0.2631918787956238,0.27793973684310913,0.20544172823429108
later,0.2517229914665222,0.15885840356349945,0.4060266613960266,0.3072807490825653,0.20431627333164215,0.3458743393421173,0.19816961884498596,0.14371496438980103,0.1417175978422165
indian,0.18037962913513184,0.11206359416246414,0.23407642543315887,0.13040736317634583,0.10899457335472107,0.24303589761257172,0.19208523631095886,0.13990451395511627,0.09909533709287643
art,0.19292277097702026,0.2125045508146286,0.20297785103321075,0.17507588863372803,0.5128974318504333,0.22648051381111145,1.0,0.2190026342868805,0.138971745967865
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.28797781467437744,0.20741747319698334,0.4946078956127167,0.2700960636138916,0.24982257187366486,0.31091248989105225
the,0.42745697498321533,0.35928019881248474,1.0,0.25130191445350647,0.24861779808998108,0.733189046382904,0.20297785103321075,0.26727065443992615,0.22068053483963013
busch-reisinger,0.22991222143173218,0.1797187328338623,0.2831786870956421,0.26565468311309814,0.2907305061817169,0.30011603236198425,0.2669745683670044,0.17153611779212952,0.21697887778282166
