,who,receives,higher,salaries,at,private,schools,that,charge,higher,tuition,?
high,0.14553065598011017,0.20193178951740265,0.5695294737815857,0.13638968765735626,0.2874184250831604,0.2064109742641449,0.4018458425998688,0.2400680035352707,0.2252105176448822,0.5695294737815857,0.3035504221916199,0.11137914657592773
tuition,0.23850305378437042,0.28765374422073364,0.3913196623325348,0.4798293709754944,0.2809189260005951,0.3631826937198639,0.4599091112613678,0.29087379574775696,0.3330082893371582,0.3913196623325348,1.0000001192092896,0.2023361474275589
",",0.3365725874900818,0.27294233441352844,0.251458078622818,0.2153448611497879,0.38314947485923767,0.1899166703224182,0.2760516405105591,0.4137537479400635,0.19992214441299438,0.251458078622818,0.2515327036380768,0.31091248989105225
schools,0.20265154540538788,0.08918749541044235,0.2932973802089691,0.29875466227531433,0.21788150072097778,0.4158569872379303,1.0,0.2649109661579132,0.17633160948753357,0.2932973802089691,0.4599091112613678,0.18349280953407288
claim,0.26877546310424805,0.17640723288059235,0.2018439918756485,0.26252520084381104,0.2042684257030487,0.18778395652770996,0.18817530572414398,0.39801377058029175,0.1426449567079544,0.2018439918756485,0.23939058184623718,0.2665664851665497
",",0.3365725874900818,0.27294233441352844,0.251458078622818,0.2153448611497879,0.38314947485923767,0.1899166703224182,0.2760516405105591,0.4137537479400635,0.19992214441299438,0.251458078622818,0.2515327036380768,0.31091248989105225
is,0.24293622374534607,0.3052694797515869,0.24683357775211334,0.11926544457674026,0.25906258821487427,0.1420905888080597,0.2022145688533783,0.3995479643344879,0.1743287295103073,0.24683357775211334,0.20473599433898926,0.22961433231830597
used,0.20756356418132782,0.22797879576683044,0.1955839991569519,0.16352003812789917,0.22295412421226501,0.18543760478496552,0.2245682328939438,0.37621384859085083,0.1644584983587265,0.1955839991569519,0.1283067911863327,0.22430120408535004
to,0.42656609416007996,0.24525433778762817,0.3279348313808441,0.3040089011192322,0.36524343490600586,0.18892748653888702,0.2362271547317505,0.5436353087425232,0.22747951745986938,0.3279348313808441,0.28630971908569336,0.29463258385658264
pay,0.31589654088020325,0.2943750023841858,0.21466143429279327,0.43236953020095825,0.1361934393644333,0.28301557898521423,0.17289116978645325,0.27300354838371277,0.29552197456359863,0.21466143429279327,0.43500903248786926,0.19821009039878845
higher,0.20071525871753693,0.2743557393550873,1.0,0.22095008194446564,0.2542303204536438,0.21809592843055725,0.2932973802089691,0.31370723247528076,0.2574519217014313,1.0,0.3913196623325348,0.15679465234279633
salaries,0.2876053750514984,0.29456496238708496,0.22095008194446564,1.0000001192092896,0.20775271952152252,0.2676355242729187,0.29875466227531433,0.2777772843837738,0.285381942987442,0.22095008194446564,0.4798293709754944,0.23913246393203735
for,0.37110671401023865,0.25251129269599915,0.2346303015947342,0.33575230836868286,0.34237727522850037,0.22242696583271027,0.2320515662431717,0.4137635827064514,0.24153433740139008,0.2346303015947342,0.3458143174648285,0.264628142118454
the,0.3733934462070465,0.3246961534023285,0.3292480409145355,0.29897719621658325,0.457212895154953,0.18291357159614563,0.22905772924423218,0.5473989248275757,0.2730984687805176,0.3292480409145355,0.22994613647460938,0.22068053483963013
best,0.266329824924469,0.12357814610004425,0.16092102229595184,0.17594116926193237,0.17172780632972717,0.1568184345960617,0.20566466450691223,0.24222435057163239,0.0812661424279213,0.16092102229595184,0.2114894986152649,0.2799045741558075
teachers,0.34250906109809875,0.10488427430391312,0.26257336139678955,0.3667125999927521,0.24201591312885284,0.274162232875824,0.5533654689788818,0.24071024358272552,0.20218682289123535,0.26257336139678955,0.5107281804084778,0.19522249698638916
and,0.41279885172843933,0.2535165548324585,0.3147866129875183,0.22138139605522156,0.3571503460407257,0.2557651102542877,0.29319998621940613,0.4731321930885315,0.238192617893219,0.3147866129875183,0.28055885434150696,0.20544172823429108
also,0.47919341921806335,0.17872406542301178,0.3212735056877136,0.22357292473316193,0.36980849504470825,0.23910270631313324,0.3129073679447174,0.6005857586860657,0.2357143610715866,0.3212735056877136,0.27218732237815857,0.21848613023757935
used,0.20756356418132782,0.22797879576683044,0.1955839991569519,0.16352003812789917,0.22295412421226501,0.18543760478496552,0.2245682328939438,0.37621384859085083,0.1644584983587265,0.1955839991569519,0.1283067911863327,0.22430120408535004
to,0.42656609416007996,0.24525433778762817,0.3279348313808441,0.3040089011192322,0.36524343490600586,0.18892748653888702,0.2362271547317505,0.5436353087425232,0.22747951745986938,0.3279348313808441,0.28630971908569336,0.29463258385658264
provide,0.2286112904548645,0.2259179800748825,0.3103122115135193,0.2503005266189575,0.2194342017173767,0.264536052942276,0.2159915417432785,0.367409884929657,0.20614176988601685,0.3103122115135193,0.34914034605026245,0.22704634070396423
enriched,0.1568535566329956,0.16006724536418915,0.28993338346481323,0.144266277551651,0.2160329818725586,0.16164298355579376,0.19543369114398956,0.23822420835494995,0.20855620503425598,0.28993338346481323,0.27544376254081726,0.0692734569311142
learning,0.25985077023506165,0.12758676707744598,0.2265809327363968,0.20100978016853333,0.22934198379516602,0.2167409062385559,0.3194710910320282,0.2574402689933777,0.19272668659687042,0.2265809327363968,0.4207116365432739,0.25810256600379944
environments,0.14843949675559998,0.17042864859104156,0.28879719972610474,0.20631977915763855,0.11560453474521637,0.18917964398860931,0.20890264213085175,0.2901444733142853,0.156705841422081,0.28879719972610474,0.23620347678661346,0.1847371757030487
",",0.3365725874900818,0.27294233441352844,0.251458078622818,0.2153448611497879,0.38314947485923767,0.1899166703224182,0.2760516405105591,0.4137537479400635,0.19992214441299438,0.251458078622818,0.2515327036380768,0.31091248989105225
