,what,was,the,protest,in,antigone,about,?
one,0.376489520072937,0.3752199709415436,0.5514441132545471,0.22410526871681213,0.4129433035850525,0.20232835412025452,0.35568177700042725,0.2673267424106598
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24564224481582642,0.5696388483047485,0.2282322198152542,0.40939709544181824,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.25126034021377563,0.6662389636039734,0.20033924281597137,0.37995871901512146,0.22068053483963013
oldest,0.12504005432128906,0.29228392243385315,0.30836519598960876,0.08149605989456177,0.33251360058784485,0.1516818404197693,0.1865159273147583,0.14864160120487213
depictions,0.2146293967962265,0.22501371800899506,0.2684508264064789,0.19463074207305908,0.22689732909202576,0.31593823432922363,0.24073003232479095,0.14728380739688873
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24564224481582642,0.5696388483047485,0.2282322198152542,0.40939709544181824,0.1826142966747284
civil,0.15091551840305328,0.24303317070007324,0.2477465271949768,0.29364001750946045,0.26466667652130127,0.1779717206954956,0.1744583249092102,0.1494513899087906
disobedience,0.3298627436161041,0.28287848830223083,0.30963727831840515,0.5334797501564026,0.3054615259170532,0.25068399310112,0.20206157863140106,0.19890835881233215
is,0.28837618231773376,0.5810302495956421,0.5823672413825989,0.16113008558750153,0.5394441485404968,0.15813754498958588,0.3532065451145172,0.22961433231830597
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.29343265295028687,1.0,0.17945496737957,0.39797019958496094,0.20430970191955566
sophocles,0.23692306876182556,0.2613391578197479,0.2736586928367615,0.1947002410888672,0.2046385407447815,0.44340935349464417,0.26926112174987793,0.1973816305398941
',0.3245812654495239,0.33675912022590637,0.474788099527359,0.19526532292366028,0.4158826768398285,0.17648760974407196,0.2788675129413605,0.330942302942276
play,0.2180248498916626,0.23784595727920532,0.24793598055839539,0.17832370102405548,0.24321173131465912,0.22160761058330536,0.17319072782993317,0.11059518158435822
