,in,which,year,did,genghis,khan,strike,against,the,tanguts,?
in,1.0,0.4840516746044159,0.3359307050704956,0.2593238651752472,0.224680557847023,0.1527150720357895,0.2068100869655609,0.27273955941200256,0.6662389636039734,0.2817113399505615,0.20430970191955566
1226,0.023390967398881912,0.012383731082081795,0.11678670346736908,0.13658955693244934,0.14707985520362854,0.10327344387769699,0.11820100247859955,0.11427471786737442,0.01681230589747429,0.1610090583562851,0.18437469005584717
",",0.5201468467712402,0.3658004403114319,0.28560417890548706,0.3015086054801941,0.2891939878463745,0.19700400531291962,0.20861901342868805,0.31168749928474426,0.4933079481124878,0.36696121096611023,0.31091248989105225
immediately,0.30551162362098694,0.36695992946624756,0.2408953160047531,0.32630231976509094,0.17864525318145752,0.12554961442947388,0.16300608217716217,0.21473605930805206,0.39876270294189453,0.1834213137626648,0.21004259586334229
after,0.44050168991088867,0.3217443823814392,0.336445689201355,0.30330467224121094,0.24102559685707092,0.1264270693063736,0.18922626972198486,0.31196507811546326,0.4565047025680542,0.18545256555080414,0.16608688235282898
returning,0.3026452958583832,0.24583588540554047,0.18675169348716736,0.20950084924697876,0.1806662231683731,0.12796005606651306,0.22447262704372406,0.18992099165916443,0.3807036876678467,0.16888427734375,0.14488300681114197
from,0.4274188280105591,0.38755592703819275,0.2101740688085556,0.20248863101005554,0.19071364402770996,0.10581372678279877,0.20820920169353485,0.2447778731584549,0.40150508284568787,0.21915017068386078,0.19969791173934937
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.34736719727516174,0.3448939025402069,0.21067845821380615,0.2324564903974533,0.3090755045413971,1.0,0.31210094690322876,0.22068053483963013
west,0.34078434109687805,0.22164945304393768,0.1444975882768631,0.16852347552776337,0.2571938633918762,0.1299731433391571,0.10900232940912247,0.18244516849517822,0.32918402552604675,0.1970434933900833,0.12088293582201004
",",0.5201468467712402,0.3658004403114319,0.28560417890548706,0.3015086054801941,0.2891939878463745,0.19700400531291962,0.20861901342868805,0.31168749928474426,0.4933079481124878,0.36696121096611023,0.31091248989105225
genghis,0.224680557847023,0.26472097635269165,0.1635892540216446,0.18339850008487701,1.0,0.5896923542022705,0.1815861314535141,0.2344937026500702,0.3448939025402069,0.37913164496421814,0.18813461065292358
khan,0.1527150720357895,0.19211235642433167,0.15626633167266846,0.155345618724823,0.5896923542022705,1.0,0.22098326683044434,0.10938236117362976,0.21067845821380615,0.28002387285232544,0.12862591445446014
began,0.34154343605041504,0.15610557794570923,0.23867103457450867,0.4415510594844818,0.19153888523578644,0.1490795761346817,0.08620475232601166,0.18878504633903503,0.3059147596359253,0.17156527936458588,0.1370266228914261
a,0.539380669593811,0.56894451379776,0.29350247979164124,0.2552328109741211,0.194350928068161,0.1743650734424591,0.2384190857410431,0.2227657586336136,0.5829201340675354,0.33095401525497437,0.23916715383529663
retaliatory,0.23051856458187103,0.28857237100601196,0.13067401945590973,0.20033703744411469,0.27843600511550903,0.15313325822353363,0.3537951707839966,0.377271443605423,0.275143027305603,0.12371735274791718,0.14084383845329285
attack,0.1944931447505951,0.23276583850383759,0.14987178146839142,0.13678960502147675,0.233363077044487,0.15452195703983307,0.2988820970058441,0.31037792563438416,0.2508925497531891,0.19582852721214294,0.126759335398674
on,0.46853652596473694,0.4245251417160034,0.27628999948501587,0.2670976221561432,0.17695671319961548,0.13222354650497437,0.24572104215621948,0.3163113296031952,0.5107308030128479,0.28656166791915894,0.2714994251728058
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.34736719727516174,0.3448939025402069,0.21067845821380615,0.2324564903974533,0.3090755045413971,1.0,0.31210094690322876,0.22068053483963013
tanguts,0.2817113399505615,0.3814711272716522,0.17223532497882843,0.13595779240131378,0.37913164496421814,0.28002387285232544,0.11388811469078064,0.20120862126350403,0.31210094690322876,1.0,0.18014933168888092
.,0.5591574311256409,0.45942068099975586,0.32538118958473206,0.35288307070732117,0.25373268127441406,0.19819748401641846,0.21452727913856506,0.28705209493637085,0.5934505462646484,0.3264026641845703,0.4130953550338745
