,which,company,held,a,contest,whereupon,contestants,could,enter,for,a,chance,to,have,their,own,commercial,shown,during,super,bowl,50,?
it,0.616637647151947,0.3082790970802307,0.23581157624721527,0.5452592968940735,0.20310786366462708,0.2909448742866516,0.1831430345773697,0.329755574464798,0.20559366047382355,0.32171204686164856,0.5452592968940735,0.25526559352874756,0.513711154460907,0.40974161028862,0.3067983090877533,0.2588726878166199,0.2612326145172119,0.27352818846702576,0.26678937673568726,0.19638319313526154,0.1748591959476471,-0.05556609109044075,0.25732165575027466
was,0.2830964922904968,0.2293137013912201,0.30231067538261414,0.4508470594882965,0.22809730470180511,0.2892403304576874,0.15464109182357788,0.39896807074546814,0.1587110310792923,0.3863949179649353,0.4508470594882965,0.19678395986557007,0.3636345863342285,0.2863433063030243,0.2396296262741089,0.19632458686828613,0.22333669662475586,0.21061603724956512,0.4470829963684082,0.21420986950397491,0.21915455162525177,-0.0011744623770937324,0.18412111699581146
also,0.6566565632820129,0.21313920617103577,0.23488673567771912,0.5149940252304077,0.19628332555294037,0.3484369218349457,0.2261182814836502,0.42194491624832153,0.2715775966644287,0.5373267531394958,0.5149940252304077,0.28678134083747864,0.5348826050758362,0.5252172946929932,0.4181114733219147,0.36576277017593384,0.2830050587654114,0.3308436870574951,0.4275238513946533,0.27527010440826416,0.2647361755371094,0.024839751422405243,0.21848613023757935
the,0.6521818041801453,0.26591673493385315,0.32185450196266174,0.5829201340675354,0.25173527002334595,0.4114287793636322,0.2908223867416382,0.35393214225769043,0.3499310314655304,0.4739971458911896,0.5829201340675354,0.26683303713798523,0.535392165184021,0.40389683842658997,0.516537070274353,0.334675133228302,0.23051398992538452,0.3387985825538635,0.4838213622570038,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
final,0.27655747532844543,0.07612226158380508,0.1546432226896286,0.24625235795974731,0.3516368865966797,0.21338044106960297,0.4115622937679291,0.17432522773742676,0.18750041723251343,0.25346213579177856,0.24625235795974731,0.24506238102912903,0.26099109649658203,0.13584725558757782,0.2108406126499176,0.20727448165416718,0.14757727086544037,0.20064425468444824,0.27407360076904297,0.18389330804347992,0.2308216542005539,0.07572761923074722,0.17315025627613068
year,0.242343008518219,0.1253320872783661,0.2161356508731842,0.29350247979164124,0.214291051030159,0.15299251675605774,0.23150110244750977,0.17617186903953552,0.15896949172019958,0.29294124245643616,0.29350247979164124,0.26354026794433594,0.23523004353046417,0.23220738768577576,0.20591455698013306,0.10865867882966995,0.12610527873039246,0.15047208964824677,0.3447895348072052,0.20762673020362854,0.22878921031951904,-0.02098737843334675,0.18315006792545319
that,0.6894589066505432,0.22723333537578583,0.224154531955719,0.47537946701049805,0.18732452392578125,0.41211605072021484,0.27712708711624146,0.5584503412246704,0.2596248388290405,0.4137635827064514,0.47537946701049805,0.35491275787353516,0.5436353087425232,0.6182622313499451,0.4266771972179413,0.37425005435943604,0.18704216182231903,0.3633551597595215,0.31487685441970825,0.18258553743362427,0.10987387597560883,-0.014119508676230907,0.32716336846351624
doritos,0.2913173735141754,0.1841714084148407,0.20406728982925415,0.2547076344490051,0.22860608994960785,0.23375986516475677,0.26820921897888184,0.14443500339984894,0.1972697675228119,0.21739260852336884,0.2547076344490051,0.17721901834011078,0.22078846395015717,0.22043874859809875,0.20420221984386444,0.23570461571216583,0.24089697003364563,0.16737136244773865,0.21939583122730255,0.21040309965610504,0.15428942441940308,0.035745952278375626,0.2596014738082886
",",0.3658004403114319,0.2697763442993164,0.2880980372428894,0.427140474319458,0.26351213455200195,0.28557008504867554,0.2559301257133484,0.27399855852127075,0.20928232371807098,0.4464869201183319,0.427140474319458,0.24915555119514465,0.44245919585227966,0.3541618287563324,0.3045167922973633,0.2796398997306824,0.26546892523765564,0.25911012291908264,0.3225448727607727,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.31091248989105225
a,0.56894451379776,0.22037413716316223,0.22326228022575378,1.0,0.229091614484787,0.31972482800483704,0.2413361370563507,0.3736826181411743,0.2502499222755432,0.44038116931915283,1.0,0.31142324209213257,0.45503583550453186,0.338716596364975,0.29698723554611206,0.3093770742416382,0.2696971893310547,0.2581788897514343,0.30341604351997375,0.26005712151527405,0.19533146917819977,0.034183140844106674,0.23916715383529663
longtime,0.2204979509115219,0.25642478466033936,0.15331095457077026,0.24678170680999756,0.1659134477376938,0.22200269997119904,0.20347660779953003,0.1470116823911667,0.09236539900302887,0.29208657145500183,0.24678170680999756,0.2372463196516037,0.27073341608047485,0.17189256846904755,0.2501727044582367,0.2430361956357956,0.17127613723278046,0.06378903239965439,0.2860596179962158,0.13511623442173004,0.13373984396457672,-0.029378850013017654,0.07657656818628311
sponsor,0.21365050971508026,0.3738391101360321,0.30566009879112244,0.1764434278011322,0.23389379680156708,0.18350599706172943,0.28097814321517944,0.14310258626937866,0.21158114075660706,0.2795473039150238,0.1764434278011322,0.1933830976486206,0.1991434097290039,0.17546968162059784,0.20181888341903687,0.25093093514442444,0.3017388582229614,0.19579114019870758,0.15347974002361298,0.15293210744857788,0.14598821103572845,0.08856915682554245,0.10142356157302856
