,what,were,these,indulgences,supposed,to,grant,the,giver,?
he,0.3114890456199646,0.31267037987709045,0.2716899514198303,0.17424233257770538,0.24996185302734375,0.385390967130661,0.19429071247577667,0.4571082592010498,0.2937707304954529,0.2089974731206894
insisted,0.3362210988998413,0.36852118372917175,0.2421790510416031,0.34896859526634216,0.39845243096351624,0.32629093527793884,0.1494472324848175,0.22402240335941315,0.1544758826494217,0.20097918808460236
that,0.6297725439071655,0.35517072677612305,0.5512621402740479,0.3139660656452179,0.4945879280567169,0.5436353087425232,0.24215354025363922,0.5473989248275757,0.3291388154029846,0.32716336846351624
",",0.3087472915649414,0.36755475401878357,0.37613096833229065,0.21256935596466064,0.2275257259607315,0.44245919585227966,0.3364619016647339,0.4933079481124878,0.33314844965934753,0.31091248989105225
since,0.29783400893211365,0.3373812139034271,0.29963263869285583,0.15826347470283508,0.2423313707113266,0.3733763098716736,0.20467142760753632,0.4054957628250122,0.11716115474700928,0.2876587212085724
forgiveness,0.3976205885410309,0.14142031967639923,0.24166114628314972,0.5530036091804504,0.31082800030708313,0.31330814957618713,0.260780394077301,0.1926071047782898,0.37698251008987427,0.27390724420547485
was,0.22111038863658905,0.590133786201477,0.19784674048423767,0.19507549703121185,0.3499848544597626,0.3636345863342285,0.15223412215709686,0.48711544275283813,0.22213780879974365,0.18412111699581146
god,0.3127830922603607,0.1674642413854599,0.2110390067100525,0.3575981855392456,0.2656669616699219,0.2408517301082611,0.17368169128894806,0.24689088761806488,0.3374428153038025,0.23396754264831543
's,0.02692362666130066,0.007088581565767527,0.026068098843097687,0.009167968295514584,0.047495629638433456,0.03782717138528824,-0.03694717586040497,-0.01540423184633255,-0.004065309185534716,-0.023395681753754616
alone,0.3431425094604492,0.21870967745780945,0.2417142242193222,0.21531696617603302,0.21831518411636353,0.33432039618492126,0.14971596002578735,0.2769272029399872,0.222971573472023,0.25589054822921753
