,what,was,tesla,'s,monthly,consultant,salary,?
westinghouse,0.16126319766044617,0.30702054500579834,0.35764777660369873,-0.008012998849153519,0.21297284960746765,0.3461652100086212,0.18088576197624207,0.17307911813259125
also,0.42747777700424194,0.4032125174999237,0.16213464736938477,-0.0014726108638569713,0.18900087475776672,0.29562345147132874,0.18577660620212555,0.21848613023757935
hired,0.12430620938539505,0.3013991713523865,0.15152283012866974,-0.030750012025237083,0.1970367431640625,0.36991435289382935,0.29580336809158325,0.1434362679719925
tesla,0.23221199214458466,0.16455206274986267,0.9999999403953552,0.06449045985937119,0.2032930552959442,0.2050866335630417,0.2503458261489868,0.10250775516033173
for,0.3017193675041199,0.3863949179649353,0.13983871042728424,-0.07241261005401611,0.2070322483778,0.2879292666912079,0.31719970703125,0.264628142118454
one,0.376489520072937,0.3752199709415436,0.2218162566423416,0.06913424283266068,0.2169596254825592,0.231826514005661,0.21880941092967987,0.2673267424106598
year,0.15184831619262695,0.3209837079048157,0.1455472707748413,-0.04087831452488899,0.2923652231693268,0.14974209666252136,0.2983018755912781,0.18315006792545319
for,0.3017193675041199,0.3863949179649353,0.13983871042728424,-0.07241261005401611,0.2070322483778,0.2879292666912079,0.31719970703125,0.264628142118454
the,0.42745697498321533,0.48711544275283813,0.1324402391910553,-0.01540423184633255,0.21759526431560516,0.22320781648159027,0.2075764387845993,0.22068053483963013
large,0.2017821967601776,0.21717436611652374,0.11560440808534622,0.06319566071033478,0.16740769147872925,0.17177411913871765,0.16047705709934235,0.1355665624141693
fee,0.15150974690914154,0.15327097475528717,0.23693960905075073,0.01646084524691105,0.3189576268196106,0.2221832275390625,0.4115707576274872,0.13206739723682404
of,0.33290785551071167,0.4069072902202606,0.18837453424930573,-0.03817026689648628,0.21505539119243622,0.22485356032848358,0.22919052839279175,0.1826142966747284
$,0.24858909845352173,0.23838669061660767,0.23458653688430786,0.03734852001070976,0.28842172026634216,0.1655462235212326,0.4192432165145874,0.2786129117012024
