,who,contributes,to,members,business,in,addition,to,the,proposer,?
as,0.3923053741455078,0.2695661783218384,0.42092081904411316,0.21428564190864563,0.22870652377605438,0.3887844979763031,0.3581290543079376,0.42092081904411316,0.48381632566452026,0.23496966063976288,0.27043893933296204
well,0.3480316996574402,0.27889204025268555,0.3422003388404846,0.22883886098861694,0.21569934487342834,0.36612698435783386,0.40120384097099304,0.3422003388404846,0.42630070447921753,0.21787643432617188,0.24815571308135986
as,0.3923053741455078,0.2695661783218384,0.42092081904411316,0.21428564190864563,0.22870652377605438,0.3887844979763031,0.3581290543079376,0.42092081904411316,0.48381632566452026,0.23496966063976288,0.27043893933296204
the,0.3733934462070465,0.2711111307144165,0.535392165184021,0.3321719169616699,0.2389037162065506,0.6662389636039734,0.32955414056777954,0.535392165184021,1.0,0.19320614635944366,0.22068053483963013
proposer,0.2713135778903961,0.28598281741142273,0.30134841799736023,0.09734531491994858,0.13468314707279205,0.15894131362438202,0.18811282515525818,0.30134841799736023,0.19320614635944366,1.0,0.3582901656627655
",",0.3365725874900818,0.2634502053260803,0.44245919585227966,0.2357054501771927,0.2952407896518707,0.5201468467712402,0.3040202856063843,0.44245919585227966,0.4933079481124878,0.28013670444488525,0.31091248989105225
other,0.3612329661846161,0.3136376738548279,0.4193183183670044,0.31560012698173523,0.24130384624004364,0.39989137649536133,0.3792383074760437,0.4193183183670044,0.44152235984802246,0.16688603162765503,0.24682199954986572
members,0.3290669620037079,0.19562096893787384,0.26617446541786194,0.9999998807907104,0.18729612231254578,0.196792870759964,0.23965668678283691,0.26617446541786194,0.3321719169616699,0.09734531491994858,0.10212311148643494
normally,0.27320173382759094,0.19811952114105225,0.3993734121322632,0.19538666307926178,0.20435787737369537,0.27602890133857727,0.38195905089378357,0.3993734121322632,0.3523634970188141,0.08834873884916306,0.20675471425056458
contribute,0.24899613857269287,0.8913849592208862,0.36610767245292664,0.18510966002941132,0.19907206296920776,0.2068682163953781,0.2592543065547943,0.36610767245292664,0.21503010392189026,0.3597303330898285,0.34182009100914
to,0.42656609416007996,0.3252312242984772,1.0,0.26617446541786194,0.28079214692115784,0.45010748505592346,0.29394859075546265,1.0,0.535392165184021,0.30134841799736023,0.29463258385658264
the,0.3733934462070465,0.2711111307144165,0.535392165184021,0.3321719169616699,0.2389037162065506,0.6662389636039734,0.32955414056777954,0.535392165184021,1.0,0.19320614635944366,0.22068053483963013
debate,0.19672362506389618,0.20888501405715942,0.26563018560409546,0.20678158104419708,0.19638749957084656,0.1971871554851532,0.16084739565849304,0.26563018560409546,0.2608932852745056,0.34260138869285583,0.227684885263443
.,0.3541337847709656,0.266588419675827,0.4645031690597534,0.21119362115859985,0.25987809896469116,0.5591574311256409,0.27481022477149963,0.4645031690597534,0.5934505462646484,0.21560849249362946,0.4130953550338745
